Happiness Wood Sign,G65010,Craft House Designs|(All) The Hearthside Collection|Everyday,"""Happiness is not a destination. It is a way of life"" is laser engraved over three distressed wooden slats. It is 12"" high x 36"" wide and painted in a fresh shade of teal that is guaranteed to add brightness to any room of your home! It comes with two metal hangers on the back for easy and secure hanging.",,,,,"12"" high x 36"" wide",,2,12.99,6,12.99,,,2,Hearthside400,Hearthside160,G65010_x0o3-gm.jpg,G65010_x0o3-gm.jpg,84275608857 0,,Hearthside800,G65010_x0o3-gm.jpg
Wooden Plate Stand - Small - BLACK,30530BK,Decorative Plates|(All) The Hearthside Collection|Everyday,"A must-have for all your decorative plates, frames, or plaques! Scrolled black wooden plate holder with hinge, 4.5"" tall. Holds plates that are 6"" - 7.5"" in diameter.",,,,," 4.5"" tall. Holds plates that are 6"" - 7.5"" in diameter.",,12,1.5,288,1.35,,,12,Hearthside400,Hearthside160,30530BK-small-plate-stand.jpg,30530BK-small-plate-stand.jpg,8.43E+11,,Hearthside800,30530BK-small-plate-stand.jpg
Give Thanks White Pumpkin Decorative Plate,34507,Decorative Plates|(All) The Hearthside Collection|,"A white wooden oval plate with the illustration of a pumpkin in the center and the words give thanks written directly beneath the tangle of vines on which the pumpkin sits.
Material: wood
Dimensions: 7.5"" H x 11"" W",,,,,"5""H x 11"" ",,6,6.45,24,5.9,,,6,Hearthside400,Hearthside160,34507.jpg,34507.jpg,8.43E+11,,Hearthside800,34507.jpg
"Dish Cup 5-3/4""",30665,Decorative Plates|(All) The Hearthside Collection|Everyday,"Wood dish measuring 5-3/4""
3 Assorted Colors
(Mustard, Burgundy & Black)
For Decorative Use Only



Plate stands sold seperately",,,,,"measuring 5-3/4""",,9,2.35,72,2.12,,,9,Hearthside400,Hearthside160,30665.jpg,30665.jpg,84275600044,,Hearthside800,30665.jpg
"20-1/2"" Wooden Oval Tray",30683,"Decorative Plates|(All) The Hearthside Collection|Trays, Platters & Candle Plates|Everyday","20-1/2"" Wooden Oval Tray
Item B
3 Assorted Colors - Mustard, Burgundy & Black
20-1/2"" x 7"" x 1-1/2""",,,,,"2"" x 7"" ",,3,6.95,12,6.2,,,3,Hearthside400,Hearthside160,30683.jpg,30683.jpg,84275600062,,Hearthside800,30683.jpg
"16"" Oval Tray",30660,"Decorative Plates|(All) The Hearthside Collection|Trays, Platters & Candle Plates|Everyday","16"" x 5""
3 Assorted Colors
(Mustard, Burgundy & Black)
For Decorative Use Only",,,,,"16"" x 5"". 3 Assorted Colors",,6,4.55,24,4.1,,,6,Hearthside400,Hearthside160,30660.jpg,30660.jpg,84275600039,,Hearthside800,30660.jpg
"17"" Wooden Rectangular Tray",30681,"Decorative Plates|(All) The Hearthside Collection|Trays, Platters & Candle Plates|Everyday","17"" Wooden Rectangular Tray
Item A
3 Assorted Colors - Mustard, Burgundy & Black
17"" x 8"" x 1-1/2""


Plate stands sold separately",,,,,"17"" x 8"" ",,3,6.75,12,6.1,,,3,Hearthside400,Hearthside160,30681_lg_30680_sm_group.jpg,30681_lg_30680_sm_group.jpg,84275600060,,Hearthside800,30681_lg_30680_sm_group.jpg
Family Cut Out Sign,34518,Designers|(All) The Hearthside Collection|Everyday,"A green rectangular wooden sign with sanded edges for a rustic look reading Family with the word cut out.
Material: Wood
Dimensions: 6.5"" H x 10"" W",,,,,"5""H x 10"" ",,6,3.5,96,3.15,,,6,Hearthside400,Hearthside160,34518.jpg,34518.jpg,8.43E+11,,Hearthside800,34518.jpg
"Hanging Chain - 7""",46311,Metal Products|(All) The Hearthside Collection|Everyday,"Hanging chain made for our lanterns
7"" long with a hook on each end",,,,,"7"" long with a hook on each end",,4,1.45,288,1.3,,,4,Hearthside400,Hearthside160,46311.jpg,46311.jpg,84275605522,,Hearthside800,46311.jpg
"Rusty Black Lantern - 9""",G4068M-AB,Metal Products|(All) The Hearthside Collection|Everyday,"Fashioned after the railroad lanterns of days past, this lantern stands at 9"" tall with a rusty color and black speckling. The wire cage holds a glass globe that houses a fabric wick and the base of the lantern contains an oil port. Comes with a long handle for carrying and a loop on top of the chimney for hanging. This lantern is for decorative purposes only and should not be lit.",,,,,"9"" tall",,2,10.5,30,9.45,,,2,Hearthside400,Hearthside160,g4068mab.jpg,g4068mab.jpg,84275605232,,Hearthside800,g4068mab.jpg
Wire Egg Basket - Black,G7346-B,Metal Products|(All) The Hearthside Collection|Everyday,"This black metal wire basket is the perfect way to display kitchen goods, soaps, towels, etc. Tapered sides with a black wooden handle. Stands 6"" H and 4.5"" W at base.",,,,,"Stands 6"" H and 4.5"" W at base.",,3,5.85,36,5.26,,,3,Hearthside400,Hearthside160,g7346b.jpg,g7346b.jpg,84275601318,,Hearthside800,g7346b.jpg
Wire Egg Basket - Rusty,G7346-A,Metal Products|(All) The Hearthside Collection|Everyday,"Rusty metal wire basket that is the perfect way to display kitchen goods, soaps, towels, etc. Tapered sides with a weathered wooden handle. Stands 6"" H and 4.5"" W at base.",,,,,"Stands 6"" H and 4.5"" W at base.",,3,5.85,36,5.26,,,3,Hearthside400,Hearthside160,g7346a-rusty-egg-basket.jpg,g7346a-rusty-egg-basket.jpg,8.43E+11,,Hearthside800,g7346a-rusty-egg-basket.jpg
Kitchen Timer Lantern In Rust,46298,Metal Products|(All) The Hearthside Collection|Candle-Holders,"This 9"" x 6"" battery-operated timer candle stays on for 6 hours and then shuts off for 18.
Requires 3 AA Batteries (not included)",,,,,"9"" x 6"" ",,4,14.95,16,13.95,,,4,Hearthside400,Hearthside160,46298.jpg,46298.jpg,8.43E+11,,Hearthside800,46298.jpg
Hanging Heart Taper Holder,H13020,Metal Products|(All) The Hearthside Collection|Everyday,"This black iron taper holder is 12"" long with slight distressing for a textured finish. A heart is shaped at the top with a drilled hole for hanging. Holder is sized for 1"" diameter tapers, the perfect fit for all of our Hearthside battery operated tapers! Holder also has room to hang a wreath.",,,,,"iron taper holder is 12"" long. Holder is sized for 1""Diameter tapers",,6,4.5,120,4.05,,,6,Hearthside400,Hearthside160,H13020_Heart-Metal-Candle-Holder_BG.jpg,H13020_Heart-Metal-Candle-Holder_BG.jpg,8.43E+11,,Hearthside800,H13020_Heart-Metal-Candle-Holder_BG.jpg
Kate Snow Doll,CS36990,Seasonal|(All) The Hearthside Collection|Winter,"Our Kate doll has a primitive look with stitched eyes and mouth and a stick nose. She is dressed in a stained gingham dress with a cheesecloth apron attached and pantaloons along with a red gingham tie around her neck. On top of her head is a crown of pine. She has floppy arms and legs to be easily displayed anywhere. Kate stands 17-1/4"" tall.",,,,,"Kate stands 17-1/4"" tall.",,4,9.95,24,8.95,,,4,Hearthside400,Hearthside160,CS36990_Kate_Background.jpg,CS36990_Kate_Background.jpg,84275609137 2,,Hearthside800,CS36990_Kate_Background.jpg
Sprinkles Snowball,90091,Seasonal|(All) The Hearthside Collection|Winter,"One of the dolls in our Sprinkles collection, Snowball is a self-standing snowman donning a plaid tweed coat with buttons and a felt scarf and top hat. He's got a snowball wedged in the crook of his arm and he's got primitive white sticks for hands. As the name entails, Snowball is finished off with a ""sprinkle"" of glitter for a luminous glow. Stands at 8"" tall.",,,,,"Stands at 8"" tall.",,4,9,48,8.1,,,4,Hearthside400,Hearthside160,90091_Sprinkles-Group.jpg,90091_Sprinkles-Group.jpg,84275609101 3,,Hearthside800,90091_Sprinkles-Group.jpg
Sprinkles Songbook,90090,Seasonal|(All) The Hearthside Collection|Winter,"One of the dolls in our Sprinkles collection, Songbook is a self-standing snowman donning a red hat and scarf and holding a songbook printed with musical notes and trimmed in pine that is attached to both arms. As the name entails, Stockings is finished off with a ""sprinkle"" of glitter for a luminous glow. Stands at 8-1/2"" tall.",,,,,"Stands at 8-1/2"" tall.",,4,9,48,8.1,,,4,Hearthside400,Hearthside160,90090.jpg,90090.jpg,84275609100 6,,Hearthside800,90090.jpg
Clip Light With Bulb,HLCORD,(All) The Hearthside Collection|Everyday,"Clear bulb on a winged, black metal clip that fits into the back of the wooden houses featured on this website. Two-prong plug on a 5 ft. cord with a rotary on/off switch.",,,,,Two-prong plug on a 5 ft,,2,2.5,50,2.25,,,2,Hearthside400,Hearthside160,HLCORDpop.jpg,HLCORDpop.jpg,0,,Hearthside800,HLCORDpop.jpg
Mini Scoop - Natural,10031,Accents|(All) The Hearthside Collection|Everyday,"Small resin scoop with the look of hand-carved wood and a wood grain texture resembles authentic Treenware. Measures approx. 5"" x 2.25"".
For decorative use only.",,,,,"Measures approximately 5"" x 2.25""",,12,2.2,72,2,,,12,Hearthside400,Hearthside160,10031.jpg,10031.jpg,84275600835,,Hearthside800,10031.jpg
Candy Cane Ornament W/Holly,33122,Accents|Ornaments & Tree Tags|(All) The Hearthside Collection|Winter,"Wooden candy cane adorned with holly leaves and a wire hanger measuring 2.5"" x 4.75"" is the perfect piece for an old-fashioned Christmas!
Created by one of our newest designers, Robyn Rose.",,,,,"measuring 2.5"" x 4.75"" is the perfect piece for an old-fashioned Christmas",,24,1.35,432,1.25,,,24,Hearthside400,Hearthside160,33122.jpg,33122.jpg,84275602648 0,,Hearthside800,33122.jpg
"Star Cutouts - 1.25""",T2047XS-A,Metal Products|(All) The Hearthside Collection|Everyday,"Rusty tin stars measuring 1.25"". 12/pack. Six pack minimum.",,,,,"measuring 1.25""",,6,1.5,360,1.35,,,6,Hearthside400,Hearthside160,t2047xsa-rusty-tin-star.jpg,t2047xsa-rusty-tin-star.jpg,87328300946,,Hearthside800,t2047xsa-rusty-tin-star.jpg
Candy Cane Ornament,33120,Accents|Ornaments & Tree Tags|(All) The Hearthside Collection|Winter,"Wooden candy cane measuring 5-3/4"" H x 1-3/4"" W gives the look of a primitive, homemade ornament from years past. The rusty wire hanger completes the rustic look.",,,,,"measuring 5-3/4"" H x 1-3/4"" W gives the look of a primitive, homemade ornament from years past.",,24,1.5,432,1.35,,,24,Hearthside400,Hearthside160,33120_Background.jpg,33120_Background.jpg,84275602747 0,,Hearthside800,33120_Background.jpg
