16-604-COR,16-604-Beach-happy---GRN.jpg,16-604-Beach-happy---GRN,16-604-COR.jpg,,,https://www.waresitat.com/data/productftp/Poorboys800/16-604-Beach-happy---GRN.jpg
16-605-COR,16-605-Beach-life-is-the-best-life---LTB.jpg,16-605-Beach-life-is-the-best-life---LTB,16-605-COR.jpg,,,https://www.waresitat.com/data/productftp/Poorboys800/16-605-Beach-life-is-the-best-life---LTB.jpg
16-608-COR,16-608-Drink-in-hand...-toes-in-sand---COR.jpg,16-608-Drink-in-hand...-toes-in-sand---COR,16-608-COR.jpg,,,https://www.waresitat.com/data/productftp/Poorboys800/16-608-Drink-in-hand...-toes-in-sand---COR.jpg
16-612-COR,16-612-I-wanna-soak-up-the---LTB.jpg,16-612-I-wanna-soak-up-the---LTB,16-612-COR.jpg,,,https://www.waresitat.com/data/productftp/Poorboys800/16-612-I-wanna-soak-up-the---LTB.jpg
16-614-COR,16-614-It's-a-shore-thing---SUN.jpg,16-614-It's-a-shore-thing---SUN,16-614-COR.jpg,,,https://www.waresitat.com/data/productftp/Poorboys800/16-614-It's-a-shore-thing---SUN.jpg
16-616-COR,16-616-Keep-calm-and-beach-on.jpg,16-616-Keep-calm-and-beach-on,16-616-COR.jpg,,,https://www.waresitat.com/data/productftp/Poorboys800/16-616-Keep-calm-and-beach-on.jpg
16-617-COR,16-617-Let-the-sand-set-you-free---GRN.jpg,16-617-Let-the-sand-set-you-free---GRN,16-617-COR.jpg,,,https://www.waresitat.com/data/productftp/Poorboys800/16-617-Let-the-sand-set-you-free---GRN.jpg
16-618-COR,16-618-Life-is-better-in-flip-flops---GRN.jpg,16-618-Life-is-better-in-flip-flops---GRN,16-618-COR.jpg,,,https://www.waresitat.com/data/productftp/Poorboys800/16-618-Life-is-better-in-flip-flops---GRN.jpg
16-620-COR,16-620-Love-anchors-the-soul---BLU.jpg,16-620-Love-anchors-the-soul---BLU,16-620-COR.jpg,,,https://www.waresitat.com/data/productftp/Poorboys800/16-620-Love-anchors-the-soul---BLU.jpg
16-621-COR,16-621-Peace-love-and-sandy-feet---GRN.jpg,16-621-Peace-love-and-sandy-feet---GRN,16-621-COR.jpg,,,https://www.waresitat.com/data/productftp/Poorboys800/16-621-Peace-love-and-sandy-feet---GRN.jpg
16-622-COR,16-622-Relax-you're-on-beach-time---BLU.jpg,16-622-Relax-you're-on-beach-time---BLU,16-622-COR.jpg,,,https://www.waresitat.com/data/productftp/Poorboys800/16-622-Relax-you're-on-beach-time---BLU.jpg
16-623-COR,16-623-Saltwater-is-the-best-medicine---BLU.jpg,16-623-Saltwater-is-the-best-medicine---BLU,16-623-COR.jpg,,,https://www.waresitat.com/data/productftp/Poorboys800/16-623-Saltwater-is-the-best-medicine---BLU.jpg
16-624-COR,16-624-Sandy-toes-and-salty-kisses---GRN.jpg,16-624-Sandy-toes-and-salty-kisses---GRN,16-624-COR.jpg,,,https://www.waresitat.com/data/productftp/Poorboys800/16-624-Sandy-toes-and-salty-kisses---GRN.jpg
16-625-COR,16-625-The-beach-is-calling-and-I-must-go---GRN.jpg,16-625-The-beach-is-calling-and-I-must-go---GRN,16-625-COR.jpg,,,https://www.waresitat.com/data/productftp/Poorboys800/16-625-The-beach-is-calling-and-I-must-go---GRN.jpg
