ids,original,wout space,desired upload filename,160,400,800,SHST
8047,VIP International Home & Garden,VIP_International_Home_&_Garden,VIP_International_Home_&_Garden_8047.xls,VIP160,VIP400,VIP800,VIP_Home_and_Garden_Products_SHST.xls
8049,Concepts in Time,Concepts_in_Time,Concepts_in_Time_8049.xls,Concepts160,Concepts400,Concepts800,
8050,Home Collections by Raghu Closeouts,Home_Collections_by_Raghu_Closeouts,Home_Collections_by_Raghu_Closeouts_8050.xls,Raghu160,Raghu400,Raghu800,
8051,Surf's Up Candles,Surf's_Up_Candles,Surf's_Up_Candles_8051.xls,Surfs160,Surfs400,Surfs800,
8055,PD Home & Garden,PD_Home_&_Garden,PD_Home_&_Garden_8055.xls,PDHome160,PDHome400,PDHome800,
8056,Special T Imports Closeouts,Special_T_Imports_Closeouts,Special_T_Imports_Closeouts_8056.xls,specialtimports160,specialtimports400,specialtimports800,
8057,Hanna's Handiworks,Hanna's_Handiworks,Hanna's_Handiworks_8057.xls,Hannas160,Hannas400,Hannas800,Hanna's_Handiworks_SHST.xls
8058,Hanna's Handiworks Closeouts,Hanna's_Handiworks_Closeouts,Hanna's_Handiworks_Closeouts_8058.xls,Hannas160,Hannas400,Hannas800,
8059,Market Street Wholesale,Market_Street_Wholesale,Market_Street_Wholesale_8059.xls,olivias160,olivias400,olivias800,Market_Street_Wholesale_SHST.xls
8061,Wholesale Home Decor Closeouts,Wholesale_Home_Decor_Closeouts,Wholesale_Home_Decor_Closeouts_8061.xls,Harv160,Harv400,Harv800,Wholesale_Home_Decor_Products_SHST.xls
8062,VIP Home & Garden Discount Closeouts,VIP_Home_&_Garden_Discount_Closeouts,VIP_Home_&_Garden_Discount_Closeouts_8062.xls,VIP160,VIP400,VIP800,
8064,Audrey's Closeouts and Sale,Audrey's_Closeouts_and_Sale,Audrey's_Closeouts_and_Sale_8064.xls,Audreys400a,Audreys160,Audreys800,
8065,Primitives by Kathy 50% Off Closeouts,Primitives_by_Kathy_50_Off_Closeouts,Primitives_by_Kathy_50%_Off_Closeouts_8065.xls,PBK160,PBK400,PBK800,
8066,Timeless By Design Closeouts,Timeless_By_Design_Closeouts,Timeless_By_Design_Closeouts_8066.xls,Timeless400,Timeless160,Timeless800,
8067,Timeless By Design,Timeless_By_Design,Timeless_By_Design_8067.xls,Timeless400,Timeless160,Timeless800,
8068,Mullberry Home Wholesale,Mullberry_Home_Wholesale,Mullberry_Home_Wholesale_8068.xls,Mulberry160,Mulberry400,Mulberry800,Mullberry_Home_Wholesale_SHST.xls
8069,GAR Wholesale Inc.,GAR_Wholesale_Inc.,GAR_Wholesale_Inc._8069.xls,GAR160,GAR400,GAR800,
8070,Knotty Expressions,Knotty_Expressions,Knotty_Expressions_8070.xls,Knotty160,Knotty400,Knotty800,
8071,Irvin's Tinware,Irvin's_Tinware,Irvin's_Tinware_8071.xls,Irvins160,Irvins400,Irvins800,Irvin's_Tinware_SHST.xls
8072,Flags Galore Decor,Flags_Galore_Decor,Flags_Galore_Decor_8072.xls,FlagsGaloreDecor160,FlagsGaloreDecor400,FlagsGaloreDecor800,Flag_Galore_Decor_SHST.xls
8073,JanMichael's Home Closeout Sale,JanMichael's_Home_Closeout_Sale,JanMichael's_Home_Closeout_Sale_8073.xls,JanMichael160,JanMichael400,JanMichael800,
8074,Barn Cat Mercantile,Barn_Cat_Mercantile,Barn_Cat_Mercantile_8074.xls,Barncat160,Barncat400,Barncat800,Barn_Cat_Mercantile_SHST.xls
8076,Crossroads Candles,Crossroads_Candles,Crossroads_Candles_8076.xls,Crossroads160,Crossroads400,Crossroads800,Crossroads_Candles_SHST.xls
8077,Papas Candle Shoppe,Papas_Candle_Shoppe,Papas_Candle_Shoppe,Papas_Candle_Shoppe_8077.xls,,,
8078,,,,,,,
