name,sku,upc,price,availableQuantity,imageUrl1,imageurl2,imageUrl3,imageurl4,imageurl5,imageurl6,imageurl7,imageUrl8,imageurl9,imageurl10
LARGE AGED SILVER BEAD GARLAND,4128L,636173557760,5.75,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2930/images/6189/4128L__33452.1626460177.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2930/images/6188/RagonHouse08202019-161__71997.1633100984.1280.1280.jpg?c=1,,,,,,,,
XL AGED SILVER BEAD GARLAND,4128XL,636173557777,7.75,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2867/images/26392/RagonHouse08202019-194__76286.1677864250.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2867/images/26393/4128XL__23083.1677864250.1280.1280.jpg?c=1,,,,,,,,
AGED RED BEAD GARLAND,4129L,636173557784,5.75,10,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2868/images/26394/4129L__86626.1677864251.1280.1280.jpg?c=1,,,,,,,,,
XL AGED RED BEAD GARLAND,4129XL,636173557791,7.75,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2869/images/26395/RagonHouse08202019-192__69214.1677864251.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2869/images/26396/4129XL__06923.1677864251.1280.1280.jpg?c=1,,,,,,,,
BLACK METAL TAPER CANDLE HOLDER,46218,,3.25,150,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/4169/images/6776/D169999_SB157007__53883.1626460302.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/4169/images/6777/D169999__49241.1626460302.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/4169/images/6778/D169999_SB157009__34433.1626460302.1280.1280.jpg?c=1,,,,,,,
BLACK METAL TAPER HOLDER SMALL,46237,842756049564,3.0,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/8004/images/18535/46237_3__09094.1647283382.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/8004/images/18536/46237_2__01655.1647283382.1280.1280.jpg?c=1,,,,,,,,
ROUND TAPER HOLDER,46334,842756091594,2.95,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/8003/images/18865/46334__42007.1651668054.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/8003/images/18533/46334__02009.1651668051.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/8003/images/18534/46334_3__03858.1651668051.1280.1280.jpg?c=1,,,,,,,
9'  VINTAGE SILVER TINSEL GARLAND,5131,636173548508,4.5,90,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2795/images/27798/5131_1__53208.1682969173.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2795/images/27641/5131__95323.1680632173.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2795/images/26914/5131__26429.1682969166.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2795/images/26913/5131-1__21925.1682969166.1280.1280.jpg?c=1,,,,,,
"6"" GREEN BOTTLEBRUSH TREE",5351,636173548560,2.95,145,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2796/images/27799/5351_2__26097.1682969263.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2796/images/27800/5351_5352_5353_3__74351.1682969263.1280.1280.jpg?c=1,,,,,,,,
"8"" GREEN BOTTLEBRUSH TREE",5352,636173548577,3.95,165,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2797/images/27801/5352_1__13406.1682969415.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2797/images/27802/5351_5352_5353_3__57235.1682969420.1280.1280.jpg?c=1,,,,,,,,
"10"" GREEN BOTTLEBRUSH TREE",5353,636173548584,5.5,133,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2798/images/27803/5353_1__30444.1682969547.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2798/images/26252/5353_fbhv-fs__96292.1682969547.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2798/images/27804/5351_5352_5353_2__25232.1682969524.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2798/images/26254/5353_7__76788.1682969518.1280.1280.jpg?c=1,,,,,,
"15"" ORANGE BIG MOUTH  PUMPKIN",7064,636173548652,38.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2799/images/26286/7064_3__16687.1677864227.1280.1280.jpg?c=1,,,,,,,,,
"15"" WHITE BIG MOUTH PUMPKIN",7064W,636173557845,37.95,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/7716/images/17691/7064W__75574.1645804301.1280.1280.jpg?c=1,,,,,,,,,
SAM MACHE SNOWMAN,8045,636173548775,18.95,3,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2800/images/26287/8045__65449.1677864227.1280.1280.jpg?c=1,,,,,,,,,
"4"" LARGE GERMAN SHEEP",8141,636173548843,5.75,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2801/images/26744/8141__55635.1678369100.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2801/images/26745/8142_8141__64417.1678369101.1280.1280.jpg?c=1,,,,,,,,
"5.5"" EXTRA LARGE GERMAN SHEEP",8142,636173548850,6.75,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2802/images/26747/8142__05602.1678369321.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2802/images/26746/8142_8141__08157.1678369320.1280.1280.jpg?c=1,,,,,,,,
WHITE ICE SKATES ORNAMENT,8375,636173549048,7.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2803/images/26290/RagonHouseProduct090319-302__99463.1677864228.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2803/images/26291/8375__89512.1677864228.1280.1280.jpg?c=1,,,,,,,,
SANTA'S BIG BAG,9025,636173549062,36.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2804/images/26255/9025_3__33840.1677862046.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2804/images/26256/RHProduct10042019-149__68436.1677862046.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2804/images/26257/9025__96428.1677862046.1280.1280.jpg?c=1,,,,,,,
"17"" VINTAGE RED BELSNICKLE",9054,636173549116,22.5,3,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2805/images/26292/9054_1__26261.1677864229.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2805/images/26293/9054__02048.1677864229.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2805/images/26294/9054-_9056_1__79000.1677864229.1280.1280.jpg?c=1,,,,,,,
