Product Name,Item Number,Store Categories,Detailed Product Description,Product Summary Overview,Size,minimum_quantity,Unit Price,minimum_quantityP2,tier_2_price,minimum_quantityP3,tier_3_price,multiple_of,Product Images,Quantity,MSRP,Sale Price,Ship Days,Is Active,Brand,Categories,Variations,Section,Sku,isImageAvailable,,
SNOWBALLS-LARGE,CHD172,(All) ACG View|ACG Giftware,,,"6.5""ùW x 6.75""ùH x 4.25""ùD",2,6.5,,,,,2,chd172-snowballs-lg.jpg,1,13,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303172-9,1,,
SNOWBALLS-SMALL ,CHD173,(All) ACG View|ACG Giftware,,,"4""ùW x 4""ùH x 2.5""ùD",4,4,,,,,4,chd173-snowballs-sm.jpg,1,8,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303173-6,1,,
SNOWBOY & SNOWGIRL-STANDING-LARGE ,CHD174,(All) ACG View|ACG Giftware,"Set of 2. Product Dimensions: 3.25""ùW x 6.25""ùH x 2.25""ùD",,,2,7.5,,,,,2,chd174-snowboy-girl-standing-lg.jpg,1,15,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303174-3,1,,
BOY & GIRL ON SNOWBALL-LARGE SET of 2,CHD176,(All) ACG View|ACG Giftware,,,,2,8.5,,,,,2,CHD176 & CHD182-Boy and Girl on Snowball.jpg,1,17,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303176-7,1,,
SHELF SITTER BOY & GIRL-LARGE ,CHD177,(All) ACG View|ACG Giftware,"Set of 2. Product Dimensions: 3.25""ùW x 9""ùH x 2.25""ùD",,,2,8,,,,,2,chd177-shelf-sitter-lg.jpg,1,16,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303177-4,1,,
SNOWBOY & SNOWGIRL RESTING-LARGE ,CHD178,(All) ACG View|ACG Giftware,"Set of 2. Product Dimensions: 4.25""ùW x 6""ùH x 4.75""ùD",,,2,8,,,,,2,chd178-snowboy-girl-resting-lg.jpg,1,16,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303178-1,1,,
SNOWBOY & SNOWGIRL-STANDING-SM ,CHD180,(All) ACG View|ACG Giftware,"Set of 2. Product Dimensions: 2.25""ùW x 4.25""ùH x 1.75""ùD",,,4,5.5,,,,,4,chd180-snowboy-girl-standing-sm.jpg,1,11,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303180-4,1,,
BOY & GIRL ON SNOWBALL-SMALL SET of 2,CHD182,(All) ACG View|ACG Giftware,"Set of 2. Product Dimensions: 2.25""ùW x 4.25""ùH x 2.25""ùD",,,4,6,,,,,4,chd182-boy-girl-snowball-sm.jpg,1,12,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303182-8,1,,
SHELF SITTER BOY & GIRL-SMALL ,CHD183,(All) ACG View|ACG Giftware,"Set of 2. Product Dimensions: 2.375""ùW x 7""ùH x 2""ùD",,,4,6,,,,,4,chd183-shelf-sitter-sm.jpg,1,12,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303183-5,1,,
SNOWBOY & SNOWGIRL RESTING-SMALL,CHD184,(All) ACG View|ACG Giftware,"Set of 2. Product Dimensions: 2.25""ùW x 3.5""ùH x 2.375""ùD",,,4,5.5,,,,,4,chd184-snowboy-girl-resting-sm.jpg,1,11,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303184-2,1,,
