Christmas Ornament-Resin-Silver Star-Rejoice,12115,(All) Lighthouse Products|Christmas,"Silver metallic finish, suspended star with title, engraved Scripture, ribbon to hang.",,,,,"Product Size: 4"" x 4 1/4""",,6,4.495,,,,,6,Lighthouse400,Lighthouse160,12115.jpg,12115.jpg,Resin  -  Scripture Reference: Luke 2:10-11,,Lighthouse800,12115.jpg,
Christmas Ornament-Resin-Silver Star-Peace,12116,(All) Lighthouse Products|Christmas,"Silver metallic finish, suspended star with title, engraved Scripture, ribbon to hang.",,,,,"Product Size: 4"" x 4 1/4""",,6,4.495,,,,,6,Lighthouse400,Lighthouse160,12116.jpg,12116.jpg,Resin  -  Scripture Reference: Romans 15:13,,Lighthouse800,12116.jpg,
Christmas Ornament-Resin-Silver Star-Believe,12118,(All) Lighthouse Products|Christmas,"Silver metallic finish, suspended star with title, engraved Scripture, ribbon to hang.",,,,,"Product Size: 4"" x 4 1/4""",,6,4.495,,,,,6,Lighthouse400,Lighthouse160,12118.jpg,12118.jpg,Resin  -  Scripture Reference: John 3:16,,Lighthouse800,12118.jpg,
Christmas Ornament-Resin-Distinctive-Rugged Cross,12148,(All) Lighthouse Products|Christmas,"Handpainted, printed Scripture, twine to hang.",,,,,"Product Size: 3"" x 3 3/4""",,6,2.995,,,,,6,Lighthouse400,Lighthouse160,12148.jpg,12148.jpg,Resin  -  Scripture Reference: John 3:16,,Lighthouse800,12148.jpg,
Christmas Ornament Cross-Ceramic-Ribbon Hanger-Simple-Jesus,12151,(All) Lighthouse Products|Christmas,"Raised border, printed title and Scripture, ribbon to hang.",,,,,"Product Size: 4 1/4"" x 3""",,4,4.995,,,,,4,Lighthouse400,Lighthouse160,12151.jpg,12151.jpg,Ceramic  -  Scripture Reference: Luke 2:11,,Lighthouse800,12151.jpg,
Christmas Ornament-Cross-Ceramic-Ribbon Hanger-Simple-Believe,12152,(All) Lighthouse Products|Christmas,"Raised border, printed title and Scripture, ribbon to hang.",,,,,"Product Size: 4 1/4"" x 3""",,4,4.995,,,,,4,Lighthouse400,Lighthouse160,12152.jpg,12152.jpg,Ceramic  -  Scripture Reference: Luke 1:37,,Lighthouse800,12152.jpg,
Christmas Frame-MDF-Very Merry Christmas-Merry Christmas,12370,(All) Lighthouse Products|Christmas,"Fun Christmas design, printed title and Scripture, easel back.",,,,,"Product Size: 9 1/4"" x 7 1/8""
""
Photo Size: 4"" x 6""",,1,10,,,,,1,Lighthouse400,Lighthouse160,12370.jpg,12370.jpg,MDF/Resin  -  Scripture Reference: Isaiah 9:6,,Lighthouse800,12370.jpg,
"Christmas Ornament-Glass-Very Merry Christmas-Jesus, Our Savior",12372,(All) Lighthouse Products|Christmas,"Fun Christmas design, printed title and Scripture, ribbon to hang.",,,,,"Product Size: 3 1/2"" x 3 1/2""",,3,5,,,,,3,Lighthouse400,Lighthouse160,12372.jpg,12372.jpg,Glass  -  Scripture Reference: Rev. 19:6,,Lighthouse800,12372.jpg,
Christmas Ornament-Resin-Mailbox-Message from God,12979,(All) Lighthouse Products|Christmas,"Ribbon to hang, special message in box, can personalize.",,,,,"Product Size: 2 3/4"" x 4 1/16""",,3,4.995,,,,,3,Lighthouse400,Lighthouse160,12979.jpg,12979.jpg,Resin  -  Scripture Reference: John 3:16,,Lighthouse800,12979.jpg,
Frame-Collage-Metal-Thirteen Photo-Baby's First Year,25004,(All) Lighthouse Products,,,,,,"Product Size: 9 1/2"" x 12""",,1,18.995,,,,,1,Lighthouse400,Lighthouse160,25004.jpg,25004.jpg,Verse: Psalm 127:3,,Lighthouse800,25004.jpg,
Frame-Collage-MDF-Black w/Brushed Silver plate-Five Photo-35th Anniversary,25709,(All) Lighthouse Products,,,,,,"Product Size: 10 1/2"" x 14 1/4""",,1,19.495,,,,,1,Lighthouse400,Lighthouse160,25709.jpg,25709.jpg,Verse: Hebrews 13:4,,Lighthouse800,25709.jpg,
Frame-Collage-MDF-Black w/Brushed Silver plate-Five Photo-45th Anniversary,25711,(All) Lighthouse Products,,,,,,"Product Size: 10 1/2"" x 14 1/4""",,1,19.495,,,,,1,Lighthouse400,Lighthouse160,25711.jpg,25711.jpg,Verse: Hebrews 13:4,,Lighthouse800,25711.jpg,
Cross-Wall/Desktop-Cast Stone-Copper-Stand Firm-Pastor,11216,(All) Lighthouse Products|Collections,,,,,,"Product Size: 6 1/2"" x 9""",,1,11,,,,,1,Lighthouse400,Lighthouse160,11216.jpg,11216.jpg,Verse: 1 Corinthians 15:58 & Galations 6:9,,Lighthouse800,11216.jpg,
Cross-Wall/Desktop-Cast Stone-You Are Loved,11261,(All) Lighthouse Products|Collections,,,,,,"Product Size: 5 3/4"" x 8""",,1,8.495,,,,,1,Lighthouse400,Lighthouse160,11261.jpg,11261.jpg,Verse: Romans 5:8,,Lighthouse800,11261.jpg,
Cross-Wall/Desktop-Cast Stone-Grow in Grace,11263,(All) Lighthouse Products|Collections,,,,,,"Product Size: 4 3/4"" x 6""",,1,8.495,,,,,1,Lighthouse400,Lighthouse160,11263.jpg,11263.jpg,Verse: 2 Peter 3:18,,Lighthouse800,11263.jpg,
Cross-Wall/Desktop-Cast Stone-Confirmed in Christ,11264,(All) Lighthouse Products|Collections,,,,,,"Product Size: 4 3/4"" x 6""",,1,8.495,,,,,1,Lighthouse400,Lighthouse160,11264.jpg,11264.jpg,Verse: 2 Peter 3:18,,Lighthouse800,11264.jpg,
Cross-Wall/Desktop-Cast Stone-Baptized in Christ,11266,(All) Lighthouse Products|Collections,,,,,,"Product Size: 4 3/4"" x 6""",,1,8.495,,,,,1,Lighthouse400,Lighthouse160,11266.jpg,11266.jpg,Verse: 2 Corinthians 5:17-18,,Lighthouse800,11266.jpg,
Cross-MDF-Aqua-For This Child I Prayed,11308,(All) Lighthouse Products|Collections,,,,,,"Product Size: 7"" x 10""",,1,8.495,,,,,1,Lighthouse400,Lighthouse160,11308.jpg,11308.jpg,Verse: 1 Samuel 1:27,,Lighthouse800,11308.jpg,
Cross-Wall-Cast Stone-Armor of God,11315,(All) Lighthouse Products|Collections,,,,,,"Product Size: 10 3/4"" x 15"" x 5/8""",,1,18.5,,,,,1,Lighthouse400,Lighthouse160,11315.jpg,11315.jpg,Verse: Ephesians 6:10-18,,Lighthouse800,11315.jpg,
Cross-MDF-Large-It Is Written-By Grace,11321,(All) Lighthouse Products|Collections,,,,,,"Product Size: 6 3/4"" x 9""",,1,9.995,,,,,1,Lighthouse400,Lighthouse160,11321.jpg,11321.jpg,Verse: Ephesians 2:8,,Lighthouse800,11321.jpg,
Cross-Cross-Desktop/WallCast Stone-Stacked Stones,11458,(All) Lighthouse Products|Collections,,,,,,"Product Size: 6 5/8"" x 9"" x 5/8""",,1,11,,,,,1,Lighthouse400,Lighthouse160,11458.jpg,11458.jpg,Verse: Various,,Lighthouse800,11458.jpg,
Plaque-MDF/Burlap-Linen Textured-All Things Are Possible,11576,(All) Lighthouse Products|Collections,,,,,,"Product Size: 5"" x 5"" x 5/8""",,1,6.5,,,,,1,Lighthouse400,Lighthouse160,11576.jpg,11576.jpg,Verse: Matthew 19:26,,Lighthouse800,11576.jpg,
Plaque-MDF/Burlap-Linen Textured-The Lord is Faithful,11577,(All) Lighthouse Products|Collections,,,,,,"Product Size: 5"" x 5"" x 5/8""",,1,6.5,,,,,1,Lighthouse400,Lighthouse160,11577.jpg,11577.jpg,Verse: 2 Thessalonians 3:3,,Lighthouse800,11577.jpg,
