Seamist Scented Bulb (4Watt),01-3307,(All) Vicki Jeans Products|All Bulbs|Scented Bulbs,Sea Mist Scented 4 Watt Bulb with a Candelabra Base.,,,,,,,6,1.95,,,,,6,VickieJeans400,VickieJeans160,306.jpg,306.jpg,,,VickieJeans800,306.jpg,,,,,
Crisp Cotton Scented Bulb (4Watt),01-3308,(All) Vicki Jeans Products|All Bulbs|Scented Bulbs,Soft Linen Scented 4 Watt Bulb with a Candelabra Base.,,,,,,,6,1.95,,,,,6,VickieJeans400,VickieJeans160,307.jpg,307.jpg,,,VickieJeans800,307.jpg,,,,,
Spicy Rosehips Scented Bulb (4Watt),01-3309,(All) Vicki Jeans Products|All Bulbs|Scented Bulbs,Spicy Rosehips Scented 4 Watt Bulb with a Candelabra Base. Also available in 7.5 Watt for $3.05.,,,,,,,6,1.95,,,,,6,VickieJeans400,VickieJeans160,309.jpg,309.jpg,,,VickieJeans800,309.jpg,,,,,
Sweet Pea Scented Bulb (4Watt),01-3310,(All) Vicki Jeans Products|All Bulbs|Scented Bulbs,Sweet Pea Scented 4 Watt Bulb with a Candelabra Base. Also available in 7.5 Watt for $3.05.,,,,,,,6,1.95,,,,,6,VickieJeans400,VickieJeans160,310.jpg,310.jpg,,,VickieJeans800,310.jpg,,,,,
Red Hot Chili Pepper Scented Bulb (4Watt),01-3314,(All) Vicki Jeans Products|All Bulbs|Scented Bulbs,Red Hot Chili Pepper Scented 4 Watt Bulb with a Candelabra Base.,,,,,,,6,1.95,,,,,1,VickieJeans400,VickieJeans160,313.jpg,313.jpg,,,VickieJeans800,313.jpg,,,,,
Caramel Apple Scented Bulb (4Watt),01-3316,(All) Vicki Jeans Products|All Bulbs|Scented Bulbs,Caramel Apple Scented 4 Watt Bulb with a Candelabra Base.,,,,,,,6,1.95,,,,,6,VickieJeans400,VickieJeans160,315.jpg,315.jpg,,,VickieJeans800,315.jpg,,,,,
Cappuccino Scented Bulb (4Watt),01-3317,(All) Vicki Jeans Products|All Bulbs|Scented Bulbs,Cappuccino Scented 4 Watt Bulb with a Candelabra Base. Also available in 7.5 Watt for $3.05.,,,,,,,6,1.95,,,,,1,VickieJeans400,VickieJeans160,312.jpg,312.jpg,,,VickieJeans800,312.jpg,,,,,
Candy Corn Scented Bulb (4Watt),01-3318,(All) Vicki Jeans Products|All Bulbs|Scented Bulbs,Candy Corn Scented 4 Watt Bulb with a Candelabra Base,,,,,,,6,1.95,,,,,1,VickieJeans400,VickieJeans160,314.jpg,314.jpg,,,VickieJeans800,314.jpg,,,,,
7.5 Watt Cappuccino Scented Bulb,01-3319,(All) Vicki Jeans Products|All Bulbs|Scented Bulbs,7.5 Watt Cappuccino scented silicone dipped bulb with a standard base.,,,,,,,6,3.05,,,,,6,VickieJeans400,VickieJeans160,557.jpg,557.jpg,,,VickieJeans800,557.jpg,,,,,
Bat on Moon Nightlight,07-4203,(All) Vicki Jeans Products|All Lights|Halloween|Nightlights,"Nightlight with Bat on Moon Silicone Bulb. Inner bulb is replaceable, Item # 01-1000 ($1.00).",,,,,,,1,7.5,,,,,1,VickieJeans400,VickieJeans160,415.jpg,415.jpg,,,VickieJeans800,415.jpg,,,,,
White Dragonfly Bulb,01-4205,(All) Vicki Jeans Products|Specialty Bulbs|All Bulbs,White Dragonfly Silicone Bulb - Inner Bulb Is Replaceable Item # 01-3000 ($1.00),,,,,,,6,3.5,,,,,6,VickieJeans400,VickieJeans160,169.jpg,169.jpg,,,VickieJeans800,169.jpg,,,,,
White Dragonfly Nightlight,07-4205,(All) Vicki Jeans Products|All Bulbs|Nightlights,"White Dragonfly Bulb Nightlight, Inner bulb is replaceable, Item #01-3000 ($1.00).",,,,,,,1,7.5,,,,,1,VickieJeans400,VickieJeans160,488.jpg,488.jpg,,,VickieJeans800,488.jpg,,,,,
White Butterfly Bulb,01-4206,(All) Vicki Jeans Products|Specialty Bulbs|All Bulbs,White Butterfly Silicone Bulb - Inner Bulb Is Replaceable Item # 01-3000 ($1.00),,,,,,,6,3.5,,,,,6,VickieJeans400,VickieJeans160,167.jpg,167.jpg,,,VickieJeans800,167.jpg,,,,,
White Butterfly Nightlight,07-4206,(All) Vicki Jeans Products|All Bulbs|Nightlights,"White Butterfly Bulb Nightlight, Inner bulb is replaceable, Item #01-3000 ($1.00).",,,,,,,1,7.5,,,,,1,VickieJeans400,VickieJeans160,486.jpg,486.jpg,,,VickieJeans800,486.jpg,,,,,
Pineapple Bulb,01-4207,(All) Vicki Jeans Products|Specialty Bulbs|All Bulbs,"Pineapple Silicone Bulb, Inner Bulb Is Replaceable Item #01-3000 ($1.00).",,,,,,,6,4.95,,,,,6,VickieJeans400,VickieJeans160,506.jpg,506.jpg,,,VickieJeans800,506.jpg,,,,,
Pineapple Nightlight,07-4207,(All) Vicki Jeans Products|All Bulbs|Nightlights,"Pineapple Nightlight, Inner Bulb Is Replaceable Item # 01-3000",,,,,,,1,9.5,,,,,1,VickieJeans400,VickieJeans160,507.jpg,507.jpg,,,VickieJeans800,507.jpg,,,,,
Bat & Moon Moonshower Bulb,01-4208,(All) Vicki Jeans Products|Specialty Bulbs|Halloween|All Bulbs,"Bat & Moon on Moonshower Bulb, Inner Bulb Is Replaceable Item # 01-1000 ($1.00).",,,,,,,6,3.5,,,,,6,VickieJeans400,VickieJeans160,462.jpg,462.jpg,,,VickieJeans800,462.jpg,,,,,
Welcome Lamp with Bat & Moon Moonshower Bulb,08-4208,(All) Vicki Jeans Products|All Lights,"Welcome Lamp with Moon & Bat Moonshower Bulb. Inner Bulb is Replaceable, Item #01-1000 ($1.00).",,,,,,,1,9.75,,,,,1,VickieJeans400,VickieJeans160,579.jpg,579.jpg,,,VickieJeans800,579.jpg,,,,,
Snowman Moonshower Bulb,01-4209,(All) Vicki Jeans Products|Specialty Bulbs|Christmas|All Bulbs,"Snowman Moonshower Bulb, Inner Bulb Is Replaceable Item # 01-1000 ($1.00)",,,,,,,6,3.5,,,,,6,VickieJeans400,VickieJeans160,465.jpg,465.jpg,,,VickieJeans800,465.jpg,,,,,
Ghost w/ Hat Moonshower Bulb,01-4212,(All) Vicki Jeans Products|Specialty Bulbs|Halloween|All Bulbs,"Ghost with Black Hat Moonshower Bulb, Inner Bulb Is Replaceable Item # 01-1000 ($1.00)",,,,,,,6,4.5,,,,,6,VickieJeans400,VickieJeans160,464.jpg,464.jpg,,,VickieJeans800,464.jpg,,,,,
Ghost Moonshower Bulb,01-4213,(All) Vicki Jeans Products|Specialty Bulbs|Halloween|All Bulbs,"Ghost Moonshower Bulb (No Hat), Inner Bulb Is Replaceable Item # 01-1000 ($1.00)",,,,,,,6,3.5,,,,,6,VickieJeans400,VickieJeans160,463.jpg,463.jpg,,,VickieJeans800,463.jpg,,,,,
Glitter Swirl Moonshower Bulb,01-4214,(All) Vicki Jeans Products|Specialty Bulbs|Halloween|All Bulbs,"Glitter Swirl Moonshower Bulb, Inner Bulb Is Replaceable Item # 01-1000 ($1.00)",,,,,,,6,3.5,,,,,6,VickieJeans400,VickieJeans160,468.jpg,468.jpg,,,VickieJeans800,468.jpg,,,,,
Stardust Nightlight,07-4215,(All) Vicki Jeans Products|All Bulbs|Nightlights,"Stardust Nightlight, Inner Bulb Is Replaceable Item # 01-1000",,,,,,,1,7.5,,,,,1,VickieJeans400,VickieJeans160,495.jpg,495.jpg,,,VickieJeans800,495.jpg,,,,,
