"BIRDS ON CLIPS, FEATHER - BOX OF 3 - TEAL NECK FEATHERS",2442-3,(All) HomArt Products|(Home Decor) Top Sellers|(Sale) September Markdowns,"An assortment of three life-like birds made of soft and delicate natural feathers feature either a discreet clip. A unique addition to floral arrangements, place settings, gift-wraps or home decor!",In stock,7.1,,,"length: 4.50 in
width: 1.50 in
height: 1.50 in
cube: 0.00
weight: 0.10 lb
material: styrofoam, feathers",,4,9,,,,,4,HomArt400,HomArt160,2442-3.jpg,2442-3.jpg,,,HomArt800,2442-3.jpg
"Botanical Stem - Mini Pinecone, White",2833-6,(All) HomArt Products|(Sale) September Markdowns,"Handcrafted of natural mini pinecones attached to a wire twig our botanical stem effortlessly creates dimension and texture. Cluster and create arrangements in vases, bind together to create a wreath or swag, organically arrange them down a table or",In stock,3.95,,,4.0 x 2.0 x 16.0,,12,39.95,48,3.6,,,12,HomArt400,HomArt160,2833-6.JPG,2833-6.JPG,6.46964E+11,,HomArt800,2833-6.JPG
"Desk Organizer, Cement - Terra Cotta - Sm",3221-1,(All) HomArt Products|(Sale) September Markdowns,"Cast of cement and offered in a terra cotta finish this sturdy organizer is the perfect piece to drop in your pens, scissors, letter opener, business cards and the like for a no-fuss organization system.",In stock,5.3,,,9.0 x 2.0 x 2.75,,4,7,,,,,4,HomArt400,HomArt160,3221-1.JPG,3221-1.JPG,6.46964E+11,,HomArt800,3221-1.JPG
"Desk Organizer, Cement - Terra Cotta - Lrg",3222-1,(All) HomArt Products|(Sale) September Markdowns,"Cast of cement and offered in a terra cotta finish this sturdy organizer is the perfect piece to drop in your pens, scissors, letter opener, business cards and the like for a no-fuss organization system.",In stock,13.5,,,10.0 x 4.5 x 2.0,,2,18,,,,,2,HomArt400,HomArt160,3222-1.JPG,3222-1.JPG,6.46964E+11,,HomArt800,3222-1.JPG
RONA CERAMIC VASE - MED - WHITE,3273-6,(All) HomArt Products|(Sale) September Markdowns,"The balance of raw earthenware and smooth, matte white glaze is complimented by the organic handmade shape of the Rona Ceramic Vase. Just add a touch of greeny for a simple, sophisticated display.",In stock,12.4,,,"length: 3 in
width: 3.50 in
height: 11 in
cube: 0.00 cbm
weight: 1.40 lb
size (us): 3x3.5x11
material: ceramic",,4,16,,,,,4,HomArt400,HomArt160,3273-6.jpg,3273-6.jpg,,,HomArt800,3273-6.jpg
"BUNGALOW DISPLAY CASE, WOOD",3321-0,(All) HomArt Products|(Home Decor) Top Sellers|(Sale) September Markdowns,Designed with foragers in mind the Bungalow Display Case is an idyllic piece for handsomely displaying collections and precious finds while keeping the contents safe and guarded. The distressed white interior lends light to all it encases.,In stock,48,,,"length: 16 in
width: 16 in
height: 6 in
weight: 7 lb
size (us): 16x16x6
material: wood",,1,61,4,44.5,,,1,HomArt400,HomArt160,3321-0.jpg,3321-0.jpg,,,HomArt800,3321-0.jpg
WOOD SLICE ORNAMENT - BUTTERFLY,33227-0,(All) HomArt Products|(Sale) September Markdowns|Holiday Vintage,Bring the outdoors into your holiday decorating! The Wood Slice Ornament adds a rustic charm while displaying a variety of metal garden critters.,In stock,1.75,,,"length: 0.75 in
width: 2.75 in
height: 2.75 in
cube: 0.00 cbm
weight: 0.20 lb
material: wood, metal",,8,3.25,,,,,8,HomArt400,HomArt160,33227-0.jpg,33227-0.jpg,,,HomArt800,33227-0.jpg
"Nimbus Birds, Wood, Set of 2",4187-0,(All) HomArt Products|(Sale) September Markdowns,This duo of kiri wood birds with metal legs and whimsical wings have pleasantly  perky stances and are universally styled to migrate from the prairie to the beach.,In stock,33,,,9.0 x 2.5 x 14.0,,2,44,,,,,2,HomArt400,HomArt160,4187-0.JPG,4187-0.JPG,6.46964E+11,,HomArt800,4187-0.JPG
"Sandpiper, Wood - Sm",4723-0,(All) HomArt Products|(Sale) September Markdowns,Distressed paint combined with the heavy grain and weathered texture of Kiri Wood naturally lends itself to our stoic sandpiper.,In stock,3.8,,,5.75 x 2.5 x 6.25,,4,5,,,,,4,HomArt400,HomArt160,4723-0.jpg,4723-0.jpg,6.46964E+11,,HomArt800,4723-0.jpg
"Sandpiper, Wood - Lrg",4724-0,(All) HomArt Products|(Sale) September Markdowns,Distressed paint combined with the heavy grain and weathered texture of Kiri Wood naturally lends itself to our stoic sandpiper.,In stock,6,,,9.0 x 3.0 x 9.75,,4,8,,,,,4,HomArt400,HomArt160,4724-0.jpg,4724-0.jpg,6.46964E+11,,HomArt800,4724-0.jpg
