Product Name,Item Number,Miscellaneous,Detailed Product Description,Product Summary Overview,Size,minimum_quantity,Unit Price,minimum_quantityP2,tier_2_price,minimum_quantityP3,tier_3_price,multiple_of,Product Images,Quantity,MSRP,Sale Price,Ship Days,Is Active,Brand,Categories,Variations,Section,Sku,isImageAvailable,,
Product Name,Item Number,Miscellaneous,Detailed Product Description,Product Summary Overview,Size,minimum_quantity,Unit Price,minimum_quantityP2,tier_2_price,minimum_quantityP3,tier_3_price,multiple_of,Product Images,Quantity,MSRP,Sale Price,Ship Days,Is Active,Brand,Categories,Variations,Section,Sku,isImageAvailable,,
"27x27"" Euro Pillow Filler",OH-EVE 2727,(All) Market Street Wholesale|Bedding,"27x27"" filler for our 26"" euro shams
Polyester Filled
Machine wash gentle cycle. Air dry.
  SKU: VH-9903",,,1,9.5,,,,,1,pillow_filler_f7e154b6-f8c3-4071-8470-3e601313ba73__37066.1504818125.jpg,1,19,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Bed Skirts,316871067,1,,
Burlap Star Black Pillow Cover,IHF-375 PL,(All) Market Street Wholesale|Bedding,"16""x16""
Machine wash on gentle cycle with cold water and hang dry.
Material: 100% cotton
Part of our BURLAP STAR BLACK Collection
Color: black
Pillow filler sold separately HERE
  SKU:IHF-375 PL",,,1,15,,,,,1,IHF-375PL__33095.1508258834.jpg,1,30,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Bed Skirts,316871068,1,,
"Love You Pillow: 14""X16""",IHF-595 PL-LYM,(All) Market Street Wholesale|Bedding,"Depicts a moon and the words ""Love you to the moon and back""
14""x16""
Machine wash on gentle cycle with cold water and hang dry.
Material: 100% cotton
Rectangular pillow printed and embroidered with an affectionate design and embellished with star decorations.
Color: brown
 SKU:IHF-595 PL-LYM",,,1,15.5,,,,,1,IHF-595PL-LYM__69555.1508258974.jpg,1,31,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Bed Skirts,316871069,1,,
"Star Patch Pillow: 14""X18""",IHF-595 PL-STP,(All) Market Street Wholesale|Bedding,"Features an antique key accent
14""x18""
Machine wash on gentle cycle with cold water and hang dry.
Material: 100% cotton
Square pillow with a distressed star pattern and a patch design.
Part of our STARGAZER CHARCOAL Collection
Color: charcoal and beige
 SKU:IHF-595 PL-STP",,,1,15.5,,,,,1,IHF-595PL-STP__42486.1508258976.jpg,1,31,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Bed Skirts,316871070,1,,
"Beautiful Ride Pillow: 14""X18""",IHF-595 PL-BR,(All) Market Street Wholesale|Bedding,"Depicts a tandem bicycle and the words ""It doesn't matter where you're going, it's who you have beside you""
14""x18""
Machine wash on gentle cycle with cold water and hang dry.
Material: 100% cotton
Rectangular pillow featuring gray tones and a vintage design.
Part of our VINTAGE BIKE Collection
Color: gray and black
 SKU:IHF-595 PL-BR",,,1,15.5,,,,,1,IHF-595PL-BR__03483.1508258971.jpg,1,31,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Bed Skirts,316871071,1,,
Vintage Star Wine Queen Skirt,IHF-134 QS-W,(All) Market Street Wholesale|Bedding,"Part of the Vintage Star Wine collection, featuring tan & burgundy tones.
This queen skirt measures 60in. x 80in. x 14in. drop
Be sure to check out the rest of our Vintage Star Wine collection to find matching items!
Available 2017",,,1,30.00,,,,,1,IHF-134QS-W__72365.1508258738.jpg,1,60,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Bed Skirts,316871072,1,,
Heritage King Skirt Wine,IHF-434 KS-W,(All) Market Street Wholesale|Bedding,"Part of the Heritage collection, featuring burgundy & tan tones.
This king skirt measures 78in. x 80in. x 14in. drop
Be sure to check out the rest of our Heritage collection to find matching items!",,,1,36.00,,,,,1,IHF-434KS-W__15486.1508258921.jpg,1,72,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Bed Skirts,316871073,1,,
Burlap Star Pillow Cover,IHF-346 PL,(All) Market Street Wholesale|Bedding|(Newest) Additions,"16""x16""
Machine wash on gentle cycle with cold water and hang dry.
Material: 100% cotton
Part of our BURLAP STAR Collection
Color: tan and black
Pillow filler sold separately HERE
  SKU:IHF-346 PL",,,1,15,,,,,1,IHF-346PL__65949.1508258777.jpg,1,30,,2,1,Market Street Wholesale,Country Rustic-Pillows,,Home Decor-Decorative Pillows,316872074,1,,
Vintage Star Wine King Quilt,IHF-134 KQ-W,(All) Market Street Wholesale|Bedding|Quilts & Quilt Sets,"Part of the Vintage Star Wine collection, featuring tan & burgundy tones.|This king quilt measures 95in. x 105in.|Be sure to check out the rest of our Vintage Star Wine collection to find matching items!|Available 2017",,,1,132,,,,,1,IHF-134W_bed_345e655c-0611-4649-894a-e33954950269_1024x1024.jpg,1,264,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Quilts & Quilt Sets,316871074,1,,
Plum Creek Queen/Full Quilt Set,OH-113 QQS,(All) Market Street Wholesale|Bedding|Quilts & Quilt Sets,"The Plum Star Collection features squares and stars in deep plum tones which are offset by rich black and cream in solids, plaids, and checks.|100% cotton and machine washable|Quilt measures 90x90"" and .includes two matching standard-size shams measuring 21x27""|Medium weight for year-round use|Hand made - High End Quality - Designed & Manufactured exclusively by Olivia's Heartland|The back is solid black.",,,1,115,,,,,1,IMG_0167.jpg,1,230,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Quilts & Quilt Sets,316871075,1,,
