Product Name,Item Number,Store Categories,Detailed Product Description,Product Summary Overview,Size,minimum_quantity,Unit Price,minimum_quantityP2,tier_2_price,minimum_quantityP3,tier_3_price,multiple_of,Product Images,Quantity,MSRP,Sale Price,Ship Days,Is Active,Brand,Categories,Variations,Section,Sku,isImageAvailable
framed wood tree 10.5x18.5x1.5  wh-ch         ,72305,(All) Products Adams|(All) Christmas,"This cute wooden framed tree features distressed colors of white and beige, and boldly displays 3 adorable Christmas tree figures. Measuring 10.5"" x 18.5"" x 1.5"", this wooden framed tree (Product Number 72305) may be just the decoration you are looking for to add a unique personal touch to your home or office. Adams&Co is committed to delivering their quality hand-crafted products to clients all over the nation. We carry products that include everything from traditional home decor, to religious and seasonal decor. Each is designed to give your home that one-of-a-kind feel and welcoming appearance.",Out of stock - order to ship after sold out for season,,2,13,10,12,,,2,608380.jpg,1,26,,3,1,Adams & Company,Christmas-Home Decor,,Home Decor-Wooden Decor,8.44796E+11,1
framed wood tree 16x28x2.5  wh-ch         ,72307,(All) Products Adams|(All) Christmas,"This celebratory wooden framed tree features distressed colors of white and beige, and boldly displays a lovely Christmas tree figure. Measuring 6"" x 28"" x 2.5"", this wooden framed tree (Product Number 72307) may be just the decoration you are looking for to add a unique personal touch to your home or office. Adams&Co is committed to delivering their quality hand-crafted products to clients all over the nation. We carry products that include everything from traditional home decor, to religious and seasonal decor. Each is designed to give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),,2,21.75,6,20,,,2,608382.jpg,1,43.5,,3,1,Adams & Company,Christmas-Home Decor,,Home Decor-Wooden Decor,8.44796E+11,1
framed wood tree  s-3  5x10 4.5x9.5 4x8.5x1.5  wh-ch         ,72306,(All) Products Adams|(All) Christmas,"This adorable wooden framed tree features distressed colors of white and chrome, and boldly displays 3 lovely Christmas tree figures. Measuring 5"" x 10 4.5"" x 9.5"", this wooden framed tree (Product Number 72306) may be just the decoration you are looking for to add a unique personal touch to your home or office. Adams&Co is committed to delivering their quality hand-crafted products to clients all over the nation. We carry products that include everything from traditional home decor, to religious and seasonal decor. Each is designed to give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),,4,13.5,12,12,,,4,608381.jpg,1,27,,3,1,Adams & Company,Christmas-Home Decor,,Home Decor-Wooden Decor,8.44796E+11,1
5x12.5x1.5 wood tree stand (JOY WRD) wh-ch,72315,(All) Products Adams|(All) Christmas,"This cheery wooden tree stand features distressed colors of white and chrome, and boldly displays ""Joy To The World"" in 3 distinctly sized wood pieces forming a Christmas tree. Measuring 5"" x 12.5"" x 1.5"", this wooden tree stand (Product Number 72315) may be just the decoration you are looking for to add a unique personal touch to your home or office. Adams&Co is committed to delivering their quality hand-crafted products to clients all over the nation. We carry products that include everything from traditional home decor, to religious and seasonal decor. Each is designed to give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),,2,8.25,12,7,,,2,608390.jpg,1,16.5,,3,1,Adams & Company,Christmas-Home Decor,,Home Decor-Wooden Decor,8.44796E+11,1
"5.75x12.5x1.5 wood tree stand (J,H,P,L) wh-ch",72317,(All) Products Adams|(All) Christmas,"This creative wooden tree stand features distressed colors of white and chrome, and boldly displays ""Joy, Hope, Peace, Believe"" in 3 distinctly sized wood pieces forming a Christmas tree. Measuring 5.75"" x 12.5"" x 1.5"", this wooden tree stand (Product Number 72317) may be just the decoration you are looking for to add a unique personal touch to your home or office. Adams&Co is committed to delivering their quality hand-crafted products to clients all over the nation. We carry products that include everything from traditional home decor, to religious and seasonal decor. Each is designed to give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),,2,9.5,16,9,,,2,608392.jpg,1,19,,3,1,Adams & Company,Christmas-Home Decor,,Home Decor-Wooden Decor,8.44796E+11,1
10.5x28x1.5 wood tree stand (JOY WRD) wh-ch,72316,(All) Products Adams|(All) Christmas,"This creative wooden tree stand features distressed colors of white and chrome, and boldly displays ""Joy To The World"" in 3 distinctly sized wood pieces forming a Christmas tree. Measuring 10.5"" x 28"" x 1.5"", this wooden tree stand (Product Number 72316) may be just the decoration you are looking for to add a unique personal touch to your home or office. Adams&Co is committed to delivering their quality hand-crafted products to clients all over the nation. We carry products that include everything from traditional home decor, to religious and seasonal decor. Each is designed to give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),,2,16.5,6,15,,,2,608391.jpg,1,33,,3,1,Adams & Company,Christmas-Home Decor,,Home Decor-Wooden Decor,8.44796E+11,1
"12.5x28x1.5 wood tree stand (J,H,P,L) wh-ch",72318,(All) Products Adams|(All) Christmas,"This festive wooden tree stand features distressed colors of white and chrome, and boldly displays ""Joy, Hope, Peace, Believe"" in 3 distinctly sized wood pieces forming a Christmas tree. Measuring 12.5"" x 28"" x 1.5"", this wooden tree stand (Product Number 72318) may be just the decoration you are looking for to add a unique personal touch to your home or office. Adams&Co is committed to delivering their quality hand-crafted products to clients all over the nation. We carry products that include everything from traditional home decor, to religious and seasonal decor. Each is designed to give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),,2,22.25,6,20,,,2,608393.jpg,1,44.5,,3,1,Adams & Company,Christmas-Home Decor,,Home Decor-Wooden Decor,8.44796E+11,1
framed wood star 20x20x1.5 wh-ch        ,72326,(All) Products Adams|(All) Christmas,"This festive wooden framed star features distressed colors of white and brown, and boldly displays a large figure of a star. Measuring 20"" x 20"" x 1.5"", this wooden framed star (Product Number 72326) may be just the decoration you are looking for to add a unique personal touch to your home or office. Adams&Co is committed to delivering their quality hand-crafted products to clients all over the nation. We carry products that include everything from traditional home decor, to religious and seasonal decor. Each is designed to give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),,2,19,4,17,,,2,608401.jpg,1,38,,3,1,Adams & Company,Christmas-Home Decor,,Home Decor-Wooden Decor,8.44796E+11,1
framed wood star 7x7x1.5 wh-ch        ,72328,(All) Products Adams|(All) Christmas,"This festive wooden framed star features distressed colors of white and chrome, and boldly displays a figure of a star. Measuring 7"" x 7"" x 1.5"", this wooden framed star (Product Number 72328) may be just the decoration you are looking for to add a unique personal touch to your home or office. Adams&Co is committed to delivering their quality hand-crafted products to clients all over the nation. We carry products that include everything from traditional home decor, to religious and seasonal decor. Each is designed to give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),,2,7.5,24,7,,,2,608403.jpg,1,15,,3,1,Adams & Company,Christmas-Home Decor,,Home Decor-Wooden Decor,8.44796E+11,1
framed wood star 10x10x1.5 wh-ch        ,72327,(All) Products Adams|(All) Christmas,"This festive wooden framed star features distressed colors of white and chrome, and boldly displays a large figure of a star. Measuring 10"" x 10"" x 1.5"", this wooden framed star (Product Number 72327) may be just the decoration you are looking for to add a unique personal touch to your home or office. Adams&Co is committed to delivering their quality hand-crafted products to clients all over the nation. We carry products that include everything from traditional home decor, to religious and seasonal decor. Each is designed to give your home that one-of-a-kind feel and welcoming appearance.",In stock & shipping (checked Sept 19),,2,10.5,16,9,,,2,608402.jpg,1,21,,3,1,Adams & Company,Christmas-Home Decor,,Home Decor-Wooden Decor,8.44796E+11,1
