LEWIS - Rosie's,#1128,(ALL) TIN SIGNS|Automotive,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1128 Lewis - Rosie's Diner.jpg,D1128 Lewis - Rosie's Diner.jpg,,,desperate800,D1128 Lewis - Rosie's Diner.jpg,
LEWIS - Al Mac Diner,#1129,(ALL) TIN SIGNS|Automotive,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1129 Lewis - Al Mac's.jpg,D1129 Lewis - Al Mac's.jpg,,,desperate800,D1129 Lewis - Al Mac's.jpg,
Allis Chalmers - Model U,#1133,(ALL) TIN SIGNS|Farm Equipment,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1133 Allis Chalmers - Model WC.jpg,D1133 Allis Chalmers - Model WC.jpg,,,desperate800,D1133 Allis Chalmers - Model WC.jpg,
Endless Summer - Poster,#1137,(ALL) TIN SIGNS|Surfing,,,,,,"12.5""W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D1137 Endless Summer Poster.jpg,D1137 Endless Summer Poster.jpg,,,desperate800,D1137 Endless Summer Poster.jpg,
Endless Summer - Genuine,#1138,(ALL) TIN SIGNS|Surfing,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1138 EndlessSummer - Genuine.jpg,D1138 EndlessSummer - Genuine.jpg,,,desperate800,D1138 EndlessSummer - Genuine.jpg,
REM - GAME LOAD,#1139,(ALL) TIN SIGNS|Great Outdoors,,,,,,"12.5""W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D1139 Remington Game Load Game.jpg,D1139 Remington Game Load Game.jpg,,,desperate800,D1139 Remington Game Load Game.jpg,
DU - Forever Friends,#1142,(ALL) TIN SIGNS|Great Outdoors,,,,,,"12.5W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D1142 DU Forever Friends.jpg,D1142 DU Forever Friends.jpg,,,desperate800,D1142 DU Forever Friends.jpg,
Retro Auto - Beach Woody,#1147,(ALL) TIN SIGNS,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1147 Retro Auto - Beach Woody.jpg,D1147 Retro Auto - Beach Woody.jpg,,,desperate800,D1147 Retro Auto - Beach Woody.jpg,
BUD - History of Bud,#1155,(ALL) TIN SIGNS|Liquor & Tobacco,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1155 Bud - Bud History.jpg,D1155 Bud - Bud History.jpg,,,desperate800,D1155 Bud - Bud History.jpg,
BUD - In Bottles Round,#1157,(ALL) TIN SIGNS|Liquor & Tobacco,,,,,,"11.75"" dia.",,1,6.85,,,,,1,desperate400,desperate160,D1157 BUD - In bottles round.jpg,D1157 BUD - In bottles round.jpg,,,desperate800,D1157 BUD - In bottles round.jpg,
Erickson - San Francisco,#1160,(ALL) TIN SIGNS|Illustrators,,,,,,"12.5""W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D1160 Erickson San Francisco.jpg,D1160 Erickson San Francisco.jpg,,,desperate800,D1160 Erickson San Francisco.jpg,
Erickson - Hawaii Sun and Surf,#1161,(ALL) TIN SIGNS|Illustrators,,,,,,"12.5""W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D1161 Erickson Hawaii Surf & Sunshine.jpg,D1161 Erickson Hawaii Surf & Sunshine.jpg,,,desperate800,D1161 Erickson Hawaii Surf & Sunshine.jpg,
Busted Knuckle - Bike,#1165,(ALL) TIN SIGNS|Motorcycles,,,,,,"16""W x 8.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1165 BKG Motorcycle.jpg,D1165 BKG Motorcycle.jpg,,,desperate800,D1165 BKG Motorcycle.jpg,
Allis Chalmers - WD45,#1167,(ALL) TIN SIGNS|Farm Equipment,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1167 Allis Chalmer WD45.jpg,D1167 Allis Chalmer WD45.jpg,,,desperate800,D1167 Allis Chalmer WD45.jpg,
Massey Harris - 55,#1168,(ALL) TIN SIGNS|Farm Equipment,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1168 Massey Harris 55.jpg,D1168 Massey Harris 55.jpg,,,desperate800,D1168 Massey Harris 55.jpg,
Case - 500 Diesel,#1169,(ALL) TIN SIGNS|Farm Equipment,,,,,,"12.5""W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D1169 Case 500 Diesel.jpg,D1169 Case 500 Diesel.jpg,,,desperate800,D1169 Case 500 Diesel.jpg,
Schonberg - Hot Dog,#1172,(ALL) TIN SIGNS|Illustrators,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1172 Schonberg Hot Dog.jpg,D1172 Schonberg Hot Dog.jpg,,,desperate800,D1172 Schonberg Hot Dog.jpg,
Schonberg - Beach,#1176,(ALL) TIN SIGNS|Illustrators,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1176 Schonberg Beach.jpg,D1176 Schonberg Beach.jpg,,,desperate800,D1176 Schonberg Beach.jpg,
Schonberg - Coffee Scents,#1178,(ALL) TIN SIGNS|Illustrators,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1178 Schonberg Coffee 5 cents.jpg,D1178 Schonberg Coffee 5 cents.jpg,,,desperate800,D1178 Schonberg Coffee 5 cents.jpg,
John Wayne - Legend,#1185,(ALL) TIN SIGNS|Hollywood & TV,,,,,,"12.5W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D1185 John Wayne - Legend.jpg,D1185 John Wayne - Legend.jpg,,,desperate800,D1185 John Wayne - Legend.jpg,
Elvis - King Montage,#1187,(ALL) TIN SIGNS|Hollywood & TV,,,,,,"16""W x 8.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1187 Elvis - King Montage.jpg,D1187 Elvis - King Montage.jpg,,,desperate800,D1187 Elvis - King Montage.jpg,
John Wayne - Stagecoach,#1188,(ALL) TIN SIGNS|Hollywood & TV,,,,,,"12.5W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D1188 John Wayne - Stagecoach.jpg,D1188 John Wayne - Stagecoach.jpg,,,desperate800,D1188 John Wayne - Stagecoach.jpg,
Moore - Carwash,#1190,(ALL) TIN SIGNS|Humorous Signs,,,,,,"16""W x12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1190 Moore - Carwash.jpg,D1190 Moore - Carwash.jpg,,,desperate800,D1190 Moore - Carwash.jpg,
Moore - Dick's Sausage,#1191,(ALL) TIN SIGNS|Humorous Signs,,,,,,"11.75"" dia.",,1,6.85,,,,,1,desperate400,desperate160,D1191 Moore - Dick's Sausage.jpg,D1191 Moore - Dick's Sausage.jpg,,,desperate800,D1191 Moore - Dick's Sausage.jpg,
Elvis Presley Show,#1197,(ALL) TIN SIGNS|Hollywood & TV,,,,,,"12.5W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D1197 Elvis Presley Show.jpg,D1197 Elvis Presley Show.jpg,,,desperate800,D1197 Elvis Presley Show.jpg,
Westmoreland Starting Lineup,#1198,(ALL) TIN SIGNS|Surfing,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1198 Westmoreland Starting Lineup.jpg,D1198 Westmoreland Starting Lineup.jpg,,,desperate800,D1198 Westmoreland Starting Lineup.jpg,
Moore - Lucky's Bar,#1200,(ALL) TIN SIGNS|Humorous Signs,,,,,,"12.5W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D1200 Moore - Lucky's Bar.jpg,D1200 Moore - Lucky's Bar.jpg,,,desperate800,D1200 Moore - Lucky's Bar.jpg,
KAATZ - Wingmasters,#1201,(ALL) TIN SIGNS|Illustrators,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1201 Kaatz - Wingmasters.jpg,D1201 Kaatz - Wingmasters.jpg,,,desperate800,D1201 Kaatz - Wingmasters.jpg,
DU - Great Retrievers,#1203,(ALL) TIN SIGNS|Great Outdoors,,,,,,"12.5W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D1203 DU - Great Retrievers.jpg,D1203 DU - Great Retrievers.jpg,,,desperate800,D1203 DU - Great Retrievers.jpg,
DU - Beaver Pond,#1204,(ALL) TIN SIGNS|Great Outdoors,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1204 DU - Beaver Pond Mallards.jpg,D1204 DU - Beaver Pond Mallards.jpg,,,desperate800,D1204 DU - Beaver Pond Mallards.jpg,
Mustang 40th Round,#1206,(ALL) TIN SIGNS|Automotive,,,,,,"11.75"" dia.",,1,6.85,,,,,1,desperate400,desperate160,D1206 Mustang 40th round.jpg,D1206 Mustang 40th round.jpg,,,desperate800,D1206 Mustang 40th round.jpg,
