"CLEARANCE 4.2 X 6.4"" Resin Mermaid, 2 Asst",4240-8,,Regular Price $8.25,,5.79,,,,,6.00,8.25,,,,,6.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item4240-8.jpg.jpg,Item4240-8.jpg.jpg,,,delton800,Item4240-8.jpg.jpg
"CLEARANCE 16"" Red Sox Dangle Leg Snowman, 2 Asst",5581-4,,Regular Price $8.50,,5.99,,,,,8.00,8.50,,,,,8.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item5581-4.jpg.jpg,Item5581-4.jpg.jpg,,,delton800,Item5581-4.jpg.jpg
"CLEARANCE 36"" Nickel Free Nora Square Necklace",010103-11,,Regular Price $7.75,,4.99,,,,,3.00,7.75,,,,,3.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item010103-11.jpg.jpg,Item010103-11.jpg.jpg,,,delton800,Item010103-11.jpg.jpg
"3.5"" Porcelain Cup & Saucer, Pink Peony",8151-6,, ,,,,,,,2.00,8.45,6.00,7.85,,,2.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item8151-6.jpg.jpg,Item8151-6.jpg.jpg,,,delton800,Item8151-6.jpg.jpg
"CLEARANCE 5.5"" Red Sox Snowman Ornament, 3 Asst",5579-4,,Regular Price $2.75,,1.99,,,,,2.00,2.75,,,,,2.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item5579-4.jpg.jpg,Item5579-4.jpg.jpg,,,delton800,Item5579-4.jpg.jpg
"10.2 x 8.9"" Resin Woodland LED Cabin w/ Deers",5666-5,, ,,,,,,,2.00,13.95,8.00,12.60,,,2.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item5666-5.jpg.jpg,Item5666-5.jpg.jpg,,,delton800,Item5666-5.jpg.jpg
"12"" Green/Carmine Embroidered Jewelry Pouch, 4 Asst",6109-4,, ,,,,,,,4.00,2.25,12.00,2.03,,,4.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item6109-4.jpg.jpg,Item6109-4.jpg.jpg,,,delton800,Item6109-4.jpg.jpg
"14"" Apple Dumplin Doll, Pink Tutu Skirt",4264-7,, ,,,,,,,2.00,11.35,6.00,10.75,,,2.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item4264-7.jpg.jpg,Item4264-7.jpg.jpg,,,delton800,Item4264-7.jpg.jpg
"7.3"" Nickel Free Darcie Heart Elastic Bracelet",020054-11,, ,,,,,,,2.00,3.85,8.00,3.50,,,2.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item020054-11.jpg.jpg,Item020054-11.jpg.jpg,,,delton800,Item020054-11.jpg.jpg
"8.1 x 6.9"" Ceramic Cheery Cow Tea Pot",4292-0,, ,,,,,,,2.00,8.85,8.00,7.98,,,2.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item4292-0.jpg.jpg,Item4292-0.jpg.jpg,,,delton800,Item4292-0.jpg.jpg
"CLEARANCE 17.9"" Wood Vintage Patch Mirror",6129-6,,Regular Price $18.85,,10.99,,,,,1.00,18.85,,,,,1.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item6129-6.jpg.jpg,Item6129-6.jpg.jpg,,,delton800,Item6129-6.jpg.jpg
