"8.5X2X23.5""H METAL GALVANIZED CANDY CANE W/RED RIBBON BOW 0/6 EA LIST PRICE: $9.25 EA $9.25 MIN 6 EA $8.33 MIN 12 EA $7.40 MIN 24 EA",CHA426,Back to A Holly Jolly Christmas,,In Stock,,,,,,6,$9.25 ,12,$8.33 ,24,$7.40 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA426.JPG,CHA426.JPG,6.09016E+11,,DCI800,CHA426.JPG
"8.5X2X23.5""H METAL WHITE CANDY CANE W/RED RIBBON BOW 0/6 EA LIST PRICE: $9.25 EA $9.25 MIN 6 EA $8.33 MIN 12 EA $7.40 MIN 24 EA",CHA427,Back to A Holly Jolly Christmas,,In Stock,,,,,,6,$9.25 ,12,$8.33 ,24,$7.40 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA427.JPG,CHA427.JPG,6.09016E+11,,DCI800,CHA427.JPG
"6.5X6.5X10.75""H METAL WHITE BELL W/BOW W/ROPE HANGER 0/6 EA LIST PRICE: $11.25 EA $11.25 MIN 6 EA $10.13 MIN 12 EA $9.00 MIN 24 EA",CHA428,Back to A Holly Jolly Christmas,,Out of Stock,,,,,,6,$11.25 ,12,$10.13 ,24,$9.00 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA428.JPG,CHA428.JPG,6.09016E+11,,DCI800,CHA428.JPG
"6.5X6.5X10.75""H METAL RED BELL W/BOW W/ROPE HANGER 0/6 EA LIST PRICE: $11.25 EA $11.25 MIN 6 EA $10.13 MIN 12 EA $9.00 MIN 24 EA",CHA429,Back to A Holly Jolly Christmas,,In Stock,,,,,,6,$11.25 ,12,$10.13 ,24,$9.00 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA429.JPG,CHA429.JPG,6.09016E+11,,DCI800,CHA429.JPG
"6.5X6.5X10.75""H METAL GALVANIZED BELL W/BOW W/ROPE HANGER 0/6 EA LIST PRICE: $11.25 EA $11.25 MIN 6 EA $10.13 MIN 12 EA $9.00 MIN 24 EA",CHA430,Back to A Holly Jolly Christmas,,In Stock,,,,,,6,$11.25 ,12,$10.13 ,24,$9.00 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA430.JPG,CHA430.JPG,6.09016E+11,,DCI800,CHA430.JPG
"4X4X6""H METAL JINGLE BELL W/ROPE HANGER RED/WHITE/GALVANIZED 3 ASST 12/36 EA LIST PRICE: $3.50 EA $3.50 MIN 12 EA $3.15 MIN 24 EA $2.80 MIN 72 EA",CHA431,Back to A Holly Jolly Christmas,,Out of Stock,,,,,,12,$3.50 ,24,$3.15 ,72,$2.80 ,12,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA431.JPG,CHA431.JPG,6.09016E+11,,DCI800,CHA431.JPG
"16.25X17X2.5""H METAL GALVANIZED POINSETTIA W/RED JINGLE BELL CENTER 0/6 EA LIST PRICE: $10.50 EA $10.50 MIN 6 EA $9.45 MIN 12 EA $8.40 MIN 24 EA",CHA432,Back to A Holly Jolly Christmas,,In Stock,,,,,,6,$10.50 ,12,$9.45 ,24,$8.40 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA432.JPG,CHA432.JPG,6.09016E+11,,DCI800,CHA432.JPG
"16.25X17X2.5""H METAL RED POINSETTIA W/WHITE JINGLE BELL CENTER 0/6 EA LIST PRICE: $10.50 EA $10.50 MIN 6 EA $9.45 MIN 12 EA $8.40 MIN 24 EA",CHA433,Back to A Holly Jolly Christmas,,In Stock,,,,,,6,$10.50 ,12,$9.45 ,24,$8.40 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA433.JPG,CHA433.JPG,6.09016E+11,,DCI800,CHA433.JPG
"16.25X17X2.5""H METAL WHITE POINSETTIA W/RED JINGLE BELL CENTER 0/6 EA LIST PRICE: $10.50 EA $10.50 MIN 6 EA $9.45 MIN 12 EA $8.40 MIN 24 EA",CHA434,Back to A Holly Jolly Christmas,,In Stock,,,,,,6,$10.50 ,12,$9.45 ,24,$8.40 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA434.JPG,CHA434.JPG,6.09016E+11,,DCI800,CHA434.JPG
"5.25 SQX7""H & 6.5SQX9""H & 7.5SQX10.5""H METAL S/3 GALVANIZED GIFT BOX W/RED BOW 0/4 S/3 LIST PRICE: $29.50 S/3 $29.50 MIN 4 S/3 $26.55 MIN 8 S/3 $23.60 MIN 16 S/3",CHA435,Back to A Holly Jolly Christmas,,In Stock,,,,,,4,$29.50 ,8,$26.55 ,16,$23.60 ,4,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA435.JPG,CHA435.JPG,6.09016E+11,,DCI800,CHA435.JPG
