C2144 Vail the Snowy Snowman,C2144,,,,,,,,,4,10.75,16,9.675,,,4,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3536/8305/C2144__24673.1621352285.jpg,C2144__24673.1621352285.jpg,,,Honeyme800,C2144__24673.1621352285.jpg
C2145 Colorado the Snowy Snowman,C2145,,,,,,,,,2,14,8,12.6,,,2,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3537/8306/C2145__82188.1621352753.jpg,C2145__82188.1621352753.jpg,,,Honeyme800,C2145__82188.1621352753.jpg
C2146 Boulder the Snowy Snowman,C2146,,,,,,,,,2,14,8,12.6,,,2,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3538/8307/C2146__27288.1621354554.jpg,C2146__27288.1621354554.jpg,,,Honeyme800,C2146__27288.1621354554.jpg
C2147 Denver the Snowy Snowman,C2147,,,,,,,,,2,14,8,12.6,,,2,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3539/8308/C2147__50570.1621354698.jpg,C2147__50570.1621354698.jpg,,,Honeyme800,C2147__50570.1621354698.jpg
C2148 Aurora the Snowy Snowman,C2148,,,,,,,,,2,16.25,8,14.625,,,2,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3540/8309/C2148__97533.1621354885.jpg,C2148__97533.1621354885.jpg,,,Honeyme800,C2148__97533.1621354885.jpg
C2149 Pueblo the Snowy Snowman,C2149,,,,,,,,,2,16.25,8,14.625,,,2,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3541/8310/C2149__75666.1621355029.jpg,C2149__75666.1621355029.jpg,,,Honeyme800,C2149__75666.1621355029.jpg
C2150 Durango the Snowy Snowman,C2150,,,,,,,,,2,16.25,8,14.625,,,2,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3542/8311/C2150__07547.1621355192.jpg,C2150__07547.1621355192.jpg,,,Honeyme800,C2150__07547.1621355192.jpg
C2151 Large Wooden Snowflake Ornament,C2151,,,,,,,,,48,1,192,0.9,,,48,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3543/8312/C2151__10752.1621357361.jpg,C2151__10752.1621357361.jpg,,,Honeyme800,C2151__10752.1621357361.jpg
C2152 Oakley the Snowman,C2152,,,,,,,,,1,31,4,27.9,,,1,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3544/8313/C2152__45993.1621358134.jpg,C2152__45993.1621358134.jpg,,,Honeyme800,C2152__45993.1621358134.jpg
C2153 Oliver the Snowman,C2153,,,,,,,,,2,24.25,8,21.825,,,2,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3545/8314/C2153__68256.1621358305.jpg,C2153__68256.1621358305.jpg,,,Honeyme800,C2153__68256.1621358305.jpg
C2154 Oscar the Snowman,C2154,,,,,,,,,2,16.75,8,15.075,,,2,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3546/8315/C2154__69762.1621360010.jpg,C2154__69762.1621360010.jpg,,,Honeyme800,C2154__69762.1621360010.jpg
C2155 Oswald the Snowman,C2155,,,,,,,,,2,23,8,20.7,,,2,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3547/8316/C2155__74322.1621361421.jpg,C2155__74322.1621361421.jpg,,,Honeyme800,C2155__74322.1621361421.jpg
C2156 Owen the Snowman,C2156,,,,,,,,,2,18,8,16.2,,,2,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3548/8317/C2156__26439.1621361575.jpg,C2156__26439.1621361575.jpg,,,Honeyme800,C2156__26439.1621361575.jpg
C2157 Orville the Snowman,C2157,,,,,,,,,2,19.75,8,17.775,,,2,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3549/8318/C2157__54725.1621371891.jpg,C2157__54725.1621371891.jpg,,,Honeyme800,C2157__54725.1621371891.jpg
C2158 Ogden the Snowman,C2158,,,,,,,,,2,18,8,16.2,,,2,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3550/8319/C2158__59261.1621372043.jpg,C2158__59261.1621372043.jpg,,,Honeyme800,C2158__59261.1621372043.jpg
C2159 Olsen the Snowman,C2159,,,,,,,,,2,16.25,8,14.625,,,2,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3551/8320/C2159__26489.1621372231.jpg,C2159__26489.1621372231.jpg,,,Honeyme800,C2159__26489.1621372231.jpg
C2160 Oakes the Snowman,C2160,,,,,,,,,2,16.75,8,15.075,,,2,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3552/8321/C2160___29198.1621441591.jpg,C2160___29198.1621441591.jpg,,,Honeyme800,C2160___29198.1621441591.jpg
C2161 Oden the Snowman,C2161,,,,,,,,,3,14.75,12,13.275,,,3,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3553/8322/C2161__69165.1621442018.jpg,C2161__69165.1621442018.jpg,,,Honeyme800,C2161__69165.1621442018.jpg
