[u'8054'],"8""X12"" Pine Board",Home /|New Mexico Flag,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8054.jpg
[u'1453'],"Box sign 12""X18"", Antique look
White Wooden Box with Black Letters",Home /|farm fresh EGGS,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/4/1453small.jpg,"['*Color Combinations', '', '-- Please Select --|White wood Box, Black Letters ']"
[u'106'],"6x42 inches

click you ruby slippers and say ""There's No Place Like Home"" Sign is 42 inches long.",Home /|There's No Place Like Home,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/0/106_1.jpg,"['*Color Combinations - (See color chart above)', '', '-- Please Select --|Give me the best color combo(s) available |Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |Crackle White board w/ Black text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Burgundy Red board w/ Cream text ']"
"[u'5412', u'This', u'is', u'one', u'of', u'our', u'new', u'custom', u'box', u'signs.']","4""X 12"" inches Box is about 1 1/4"" deep. This is one of our new box signs! For custom signs up to 11 letters.

0",Home /|Custom Box Sign - 5 to 11 letters,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_123.jpg,"['*Custom Saying - Up to 11 letters. (do not count spaces or commas)', '', '-- Please Select --|Give me the best color combo(s) available |Cream box w/ Black text |Light Blue box w White text |White box w/ Black text |Black box w/ White text |Sage Green box w/ White text ']"
[u'693'],"0



6"" X 16""",Home /|No home is complete without the pitter-patter of Doggie Feet!,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/9/693_sm.jpg,"['*Color Combinations', '', '-- Please Select --|Crackle board w/ Black text |Crackle board w/ Red text |Give me the best color combo(s) available |Cream board w/ Black text |Black board w/ Cream text |Burgundy Red board w/ Cream text |Mustard board w/ black ']"
[u'1451'],"Box sign 12""X18"", Antique look
White Wooden Box with Black Letters",Home /|SOUTHERN BBQ,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/4/1451_southern_bbq_small.jpg,"['*Color Combinations', '', '-- Please Select --|White wood Box, Black Letters ']"
[u'103'],3x9,Home /|Memories (mini),https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/0/103_1.jpg,"['*Color Combinations - (See color chart above)', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
"[u'THAT', u'DOWN!', u'NOW', u'SLOWLY', u'BACK', u'AWAY', u'FROM', u'MY', u'TOOLS.']","8""X8"" inches This is a Box sign

0",Home /|Man Tip #9,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc03308.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Black board w/ Cream text |Give me the best color combo(s) available ']"
[u'6045'],6x12 inches,Home /|You can either agree with me or be wrong!,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6045.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'755'],4x12 inches,Home /|Coffee w/beans,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/images/catalog/product/placeholder/image.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
[u'373'],"0



4x12 inches
USMC",Home /|Marines,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/7/373.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Burgundy Red text |Crackle Cream board w/ Burgundy Red text |Burgundy Red board w/ Cream text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |White board w/ Black text |Cream board w/ Black text |Cream board w/ Navy Blue text |Crackle White board w/ Black text |Black board w/ Cream text |Navy Blue board w/ Cream text |Give me the best color combo(s) available ']"
