Small Rugged Cross,11248,Home|Crosses|Rugged Cross,,,,,,"Product Size: 4 7/8"" x 6 1/8""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11248.jpg,11248.jpg,John 3:16,,Lighthouse800,11248.jpg
Faithful Servant,11312,Home|Collections|Rustic Faithful Servant,,,,,,"Product Size: 5 3/4"" x 7 3/4""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11312.jpg,11312.jpg,"Matt. 25:21, Phil. 2:17, Heb. 6:10",,Lighthouse800,11312.jpg
Hope,11340,Home|Crosses|Simply Scripture Crosses,,,,,,"Product Size: 4 3/4"" x 5 3/4""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11340.jpg,11340.jpg,Psalm 62:5-6,,Lighthouse800,11340.jpg
Strength,11341,Home|Crosses|Simply Scripture Crosses,,,,,,"Product Size: 4 3/4"" x 5 3/4""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11341.jpg,11341.jpg,Deut. 31:6,,Lighthouse800,11341.jpg
Trust,11342,Home|Crosses|Simply Scripture Crosses,,,,,,"Product Size: 4 3/4"" x 5 3/4""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11342.jpg,11342.jpg,Isaiah 40:31,,Lighthouse800,11342.jpg
Believe,11345,Home|Crosses|Simply Scripture Crosses,,,,,,"Product Size: 4 3/4"" x 5 3/4""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11345.jpg,11345.jpg,John 3:16,,Lighthouse800,11345.jpg
Journey,11347,Home|Crosses|Simply Scripture Crosses,,,,,,"Product Size: 4 3/4"" x 5 3/4""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11347.jpg,11347.jpg,Jeremiah 29:11,,Lighthouse800,11347.jpg
Grace,11348,Home|Crosses|Simply Scripture Crosses,,,,,,"Product Size: 4 3/4"" x 5 3/4""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11348.jpg,11348.jpg,2 Cor. 9:8,,Lighthouse800,11348.jpg
Hope,11371,Home|Crosses|Wood Grain Crosses,,,,,,"Product Size: 4 1/4"" x 5 3/4""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11371.jpg,11371.jpg,Psalm 62:5,,Lighthouse800,11371.jpg
Believe,11372,Home|Crosses|Wood Grain Crosses,,,,,,"Product Size: 4 1/4"" x 5 3/4""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11372.jpg,11372.jpg,2 Peter 1:4,,Lighthouse800,11372.jpg
Faith,11373,Home|Crosses|Wood Grain Crosses,,,,,,"Product Size: 4 1/4"" x 5 3/4""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11373.jpg,11373.jpg,Hebrews 11:1,,Lighthouse800,11373.jpg
Courage,11374,Home|Crosses|Wood Grain Crosses,,,,,,"Product Size: 4 1/4"" x 5 3/4""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11374.jpg,11374.jpg,Hebrews 13:6,,Lighthouse800,11374.jpg
Blessed Baby Cross,11409,Home|Collections|Blessed Baby,,,,,,"Product Size: 4 1/4"" x 6 1/4""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11409.jpg,11409.jpg,Numbers 6:24-26,,Lighthouse800,11409.jpg
"Jesus, Raised to Life",11410,Home|Crosses|Raised to Life Cross,,,,,,"Product Size: 6 5/8"" x 9 1/8""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11410.jpg,11410.jpg,Rom 8:34 and Luke 24:6,,Lighthouse800,11410.jpg
Peace,11431,Home|Collections|God's Promises,,,,,,"Product Size: 3 3/8"" x 4 1/2""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11431.jpg,11431.jpg,Exodus 14:14,,Lighthouse800,11431.jpg
Faith,11432,Home|Collections|God's Promises,,,,,,"Product Size: 3 3/8"" x 4 1/2""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11432.jpg,11432.jpg,Matthew 19:26,,Lighthouse800,11432.jpg
Joy,11433,Home|Collections|God's Promises,,,,,,"Product Size: 3 3/8"" x 4 1/2""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11433.jpg,11433.jpg,Hebrews 13:5,,Lighthouse800,11433.jpg
Hope,11434,Home|Collections|God's Promises,,,,,,"Product Size: 3 3/8"" x 4 1/2""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11434.jpg,11434.jpg,Jeremiah 29:11,,Lighthouse800,11434.jpg
Love,11435,Home|Collections|God's Promises,,,,,,"Product Size: 3 3/8"" x 4 1/2""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11435.jpg,11435.jpg,Romans 8:39,,Lighthouse800,11435.jpg
Strength,11436,Home|Collections|God's Promises,,,,,,"Product Size: 3 3/8"" x 4 1/2""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11436.jpg,11436.jpg,Isaiah 40:31,,Lighthouse800,11436.jpg
Large Rugged Cross,11448,Home|Crosses|Rugged Cross,,,,,,"Product Size: 7 5/8"" x 9 5/8""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11448.jpg,11448.jpg,John 3:16,,Lighthouse800,11448.jpg
Cream Cross,11450,Home|Collections|Little Adventurer,,,,,,"Product Size: 3 3/4"" x 5""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11450.jpg,11450.jpg,Genesis 28:15,,Lighthouse800,11450.jpg
Pink Cross,11451,Home|Collections|Little Adventurer,,,,,,"Product Size: 3 3/4"" x 5""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11451.jpg,11451.jpg,Genesis 28:15,,Lighthouse800,11451.jpg
Blue Cross,11452,Home|Collections|Little Adventurer,,,,,,"Product Size: 3 3/4"" x 5""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11452.jpg,11452.jpg,Genesis 28:15,,Lighthouse800,11452.jpg
Love,11475,Home|Collections|Hand Drawn Doodles,,,,,,"Product Size: 5 1/4"" x 7 1/2""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11475.jpg,11475.jpg,Ephesians 5:2,,Lighthouse800,11475.jpg
Choose Joy,11476,Home|Collections|Hand Drawn Doodles,,,,,,"Product Size: 5 1/4"" x 7 1/2""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11476.jpg,11476.jpg,John 15:11,,Lighthouse800,11476.jpg
