"907', u'Style', u'A', u'Family', u'Sign', u'with', u'Date', u'When', u'ordering', u'send', u'your', u'name', u'and', u'the', u'date.', u'Comes', u'on', u'a', u'crackle', u'board,', u'or', u'a', u'black', u'board', u'Signs', u'come', u'on', u'Pine', u'boards', u'and', u'are', u'intended', u'for', u'inside', u'use', u'only.', u'The', u'signs', u'are', u'painted', u'boards', u'in', u'either', u'crackle', u'with', u'black', u'letters', u'and', u'frame', u'or', u'black', u'board', u'and', u'frame', u'with', u'tan', u'letters.', u'Final', u'board', u'length', u'depends', u'upon', u'number', u'of', u'letters', u'in', u'your', u'name.', u'PLEASE', u'ENTER', u'THE', u'NAME', u'AS', u'YOU', u'WANT', u'IT', u'TO', u'APPEAR', u'ON', u'THE', u'SIGN.', u'IF', u'YOU', u'WANT', u'A', u'S', u'OR', u'AN', u""'S"", u'ON', u'THE', u'END', u'OF', u'THE', u'NAME,', u'PLEASE', u'INCLUDE', u'IT.']","6""X30"" to 36"" depending on length of name.  One of our most popular signs.

Great gift for your family. Weddings and anniversaries. Get one for you and for your kids.

PLEASE ENTER THE NAME AS YOU WANT IT TO APPEAR ON THE SIGN.  IF YOU WANT A   S  OR AN 'S ON THE END OF THE NAME, PLEASE INCLUDE IT.",Home /|(Your Name) Family Est XXXX,http://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file.jpg,"['*Type Family Name as you would like it to appear', '', '-- Please Select --|Crackle Cream board w/ Black text |Black board w/ Tan text ']"
322'],"0



4x18 inches",Home /|Family Matters,http://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/2/322_1.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
"511B', u'Beach-side', u'Memories']","6x12 inches Beach-side Memories

0",Home /|Beach-side Memories,http://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_4_9.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
594'],4x15 inches,Home /|Girly Girl,http://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/9/594.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
6017'],6x18 inches,Home /|If you can't be kind at least be vague,http://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6017.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
1405'],"""Big Box"" Sign 9"" X 42"" tall, Antique look
White Wooden Box with Black Letters",Home /|WELCOME,http://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/e/welcome2.jpg,"['*Color Combinations', '', '-- Please Select --|Black wood Box, White Letters |White wood Box, Black Letters ']"
4041'],"4""X18""",Home /|Follow the Yellow brick road,http://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/0/4041_sm.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Black board w/ Tan text |Mustard board w/ black text |Give me the best color combo(s) available ']"
747'],6x14 inches,Home /|Wharf This Way w/arrow,http://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/4/747.jpg,"['*Arrow Direction', '', '-- Please Select --|Arrow LEFT |Arrow Right |-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
103'],3x9,Home /|Memories (mini),http://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/0/103_1.jpg,"['*Color Combinations - (See color chart above)', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
744'],4x9 inches,Home /|Oh! My Stars!,http://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/4/744.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
