#85  Snowman SM-199,#85  Snowman SM-199,,"Oh this snowman is just awesome with his garland of 3 grungy cinnamon stars. He would look great sitting next to the fireplace.
#622  ST106 Brown santa with hood,#622  ST106 Brown santa with hood,,"This santa is made from aged light brown felt.  His beard is primitve grunged wool.  He has a bunch of greens tucked under one arm and the other arm has a hanging star.  Bells down the front 14"" stands.",,,,,,,1,$44.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#755  D-215 Doll with bee skep apron,#755  D-215 Doll with bee skep apron,,"This is our adorable doll with a muslin body and aged bee skep apron, wearing a sweet handmade hat.She is holding a bee skep.  About 15"" ",,,,,,,1,$38.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#623  R-107 Yellow chick,#623  R-107 Yellow chick,,"This little chick is made from aged yellow flannel.  He is about 12"" tall. Weighed to stand. He is perfect for spring time",,,,,,,1,$28.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#636  F-174 Standing pumpkin boy,#636  F-174 Standing pumpkin boy,,"This pumpkin boy is made from brown flannel with a burlap pocket filled with spanish moss,and twigs.  A black crow sits on his shoulder.  He also has a pumpkin necklace.  stands 15""",,,,,,,1,$36.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#589  R-104 White rabbit,#589  R-104 White rabbit,,"This rabbit is painted white then aged for a prim look.  A black and white homespun tie around his neck.  Weighed to stand 13""",,,,,,,1,$20.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#753  M-457 Uncle Sam with star pocket,#753  M-457 Uncle Sam with star pocket,,"Our Standing uncle sam is made from aged red ticking with a star pocket, it is filled with twigs and a grungy star.  About 17""",,,,,,,1,$40.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#488  R-97 Flannel chick,#488  R-97 Flannel chick,,"This flannel aged chick with side wings is about 7"" tall.  He has a green/yellow flowered tie around his neck and a little bit of  wool on his head.  weighed to sit",,,,,,,1,$18.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#489  R-98 Flannel Rabbit stick arms,#489  R-98 Flannel Rabbit stick arms,,"This rabbit is made from aged flannel.  He is about 15"" tall, stitched eyes and nose.  He has little stitched stick arms on his body, with a cheesecloth tie and grungy pins.  weighed to sit.",,,,,,,1,$24.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#327  S-341 Amerciana Sock,#327  S-341 Amerciana Sock,,"This Americana sock is just great, perfect for any holiday.  Open at top to add anything special for that holiday.  hangs",,,,,,,1,$16.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#326  S-340 Star placemat,#326  S-340 Star placemat,,"Our osnaburg star placemat are just awesome for any table or cupboard.  measures Top point to bottom 15"" ",,,,,,,1,$8.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#325  ST-86 Red Santa,#325  ST-86 Red Santa,,Our red flannel santa is 12' tall and he has grees in his arm.  Weighed to stand.  Perfect for that santa collector.,,,,,,,1,$32.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#482  R-94 Chick in Egg,#482  R-94 Chick in Egg,,"This is so adorable mustard check fabric with pocket has a little yellow chick peeping out.  Little sheep fuzz on his head.  10"" tall",,,,,,,1,$20.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#483  R-95 Rabbit head in bag,#483  R-95 Rabbit head in bag,,"This is a great addition for Easter time or Spring.  Rabbit head in a hanging osnaburg bag.  Little spanish moss and dried sweet annie.  Grunged cheesecloth tie   12""",,,,,,,1,$22.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#480  O-100 Crow,#480  O-100 Crow,,Black flannel crow.  Hangs,,,,,,,1,$4.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#328  P-14 Snowman Pillow,#328  P-14 Snowman Pillow,,Very simple is our 12x12 snowman pillow. Snowman is painted on an osnaburg fabric.,,,,,,,1,$16.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#486  M-73 Butterfly,#486  M-73 Butterfly,,"11"" is our grunged flannel butterfly.  Hang it on a door, tuck it in a bucket, many different options for spring/summer time.",,,,,,,1,$20.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#487  M-223 Crow with strawberry,#487  M-223 Crow with strawberry,,"Painted black crow then grunged with cinnamon.  Attached by thread is a hanging strawberry. He is about 6"" x 9""  weighed to sit",,,,,,,1,$20.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#484  R-96 Osnaburg Carrots,#484  R-96 Osnaburg Carrots,,Set of 3 grunged aged carrots with jute stems.  Tied with cheesecloth,,,,,,,1,$14.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#485  SM-137 Snowman with pocket,#485  SM-137 Snowman with pocket,,"Love this guy.  He is about 21"" tall .  Made from Grunged flannel with a front pocket  that  is filled with twigs.  Black top hat and black scarf.  ",,,,,,,1,$40.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#248  M-353 Muslin Sheep,#248  M-353 Muslin Sheep,,This hanging muslin sheep is 9x9 including stick legs. He has a bell around his neck. Great to hang almost anywhere in your home.,,,,,,,1,$14.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#249  D-166 Americana Doll,#249  D-166 Americana Doll,,"This is Lilly we sweet. She is wearing an aged red flannel gathered dress with matching ties in her hair. Lilly is holding a small flannel star and american flag. Stands 14 1/2 "".",,,,,,,1,$34.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#718  R-120 Boy Chick,#718  R-120 Boy Chick,,Our boy chick is made from aged yellow terry cloth.  He is wearing muslin pants and a blue check homespun shirt.  Weighed to sit .  Stitched face.,,,,,,,1,$44.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#719  R-119 Girl chick,#719  R-119 Girl chick,,Our girl chick is made from yellow aged terrycloth fabric. She is wearing a sweet blue flowered dress and bloomers.  Weighed to sit,,,,,,,1,$44.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#624  M-403 Americana socks,#624  M-403 Americana socks,,"This primitive americana hanger is just awesome.  Each sock is 10.5 "" and attached to a stick.  The red stripe has one pin and bell in center with moss at the top.  The middle is made from osnaburg with a cheesecloth tie at the top also sweet annie is tucked in.  The third is nave flannel with 3 small stars.  Hangs",,,,,,,1,$28.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#240  D-164 Wee Prairie Doll,#240  D-164 Wee Prairie Doll,,"So sweet! and a must have for your home is this Muslin wee prairie doll in a grungy osnaburg apron and kerchief. Stands 7 1/2""",,,,,,,1,$18.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#713  M-436 Painted black heart,#713  M-436 Painted black heart,,Love this heart   It is made from muslin then painted black and grunged in cinnamon.  Jute tie with a tuck of sweet annie.,,,,,,,1,$14.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#242  D-165 Prairie Doll Molly,#242  D-165 Prairie Doll Molly,,"So simple in her flowered dress with bonnet and muslin apron with bloomers. She has in her arm her grungy book and her muslin duck.
Weighed to sit 16"" tall.",,,,,,,1,$42.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#243  P-03 Muslin Heart,#243  P-03 Muslin Heart,,"These 4 1/2"" muslin hearts will look wonderful sitting in a bowl. Grungy pin in center of heart.",,,,,,,1,$4.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#244  P-04 Pillow,#244  P-04 Pillow,,12x12 Black and white homespun pillow with quilt star sewn on.,,,,,,,1,$16.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#245  F-125 Orange Pumpkin,#245  F-125 Orange Pumpkin,,"I just love how this pumpkin came out. Painted then antiqued. Stick stem with moss. A black crow sits on top. Makes a wonderful addition for Harvest time. 36"" round",,,,,,,1,$32.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#246  F-126 Pumpkin,#246  F-126 Pumpkin,,"Another wonderful addition to our Fall line is this painted antique white pumpkin then aged. Stick stem with moss and a touch of white berries. Makes this a beautiful centerpiece. 36"" round",,,,,,,1,$32.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#247  P-05 Crow Pillow,#247  P-05 Crow Pillow,,"Pillow is 12x6 and is made from aged osnaburg
with a felt crow stitched on.",,,,,,,1,$10.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#111  Set R-24 Sm. R-25 Lg.,#111  Set R-24 Sm. R-25 Lg.,,"Our  set of painted yellow chicks are a must have for Spring.
 They are painted and then grunged in cinnamon. Small 4"" tall and Large 7"" tall.  weighed to stand.  (also can be purchased seperately- listed in Spring n Rabbit)",,,,,,,1,$14.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#299  P-15 Crow Pillow,#299  P-15 Crow Pillow,,Our aged osnaburg pillow is 12x12 with a black painted crow and mustard star.  A wonderful addition for your home.,,,,,,,1,$16.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#298  R-17 Hanging Bag w/ carrots,#298  R-17 Hanging Bag w/ carrots,,Hanging cone with three orange carrots.  Spanish moss nestled inside.  Hangs.  Great for a peg rack or hang on a cabinet knob.,,,,,,,1,$16.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#114  M-331 Pineapple,#114  M-331 Pineapple,,"This is our new painted mustard pineapple. Stands 11"" tall, and brushed with cinnamon to
complete it's wonderful primitive look.",,,,,,,1,$16.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
