KAI CERAMIC CACHEPOT - SM,7145-62,,The subtle horizontal texture on this ceramic cachepot is accentuated in gloss white glaze and counterbalanced with matte black vertical stripes.,,,,,"length: 3 in
width: 3 in
height: 3 in
size (us): 3x3x3
material: ceramic",,6,$4.00 ,24,$3.70 ,,,6,homart400,homart160,../images/products/ZOOM/desktop/7145-62.JPG,7145-62.JPG,,,homart800,7145-62.JPG
KAI CERAMIC CACHEPOT - MED,7146-62,,The subtle horizontal texture on this ceramic cachepot is accentuated in gloss white glaze and counterbalanced with matte black vertical stripes.,,,,,"length: 4.50 in
width: 4.50 in
height: 5 in
size (us): 4.5x4.5x5
material: ceramic",,4,$9.00 ,16,$8.30 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7146-62.JPG,7146-62.JPG,,,homart800,7146-62.JPG
KAI CERAMIC CACHEPOT - LRG,7147-62,,The subtle horizontal texture on this ceramic cachepot is accentuated in gloss white glaze and counterbalanced with matte black vertical stripes.,,,,,"length: 6.50 in
width: 6.50 in
height: 7 in
size (us): 6.5x6.5x7
material: ceramic",,4,$18.00 ,16,$16.70 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7147-62.JPG,7147-62.JPG,,,homart800,7147-62.JPG
"TOKU VASE, CERAMIC - INDIGO",7237-0,,Undulating tones and textures of indigo inspired blue creates a unique ceramic vessel.,,,,,"length: 3.50 in
width: 3.50 in
height: 5 in
weight: 0.60 lb
size (us): 3.5x3.5x5
material: ceramic",,6,$5.00 ,24,$4.60 ,,,6,homart400,homart160,../images/products/ZOOM/desktop/7237-0.JPG,7237-0.JPG,,,homart800,7237-0.JPG
"TOKU CROCK, CERAMIC - INDIGO",7238-0,,Undulating tones and textures of indigo inspired blue creates a unique ceramic vessel.,,,,,"length: 6 in
width: 6 in
height: 6 in
weight: 2.20 lb
size (us): 6x6x6
material: ceramic",,4,$14.00 ,16,$13.00 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7238-0.JPG,7238-0.JPG,,,homart800,7238-0.JPG
"TOKU CHALICE, CERAMIC - INDIGO STRIPE",7239-0,,Undulating tones and textures of indigo inspired blue creates a unique ceramic vessel.,,,,,"length: 5 in
width: 5 in
height: 7 in
weight: 2.20 lb
size (us): 5x5x7
material: ceramic",,4,$14.00 ,16,$13.00 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7239-0.JPG,7239-0.JPG,,,homart800,7239-0.JPG
CERAMIC SUCCULENT - SOFT BLUE,7453-10,,Enjoy the ease of gardening by adorning your environment with these ceramic succulents. Aside from the watercolor pallet there is no water required!,,,,,"length: 4 in
width: 4 in
height: 1.50 in
cube: 0.00 cbm
weight: 0.20 lb
size (us): 4x1.5
material: ceramic",,4,$7.00 ,16,$6.50 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7453-10.JPG,7453-10.JPG,,,homart800,7453-10.JPG
CERAMIC SUCCULENT - GREY,7454-44,,Enjoy the ease of gardening by adorning your environment with these ceramic succulents. Aside from the watercolor pallet there is no water required!,,,,,"length: 4.25 in
width: 4.25 in
height: 2.25 in
cube: 0.00 cbm
weight: 0.40 lb
size (us): 4.25x2.25
material: ceramic",,4,$7.00 ,16,$6.50 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7454-44.JPG,7454-44.JPG,,,homart800,7454-44.JPG
CERAMIC SUCCULENT - CREAM,7455-11,,Enjoy the ease of gardening by adorning your environment with these ceramic succulents. Aside from the watercolor pallet there is no water required!,,,,,"length: 4 in
width: 4 in
height: 2 in
cube: 0.00 cbm
weight: 0.60 lb
size (us): 4x2
material: ceramic",,4,$8.25 ,16,$7.50 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7455-11.JPG,7455-11.JPG,,,homart800,7455-11.JPG
CERAMIC SUCCULENT - SOFT LILAC,7456-12,,Enjoy the ease of gardening by adorning your environment with these ceramic succulents. Aside from the watercolor pallet there is no water required!,,,,,"length: 4 in
width: 4 in
height: 2 in
cube: 0.00 cbm
weight: 0.60 lb
size (us): 4x2
material: ceramic",,4,$8.25 ,16,$7.50 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7456-12.JPG,7456-12.JPG,,,homart800,7456-12.JPG
CERAMIC SUCCULENT - BLUSH,7457-4,,Enjoy the ease of gardening by adorning your environment with these ceramic succulents. Aside from the watercolor pallet there is no water required!,,,,,"length: 5.50 in
width: 5.50 in
height: 2.75 in
cube: 0.00 cbm
weight: 0.60 lb
size (us): 5.5x2.75
material: ceramic",,4,$8.25 ,16,$7.50 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7457-4.JPG,7457-4.JPG,,,homart800,7457-4.JPG
CERAMIC SUCCULENT - TEAL GREEN,7458-14,,Enjoy the ease of gardening by adorning your environment with these ceramic succulents. Aside from the watercolor pallet there is no water required!,,,,,"length: 4.50 in
width: 4.50 in
height: 2.25 in
cube: 0.00 cbm
weight: 0.80 lb
size (us): 4.5x2.25
material: ceramic",,4,$8.25 ,16,$7.50 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7458-14.JPG,7458-14.JPG,,,homart800,7458-14.JPG
"CERAMIC WALL POCKET, RECT - SM - GREY",7554-44,,"Wall Pockets can be used for decorations or for organization, but whatever the choice, they are delightful home decorations. They are the perfect receptacle for flowers, little accouterments such as pencils or note pages.",,,,,"length: 5 in
width: 2.25 in
height: 4.25 in
weight: 0.80 lb
size (us): 5x2.25x4.25
material: ceramic",,4,$5.50 ,16,$5.10 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7554-44.JPG,7554-44.JPG,,,homart800,7554-44.JPG
"CERAMIC WALL POCKET, RECT - SM - WHITE",7554-6,,"Wall Pockets can be used for decorations or for organization, but whatever the choice, they are delightful home decorations. They are the perfect receptacle for flowers, little accouterments such as pencils or note pages.",,,,,"length: 5 in
width: 2.25 in
height: 4.25 in
weight: 0.80 lb
size (us): 5x2.25x4.25
material: ceramic",,4,$5.50 ,16,$5.10 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7554-6.JPG,7554-6.JPG,,,homart800,7554-6.JPG
CERAMIC WALL POCKET - TALL - GREY,7555-44,,"Wall Pockets can be used for decorations or for organization, but whatever the choice, they are delightful home decorations. They are the perfect receptacle for flowers, little accouterments such as pencils or note pages.",,,,,"length: 4.25 in
width: 2.50 in
height: 6.25 in
weight: 1.20 lb
size (us): 4.25x2.5x6.25
material: ceramic",,4,$8.25 ,16,$7.50 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7555-44.JPG,7555-44.JPG,,,homart800,7555-44.JPG
"CERAMIC WALL POCKET, RECT - LRG - GREY",7556-44,,"Wall Pockets can be used for decorations or for organization, but whatever the choice, they are delightful home decorations. They are the perfect receptacle for flowers, little accouterments such as pencils or note pages.",,,,,"length: 7 in
width: 3 in
height: 5.75 in
weight: 1.80 lb
size (us): 7x3x5.75
material: ceramic",,4,$9.75 ,16,$9.00 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7556-44.JPG,7556-44.JPG,,,homart800,7556-44.JPG
"CERAMIC WALL POCKET, RECT - LRG - WHITE",7556-6,,"Wall Pockets can be used for decorations or for organization, but whatever the choice, they are delightful home decorations. They are the perfect receptacle for flowers, little accouterments such as pencils or note pages.",,,,,"length: 7 in
width: 3 in
height: 5.75 in
weight: 1.80 lb
size (us): 7x3x5.75
material: ceramic",,4,$9.75 ,16,$9.00 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7556-6.JPG,7556-6.JPG,,,homart800,7556-6.JPG
WALL MOUNT CERAMIC BIRDS ON BRANCH - SET OF 2 - MATTE WHITE,7561-6,,HomArt's Wall mounted Ceramic Birds on a branch are so realistic you would expect them to sing out a song! Makes a great gift idea for the gardener or bird watching enthusiast in your life.,,,,,"length: 5.50 in
width: 1.50 in
height: 3.25 in
weight: 0.82 lb
size (us): 5.5x1.5x3.25
material: ceramic",,2,$10.00 ,8,$8.00 ,,,2,homart400,homart160,../images/products/ZOOM/desktop/7561-6.JPG,7561-6.JPG,,,homart800,7561-6.JPG
CERAMIC SPARROWS - SM PAIR - LEFT & RIGHT - WHITE,7565-6,,Let our our pair of white ceramic sparrows swoop right into your home and bring you joy. Notch is located on the back for wall hanging with ease.,,,,,"length: 4.25 in 10.79 cm
width: 2.50 in 6.35 cm
height: 2.50 in 6.35 cm
cube: 0.00
weight: 0.47 lb 0.21 kg
size (metric): 1 lft & 1 rt
material: ceramic",,3,$8.00 ,12,$7.40 ,,,3,homart400,homart160,../images/products/ZOOM/desktop/7565-6.JPG,7565-6.JPG,,,homart800,7565-6.JPG
CERAMIC SPARROWS - LRG PAIR - LEFT & RIGHT - WHITE,7567-6,,Let our our pair of white ceramic sparrows swoop right into your home and bring you joy. Notch is located on the back for wall hanging with ease.,,,,,"length: 6.25 in 15.88 cm
width: 3 in 7.62 cm
height: 3 in 7.62 cm
cube: 0.00
weight: 0.80 lb 0.36 kg
size (metric): 1lft&1rt
material: ceramic",,2,$14.25 ,8,$13.25 ,,,2,homart400,homart160,../images/products/ZOOM/desktop/7567-6.JPG,7567-6.JPG,,,homart800,7567-6.JPG
