CLASSIC COWGIRL MILD DARK CHOCOLATE - ALMOND & SEA SALT BAR,146,HOME|SHOP|CHOCOLATE BARS|CLASSIC COWGIRL MILD DARK CHOCOLATE - ALMOND & SEA SALT BAR,Perfectly roasted almonds blended with deep dark chocolate and a touch of sea salt 1.25 oz.,,,,,,,1,$2.50,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/139/418/Salted_Almond_Bar_-_raw_burned_-_2__22604.1523814982.jpg?c=2&imbypass=on,Salted_Almond_Bar_-_raw_burned_-_2__22604.1523814982.jpg?c=2&imbypass=on,,,cowgirl800,Salted_Almond_Bar_-_raw_burned_-_2__22604.1523814982.jpg?c=2&imbypass=on,
CLASSIC COWGIRL SPICY TRUFFLE TOFFEE BAR,119,HOME|SHOP|CHOCOLATE BARS|CLASSIC COWGIRL SPICY TRUFFLE TOFFEE BAR,Toffee Bits blended with creamy milk chocolate and spice. Watch out though - that spice can match the kick of an angry mule! ,,,,,,,1,$2.50,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/131/402/Spicy_Toffee_Truffle_Bar_-_raw_burned__24459.1523745234.jpg?c=2&imbypass=on,Spicy_Toffee_Truffle_Bar_-_raw_burned__24459.1523745234.jpg?c=2&imbypass=on,,,cowgirl800,Spicy_Toffee_Truffle_Bar_-_raw_burned__24459.1523745234.jpg?c=2&imbypass=on,
1/4 POUND KRAFT CARAMEL BOX,226,HOME|SHOP|CARAMELS|1/4 POUND KRAFT CARAMEL BOX,"Select our Simply simple packaging with your choice of caramel flavors for that very special someone. 10 caramels wrapped up in our kraft boxes, with a glittery ribbon, cowgirl button, and note card. ",,,,,,,1,$12.95,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/192/520/craftboxcaramels2__40426.1548469275.jpg?c=2&imbypass=on,craftboxcaramels2__40426.1548469275.jpg?c=2&imbypass=on,,,cowgirl800,craftboxcaramels2__40426.1548469275.jpg?c=2&imbypass=on,
CLASSIC COWGIRL TRUFFLE TRAVEL TIN,90,HOME|SHOP|CHOCOLATE TRUFFLES|CLASSIC COWGIRL TRUFFLE TRAVEL TIN,"12 assorted truffles in a flat travel tin with our classic gift card, ribbon, and western button. This is one of our most popular gift items!
If you would like to add a card or message with your order, please use the special order instructions as you check out. ",,,,,,,1,$15.95,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/117/596/truffle_travel_tin_-_2_burned__74692.1573417207.jpg?c=2&imbypass=on,truffle_travel_tin_-_2_burned__74692.1573417207.jpg?c=2&imbypass=on,,,cowgirl800,truffle_travel_tin_-_2_burned__74692.1573417207.jpg?c=2&imbypass=on,
CLASSIC COWGIRL 1/3 POUND TRUFFLE SAMPLER,43,HOME|SHOP|CHOCOLATE TRUFFLES|CLASSIC COWGIRL 1/3 POUND TRUFFLE SAMPLER,"Our 1/3 Pound Truffles Sampler comes in a Kraft, Green, Black, or Red corrugated box with a 'classic western' style button and a signature gift card. The sampler includes a taste of all of our flavors - including our Signature Habanero Caramel! (Box cutout may vary)
If you would like to add a card or message with your order, please use the 'special order instructions' as you check out. ",,,,,,,1,$14.95,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/112/457/1_pound_box_larger_edited_burned__37350.1535295849.jpg?c=2&imbypass=on,1_pound_box_larger_edited_burned__37350.1535295849.jpg?c=2&imbypass=on,,,cowgirl800,1_pound_box_larger_edited_burned__37350.1535295849.jpg?c=2&imbypass=on,
CLASSIC COWGIRL 1/2 POUND SPICY TRUFFLE TIN,4,HOME|SHOP|CHOCOLATE TRUFFLES|CLASSIC COWGIRL 1/2 POUND SPICY TRUFFLE TIN,"You can't go wrong with this gift of our Classic Spicy Truffle Tin. All of the flavors are there. A special gift that adds a little 'KICK' to the gourmet chocolate. 
If you would like to add a card or message with your order, please use the special instructions as you check out. 
If you would like to 'customize' your truffle order, please use the 'special instructions' section at check out. ",,,,,,,1,$17.50,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/115/610/spicytins_-_4_burned__58119.1576727205.jpg?c=2&imbypass=on,spicytins_-_4_burned__58119.1576727205.jpg?c=2&imbypass=on,,,cowgirl800,spicytins_-_4_burned__58119.1576727205.jpg?c=2&imbypass=on,
PARTY SIZED CANSTER FULL OF COWGIRL TRUFFLES! - 100 PIECES!!,245,HOME|SHOP|CHOCOLATE TRUFFLES|PARTY SIZED CANSTER FULL OF COWGIRL TRUFFLES! - 100 PIECES!!,"This is a new Item!! Just in time for the Holiday Season! Order a Party Pack of Cowgirl Chocolate Truffles! Have it your way - All Spicy, All Mild, or Spicy and Mild. 2 1/2 pounds in all - 100 pieces. Your party will be very popular with Cowgirl Chocolates Famous Truffles! Canisters are available in Gold, Red, Copper, and Silver - specify your canister color at check out! *** This item ships via FedEx and takes an additional day or two. I am not able to ship this product to a PO Box. I need a physical address - a house or work, or neighbor? ***",,,,,,,1,$65.00,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/228/586/partysized_-_gold_-_2_burned_2__39915.1572827514.jpg?c=2&imbypass=on,partysized_-_gold_-_2_burned_2__39915.1572827514.jpg?c=2&imbypass=on,,,cowgirl800,partysized_-_gold_-_2_burned_2__39915.1572827514.jpg?c=2&imbypass=on,
CLASSIC COWGIRL MILD MILK CHOCOLATE TRUFFLE BAR,125,HOME|SHOP|CHOCOLATE BARS|CLASSIC COWGIRL MILD MILK CHOCOLATE TRUFFLE BAR,Our Delicious Milk Chocolate Truffle made into a bar. 1.76 oz,,,,,,,1,$2.50,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/137/414/mild_milk_truffle_bar_-_raw_burned__59464.1523813253.jpg?c=2&imbypass=on,mild_milk_truffle_bar_-_raw_burned__59464.1523813253.jpg?c=2&imbypass=on,,,cowgirl800,mild_milk_truffle_bar_-_raw_burned__59464.1523813253.jpg?c=2&imbypass=on,
1/2 POUND CARAMEL GIFT BOX,86,HOME|SHOP|CARAMELS|1/2 POUND CARAMEL GIFT BOX,"Our Chipotle Caramels won second place for zesty candy and are a Fiery Food Challenge Winner. They are becoming a favorite at the ranch along with our award winning Habanero Caramels. Enjoy the delicate sweet smoky aftertaste of our soft, chewy caramels. Our, choose from any of the other flavors, and if you can't decide, mix it up! We can package it anyway you want. Out newest popular selection is our Chocolate Sea Salt Caramels. 1/2 pound in a corrugated gift box in black or green, with a ribbon, gift card, and western button.",,,,,,,1,$14.95,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/165/458/half_pound_caramel_gift_box_burned__58477.1536082738.jpg?c=2&imbypass=on,half_pound_caramel_gift_box_burned__58477.1536082738.jpg?c=2&imbypass=on,,,cowgirl800,half_pound_caramel_gift_box_burned__58477.1536082738.jpg?c=2&imbypass=on,
' SIMPLY SIMPLE ' 8 BAR KRAFT BAR BOXES,224,HOME|SHOP|CHOCOLATE BARS|' SIMPLY SIMPLE ' 8 BAR KRAFT BAR BOXES,"Our 12 Bar Boxes are very popular, but if you are looking for something a little simpler - try our 8 Bar Boxes. Choose your chocolate in Spicy, Mild, or a mixture of 4 of each. Or, if you have specific flavors you want, simply let us know which 8 Solid Bars you want at check out in the comment section. A simple kraft box wrapped up with a glittery bow, a classic button and note card. a great gift for that special person!",,,,,,,1,$16.95,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/190/512/CGC8barbox1__19213.1548468234.png?c=2&imbypass=on,CGC8barbox1__19213.1548468234.png?c=2&imbypass=on,,,cowgirl800,CGC8barbox1__19213.1548468234.png?c=2&imbypass=on,
