Christmas Tree Reed Gardens 4oz,,,,,,,,,1,$6.50 ,6,
Christmas Tree Display Jar Classic Label,,,,,,,,,1,$12.50 ,1,
Christmas Tree Display Jar Black & Gold Label,,,,,,,,,1,$12.50 ,1,
Cinnamon Classic Jar Candle 16oz,,,,,,,,,3,$9.50 ,12,$114 
Cinnamon Classic Jar Candle 26oz,,,,,,,,,3,$12.00 ,12,$144 
Cinnamon Double Wick Classic 16oz,,,,,,,,,3,$10.00 ,12,$120 
Cinnamon Candle Bars ,,,,,,,,,1,$4.00 ,N/A,0.56
Cinnamon Buttons (Box of 36),,,,,,,,,1,$20.00 ,4,$39 
Cinnamon Reed Gardens 4oz,,,,,,,,,1,$6.50 ,6,
Cinnamon Display Jar Classic Label,,,,,,,,,1,$12.50 ,1,
Cinnamon Display Jar Black & Gold Label,,,,,,,,,1,$12.50 ,1,
Cinnamon & Cranberries Classic Jar Candle 16oz,,,,,,,,,3,$9.50 ,12,$114 
Cinnamon & Cranberries Classic Jar Candle 26oz,,,,,,,,,3,$12.00 ,12,$144 
Cinnamon & Cranberries Double Wick Classic 16oz,,,,,,,,,3,$10.00 ,12,$120 
Cinnamon & Cranberries Indulgence 18 oz,,,,,,,,,3,$10.00 ,12,$120 
Cinnamon & Cranberries McCall's Mason 16oz,,,,,,,,,3,$7.50 ,12,$90 
Cinnamon & Cranberries Ltd Edition! Vintage 22 22oz Cans,,,,,,,,,3,$7.50 ,12,$90 
Cinnamon & Cranberries Candle Bars ,,,,,,,,,1,$4.00 ,N/A,0.56
Cinnamon & Cranberries Buttons (Box of 36),,,,,,,,,1,$20.00 ,4,$39 
Cinnamon & Cranberries Reed Gardens 4oz,,,,,,,,,1,$6.50 ,6,
Cinnamon & Cranberries Display Jar Classic Label,,,,,,,,,1,$12.50 ,1,
Cinnamon & Cranberries Display Jar Black & Gold Label,,,,,,,,,1,$12.50 ,1,
Coconut Lime Verbena Classic Jar Candle 16oz,,,,,,,,,3,$9.50 ,12,$114 
Coconut Lime Verbena Classic Jar Candle 26oz,,,,,,,,,3,$12.00 ,12,$144 
Coconut Lime Verbena Double Wick Classic 16oz,,,,,,,,,3,$10.00 ,12,$120 
Coconut Lime Verbena Indulgence 18 oz,,,,,,,,,3,$10.00 ,12,$120 
Coconut Lime Verbena McCall's Mason 16oz,,,,,,,,,3,$7.50 ,12,$90 
Coconut Lime Verbena Ltd Edition! Vintage 22 22oz Cans,,,,,,,,,3,$7.50 ,12,$90 
Coconut Lime Verbena Candle Bars ,,,,,,,,,1,$4.00 ,N/A,0.56
Coconut Lime Verbena Buttons (Box of 36),,,,,,,,,1,$20.00 ,4,$39 
Coconut Lime Verbena Reed Gardens 4oz,,,,,,,,,1,$6.50 ,6,
Coconut Lime Verbena Display Jar Classic Label,,,,,,,,,1,$12.50 ,1,
Coconut Lime Verbena Display Jar Black & Gold Label,,,,,,,,,1,$12.50 ,1,
Cotton Candy Classic Jar Candle 16oz,,,,,,,,,3,$9.50 ,12,$114 
Cotton Candy Classic Jar Candle 26oz,,,,,,,,,3,$12.00 ,12,$144 
Cotton Candy Double Wick Classic 16oz,,,,,,,,,3,$10.00 ,12,$120 
Cotton Candy Indulgence 18 oz,,,,,,,,,3,$10.00 ,12,$120 
Cotton Candy McCall's Mason 16oz,,,,,,,,,3,$7.50 ,12,$90 
Cotton Candy Ltd Edition! Vintage 22 22oz Cans,,,,,,,,,3,$7.50 ,12,$90 
Cotton Candy Candle Bars ,,,,,,,,,1,$4.00 ,N/A,0.56
Cotton Candy Buttons (Box of 36),,,,,,,,,1,$20.00 ,4,$39 
Cotton Candy Reed Gardens 4oz,,,,,,,,,1,$6.50 ,6,
Cotton Candy Display Jar Classic Label,,,,,,,,,1,$12.50 ,1,
Cotton Candy Display Jar Black & Gold Label,,,,,,,,,1,$12.50 ,1,
Country Christmas Classic Jar Candle 16oz,,,,,,,,,3,$9.50 ,12,$114 
Country Christmas Classic Jar Candle 26oz,,,,,,,,,3,$12.00 ,12,$144 
Country Christmas Double Wick Classic 16oz,,,,,,,,,3,$10.00 ,12,$120 
Country Christmas McCall's Mason 16oz,,,,,,,,,3,$7.50 ,12,$90 
Country Christmas Ltd Edition! Vintage 22 22oz Cans,,,,,,,,,3,$7.50 ,12,$90 
Country Christmas Candle Bars ,,,,,,,,,1,$4.00 ,N/A,0.56
Country Christmas Buttons (Box of 36),,,,,,,,,1,$20.00 ,4,$39 
Country Christmas Reed Gardens 4oz,,,,,,,,,1,$6.50 ,6,
Country Christmas Display Jar Classic Label,,,,,,,,,1,$12.50 ,1,
Country Christmas Display Jar Black & Gold Label,,,,,,,,,1,$12.50 ,1,
Country Store Classic Jar Candle 16oz,,,,,,,,,3,$9.50 ,12,$114 
Country Store Classic Jar Candle 26oz,,,,,,,,,3,$12.00 ,12,$144 
Country Store Double Wick Classic 16oz,,,,,,,,,3,$10.00 ,12,$120 
Country Store Indulgence 18 oz,,,,,,,,,3,$10.00 ,12,$120 
Country Store McCall's Mason 16oz,,,,,,,,,3,$7.50 ,12,$90 
Country Store Ltd Edition! Vintage 22 22oz Cans,,,,,,,,,3,$7.50 ,12,$90 
Country Store Candle Bars ,,,,,,,,,1,$4.00 ,N/A,0.56
Country Store Buttons (Box of 36),,,,,,,,,1,$20.00 ,4,$39 
Country Store Reed Gardens 4oz,,,,,,,,,1,$6.50 ,6,
Country Store Display Jar Classic Label,,,,,,,,,1,$12.50 ,1,
Country Store Display Jar Black & Gold Label,,,,,,,,,1,$12.50 ,1,
Cozy Cabin Classic Jar Candle 16oz,,,,,,,,,3,$9.50 ,12,$114 
Cozy Cabin Classic Jar Candle 26oz,,,,,,,,,3,$12.00 ,12,$144 
Cozy Cabin Double Wick Classic 16oz,,,,,,,,,3,$10.00 ,12,$120 
Cozy Cabin Indulgence 18 oz,,,,,,,,,3,$10.00 ,12,$120 
Cozy Cabin McCall's Mason 16oz,,,,,,,,,3,$7.50 ,12,$90 
Cozy Cabin Candle Bars ,,,,,,,,,1,$4.00 ,N/A,0.56
Cozy Cabin Buttons (Box of 36),,,,,,,,,1,$20.00 ,4,$39 
Cozy Cabin Reed Gardens 4oz,,,,,,,,,1,$6.50 ,6,
Cozy Cabin Display Jar Classic Label,,,,,,,,,1,$12.50 ,1,
Cozy Cabin Display Jar Black & Gold Label,,,,,,,,,1,$12.50 ,1,
Creme Brulee Classic Jar Candle 16oz,,,,,,,,,3,$9.50 ,12,$114 
Creme Brulee Classic Jar Candle 26oz,,,,,,,,,3,$12.00 ,12,$144 
Creme Brulee Double Wick Classic 16oz,,,,,,,,,3,$10.00 ,12,$120 
Creme Brulee Ltd Edition! Vintage 22 22oz Cans,,,,,,,,,3,$7.50 ,12,$90 
Creme Brulee Candle Bars ,,,,,,,,,1,$4.00 ,N/A,0.56
Creme Brulee Buttons (Box of 36),,,,,,,,,1,$20.00 ,4,$39 
Creme Brulee Reed Gardens 4oz,,,,,,,,,1,$6.50 ,6,
Creme Brulee Display Jar Classic Label,,,,,,,,,1,$12.50 ,1,
Creme Brulee Display Jar Black & Gold Label,,,,,,,,,1,$12.50 ,1,
Farmer's Market Classic Jar Candle 16oz,,,,,,,,,3,$9.50 ,12,$114 
Farmer's Market Classic Jar Candle 26oz,,,,,,,,,3,$12.00 ,12,$144 
Farmer's Market Double Wick Classic 16oz,,,,,,,,,3,$10.00 ,12,$120 
Farmer's Market Ltd Edition! Vintage 22 22oz Cans,,,,,,,,,3,$7.50 ,12,$90 
Farmer's Market Candle Bars ,,,,,,,,,1,$4.00 ,N/A,0.56
Farmer's Market Buttons (Box of 36),,,,,,,,,1,$20.00 ,4,$39 
Farmer's Market Reed Gardens 4oz,,,,,,,,,1,$6.50 ,6,
Farmer's Market Display Jar Classic Label,,,,,,,,,1,$12.50 ,1,
Farmer's Market Display Jar Black & Gold Label,,,,,,,,,1,$12.50 ,1,
Flower Shoppe Classic Jar Candle 16oz,,,,,,,,,3,$9.50 ,12,$114 
Flower Shoppe Classic Jar Candle 26oz,,,,,,,,,3,$12.00 ,12,$144 
Flower Shoppe Double Wick Classic 16oz,,,,,,,,,3,$10.00 ,12,$120 
Flower Shoppe Candle Bars ,,,,,,,,,1,$4.00 ,N/A,0.56
Flower Shoppe Buttons (Box of 36),,,,,,,,,1,$20.00 ,4,$39 
Flower Shoppe Reed Gardens 4oz,,,,,,,,,1,$6.50 ,6,
Flower Shoppe Display Jar Classic Label,,,,,,,,,1,$12.50 ,1,
Flower Shoppe Display Jar Black & Gold Label,,,,,,,,,1,$12.50 ,1,
Fresh Apple Classic Jar Candle 16oz,,,,,,,,,3,$9.50 ,12,$114 
Fresh Apple Classic Jar Candle 26oz,,,,,,,,,3,$12.00 ,12,$144 
Fresh Apple Double Wick Classic 16oz,,,,,,,,,3,$10.00 ,12,$120 
Fresh Apple Indulgence 18 oz,,,,,,,,,3,$10.00 ,12,$120 
Fresh Apple McCall's Mason 16oz,,,,,,,,,3,$7.50 ,12,$90 
Fresh Apple Ltd Edition! Vintage 22 22oz Cans,,,,,,,,,3,$7.50 ,12,$90 
Fresh Apple Candle Bars ,,,,,,,,,1,$4.00 ,N/A,0.56
Fresh Apple Buttons (Box of 36),,,,,,,,,1,$20.00 ,4,$39 
Fresh Apple Reed Gardens 4oz,,,,,,,,,1,$6.50 ,6,
Fresh Apple Display Jar Classic Label,,,,,,,,,1,$12.50 ,1,
Fresh Apple Display Jar Black & Gold Label,,,,,,,,,1,$12.50 ,1,
Fresh Strawberries Classic Jar Candle 16oz,,,,,,,,,3,$9.50 ,12,$114 
Fresh Strawberries Classic Jar Candle 26oz,,,,,,,,,3,$12.00 ,12,$144 
Fresh Strawberries Double Wick Classic 16oz,,,,,,,,,3,$10.00 ,12,$120 
Fresh Strawberries Indulgence 18 oz,,,,,,,,,3,$10.00 ,12,$120 
Fresh Strawberries McCall's Mason 16oz,,,,,,,,,3,$7.50 ,12,$90 
Fresh Strawberries Ltd Edition! Vintage 22 22oz Cans,,,,,,,,,3,$7.50 ,12,$90 
Fresh Strawberries Candle Bars ,,,,,,,,,1,$4.00 ,N/A,0.56
Fresh Strawberries Buttons (Box of 36),,,,,,,,,1,$20.00 ,4,$39 
Fresh Strawberries Reed Gardens 4oz,,,,,,,,,1,$6.50 ,6,
Fresh Strawberries Display Jar Classic Label,,,,,,,,,1,$12.50 ,1,
Fresh Strawberries Display Jar Black & Gold Label,,,,,,,,,1,$12.50 ,1,
Gardenia Classic Jar Candle 16oz,,,,,,,,,3,$9.50 ,12,$114 
Gardenia Classic Jar Candle 26oz,,,,,,,,,3,$12.00 ,12,$144 
Gardenia Double Wick Classic 16oz,,,,,,,,,3,$10.00 ,12,$120 
Gardenia Candle Bars ,,,,,,,,,1,$4.00 ,N/A,0.56
Gardenia Buttons (Box of 36),,,,,,,,,1,$20.00 ,4,$39 
Gardenia Reed Gardens 4oz,,,,,,,,,1,$6.50 ,6,
Gardenia Display Jar Classic Label,,,,,,,,,1,$12.50 ,1,
Gardenia Display Jar Black & Gold Label,,,,,,,,,1,$12.50 ,1,
Ginger Peach Classic Jar Candle 16oz,,,,,,,,,3,$9.50 ,12,$114 
Ginger Peach Classic Jar Candle 26oz,,,,,,,,,3,$12.00 ,12,$144 
Ginger Peach Double Wick Classic 16oz,,,,,,,,,3,$10.00 ,12,$120 
Ginger Peach Indulgence 18 oz,,,,,,,,,3,$10.00 ,12,$120 
Ginger Peach McCall's Mason 16oz,,,,,,,,,3,$7.50 ,12,$90 
Ginger Peach Ltd Edition! Vintage 22 22oz Cans,,,,,,,,,3,$7.50 ,12,$90 
Ginger Peach Candle Bars ,,,,,,,,,1,$4.00 ,N/A,0.56
Ginger Peach Buttons (Box of 36),,,,,,,,,1,$20.00 ,4,$39 
Ginger Peach Reed Gardens 4oz,,,,,,,,,1,$6.50 ,6,
Ginger Peach Display Jar Classic Label,,,,,,,,,1,$12.50 ,1,
Ginger Peach Display Jar Black & Gold Label,,,,,,,,,1,$12.50 ,1,
Grandma's Kitchen Classic Jar Candle 16oz,,,,,,,,,3,$9.50 ,12,$114 
Grandma's Kitchen Classic Jar Candle 26oz,,,,,,,,,3,$12.00 ,12,$144 
Grandma's Kitchen Double Wick Classic 16oz,,,,,,,,,3,$10.00 ,12,$120 
Grandma's Kitchen Indulgence 18 oz,,,,,,,,,3,$10.00 ,12,$120 
Grandma's Kitchen McCall's Mason 16oz,,,,,,,,,3,$7.50 ,12,$90 
