6168E- Mini Dish “When God answers my prayers…”,6168E-,"Home|Dishes: mini 3""","Description
Yellow Flower
When God answers my prayers,
sometimes he says “Yes,”
sometimes he says “No,”
and sometimes he says
“You’ve got to be kidding!”",,,,,,,2,5,24,4.75,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/6168E.jpg,6168E.jpg,,,AugCeramics,6168E.jpg,,,6168E
6135A- Mini Dish “Without music …life would be flat”,6135A-,"Home|Dishes: mini 3""","Description
Music Notes
Without music …life would be flat",,,,,,,2,5,24,4.75,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/6135A.jpg,6135A.jpg,,,AugCeramics,6135A.jpg,,,6135A
"3150-VB “Bay Ridge, Brooklyn”",3150-VB,Home|Disk Magnets,"Description
“Bay Ridge, Brooklyn.”
Verrazano Bridge
New York",,,,,,,2,4.5,24,4.25,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/3150-VB.jpg,3150-VB.jpg,,,AugCeramics,3150-VB.jpg,,,3150-VB
"2198A “A good marriage starts by gazing at each other, and lasts by looking together in the same direction.”",2198A,Home|Disk Hangers,"Description
A good marriage starts by gazing at each other and lasts by looking together in the same direction.",,,,,,,2,4.5,24,4.25,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/2016/12/2198A.jpg,2198A.jpg,,,AugCeramics,2198A.jpg,,,2198A
"R593 Laughter, Secrets and Sometimes Tears. You’ve been my rock through the years.”",R593,"Home|Rocks Lg. 5"" x 3""","Description
Imprinted Ceramic rock 5″ x 3.5″ x 1″",,,,,,,2,7.5,24,7.25,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/R593.jpg,R593.jpg,,,AugCeramics,R593.jpg,,,R593
6267A Mini Dish “Just Cruisin’,6267A,"Home|Dishes: mini 3""","Description
Cruise Ship
Just Cruisin’",,,,,,,2,5,24,4.75,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/6267A.jpg,6267A.jpg,,,AugCeramics,6267A.jpg,,,6267A
6267B Mini Dish “Cruise ship calories don’t count”,6267B,"Home|Dishes: mini 3""","Description
Cruise Ship
Cruise ship calories don’t count",,,,,,,2,5,24,4.75,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/6267B.jpg,6267B.jpg,,,AugCeramics,6267B.jpg,,,6267B
6171B- Mini Dish “All men are created equal…then a few become firemen.”,6171B-,"Home|Dishes: mini 3""","Description
Fireman Hat
All men are created equal…then a few become firefighters.",,,,,,,2,5,24,4.75,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/6171B.jpg,6171B.jpg,,,AugCeramics,6171B.jpg,,,6171B
6222C- Mini Dish “You say Crazy Ol’ Cat Lady…Like it’s a bad thing.”,6222C-,Home|CATS|Cat Mini dishes,"Description
Tan Cat
You say Crazy Ol’ Cat Lady…Like it’s a bad thing.",,,,,,,2,5,24,4.75,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/6222C.jpg,6222C.jpg,,,AugCeramics,6222C.jpg,,,6222C
6259A Mini Dish “Inside every crazy puppy grows a loving loyal best friend.”,6259A,Home|DOGS|Dog: Mini dishes,"Description
Inside every crazy puppy grows a loving loyal best friend.",,,,,,,2,5,24,4.75,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/6259A.jpg,6259A.jpg,,,AugCeramics,6259A.jpg,,,6259A
8267B Cruise ship “Cruise ship calories don’t count.”,8267B,"Home|Paper-weights 4"" x 3""","Description
Cruise ship”Cruise ship calories don’t count.”",,,,,,,2,6,24,5.75,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/8267B.jpg,8267B.jpg,,,AugCeramics,8267B.jpg,,,8267B
2267B Cruise ship “Cruise ship calories don’t count.”,2267B,Home|Disk Hangers,"Description
Cruise ship
“Cruise ship calories don’t count.”
 ",,,,,,,2,4.5,24,4.25,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/2267B.jpg,2267B.jpg,,,AugCeramics,2267B.jpg,,,2267B
3267B Cruise ship “Cruise ship calories don’t count.”,3267B,Home|Disk Magnets,"Description
Cruise ship
“Cruise ship calories don’t count.”
 ",,,,,,,2,4.5,24,4.25,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/3267B.jpg,3267B.jpg,,,AugCeramics,3267B.jpg,,,3267B
CR15 HOME – CUSTOMIZED FOR YOU,CR15,Home|NAME DROPS|Name Dropped Rocks,"Description
Would you like a HOME rock for your state or town.
No set up fee
Minimum of 12 pieces for a new State.
Turn around time is approximately 3-4 weeks.",,,,,,,24,7.5,24,7.25,,,24,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/CR15.jpg,CR15.jpg,,,AugCeramics,CR15.jpg,,,CR15
CR1 Compass Rose: CUSTOMIZED FOR YOU,CR1,Home|NAME DROPS|Name Dropped Rocks,"Description
Would you like a Compass Rose for your town?
No set up fee
Minimum of 24 pieces
Just give us your town or beach name and we’ll apply your coordinates.",,,,,,,24,7.5,24,7.25,,,24,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/CR____.jpg,CR____.jpg,,,AugCeramics,CR____.jpg,,,CR____
2267A “Just cruisin'”,2267A,Home|Disk Hangers,"Description
“Just cruisin'”
cruise ship
 ",,,,,,,2,4.5,24,4.25,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/2267A.jpg,2267A.jpg,,,AugCeramics,2267A.jpg,,,2267A
3267A “Just cruisin'”,3267A,Home|Disk Magnets,"Description
Cruise ship
“Just cruisin'”",,,,,,,2,4.5,24,4.25,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/3267A.jpg,3267A.jpg,,,AugCeramics,3267A.jpg,,,3267A
8267A “Just cruisin'”,8267A,"Home|Paper-weights 4"" x 3""","Description
Cruise ship
“Just cruisin'”
 ",,,,,,,2,6,24,5.75,,,2,AugCeramics,AugCeramics,https://www.augustceramicswholesale.com/wp-content/uploads/8267A.jpg,8267A.jpg,,,AugCeramics,8267A.jpg,,,8267A
