"12"" X 4"" X 1.75 Wood Brick (Hey Mom Can I Help You Clean)- Model Number - 12296",https://images.gogreenentinc.com/product/750/750/420715.jpg,||||,||||,Type:|Blocks,Material:|Wood,Theme:|Everyday,Color Scheme:|Blacks and Whites,"Height:|Less than 6""","Depth:|1"" - 2""","Width:|6"" - 12""",Weight:|Less than 1 lbs,Mount:|Free standing,Shape:|Rectangle,Placement:|Setting,Mpn #|12296,"Dimensions|13 "" X 2.25 "" X 5 """,Weight|0.65 lbs.
"13"" X 32"" X 1"" Wood Tag (Life Lessons) Black/White/Gold- 12462",https://images.gogreenentinc.com/product/750/750/529092.jpg,||||,||||,Theme:|Everyday,Mount:|Hanging,Type:|Sign,Weight:|1-3 lbs,Shape:|Rectangle,Material:|Wood,Color Scheme:|Blacks and Whites,"Width:|13"" - 24""","Depth:|1"" - 2""","Height:|25"" - 36""",Placement:|Hanging,Collection:|Dad Knows Best,Mpn #|12462,"Dimensions|12.99 "" X 0.39 "" X 31.89 """,Weight|2.82 lbs.
"13""x 3""x 1.5"" Wood Brick (Mummy's Kitchen) Orange/Black/White- 58222",https://images.gogreenentinc.com/product/750/750/531721.jpg,||||,||||,Theme:|Halloween,Mount:|Free standing,Type:|Sign,Weight:|1-3 lbs,Shape:|Rectangle,Material:|Wood,"Width:|13"" - 24""","Depth:|1"" - 2""","Height:|Less than 6""",Placement:|Setting,Mpn #|58222,Weight|0 lbs.
"13"" X 6"" X 1.5"" Wood Block Set (Love) Pink/White - Model Number - 23059",https://images.gogreenentinc.com/product/750/750/516732.jpg,||||,||||,Theme:|Valentines,Mount:|Free standing,Type:|Blocks,Shape:|Rectangle,Material:|Wood,Color Scheme:|Reds,"Width:|13"" - 24""","Depth:|1"" - 2""","Height:|6"" - 12""",Placement:|Setting,Collection:|Cupcake Bliss,Mpn #|23059,"Dimensions|7 "" X 2 "" X 14 """,Weight|0.76 lbs.
"14"" X 5"" X 1.5"" Wood Sign Assortment Of 2 (Exit/Entry) Black/White - Model Number - 13203",https://images.gogreenentinc.com/product/750/750/516641.jpg,||||,||||,Theme:|Everyday,Mount:|Hanging,Type:|Sign,Shape:|Rectangle,Material:|Wood,Color Scheme:|Blacks and Whites,Placement:|Hanging,Weight:|Less than 1 lbs,"Width:|13"" - 24""","Depth:|1"" - 2""","Height:|Less than 6""",Collection:|Arrows & Dots - Black and White,Mpn #|13203,"Dimensions|15 "" X 2 "" X 6 """,Weight|0.82 lbs.
"14"" X 7.5"" X 1"" Wood Cutout (Kiss) Red/White - Model Number - 22034",https://images.gogreenentinc.com/product/750/750/516706.jpg,||||,||||,Theme:|Valentines,Mount:|Free standing,Weight:|Less than 1 lbs,Type:|Sign,Material:|Wood,Color Scheme:|Reds,"Width:|13"" - 24""","Depth:|1"" - 2""","Height:|6"" - 12""",Placement:|Setting,Collection:|Red White and Loved,Mpn #|22034,"Dimensions|8.5 "" X 1.5 "" X 15 """,Weight|1.04 lbs.
"15.5""x 7""x .5"" Wood Cutout (Merry Christmas) Red/White- 73166",https://images.gogreenentinc.com/product/750/750/533659.jpg,||||,||||,Theme:|Christmas/Winter,Type:|Sign,Mount:|Hanging,Weight:|Less than 1 lbs,Material:|Wood,"Width:|13"" - 24""","Depth:|Less than 1""","Height:|6"" - 12""",Placement:|Hanging,Color Scheme:|Reds,Mpn #|73166,"Dimensions|15.35 "" X 0.39 "" X 5.91 """,Weight|0.49 lbs.
"15"" X 16"" X 1.5"" Wood Brick Set W/Heart (Happy Valentines) Red/White - Model Number - 22046",https://images.gogreenentinc.com/product/750/750/516718.jpg,||||,||||,Theme:|Valentines,Mount:|Free standing,Type:|Blocks,Shape:|Rectangle,Material:|Wood,Color Scheme:|Reds,"Width:|13"" - 24""","Depth:|1"" - 2""","Height:|13"" - 24""",Placement:|Setting,Collection:|Red White and Loved,Mpn #|22046,"Dimensions|17 "" X 2 "" X 16 """,Weight|1.64 lbs.
"16.5""x 9""x 1.5"" Square Pumpkin Block Set (Fall) White/Orange/Brown- 68166",https://images.gogreenentinc.com/product/750/750/531648.jpg,||||,||||,Theme:|Thanksgiving/Autumn,Mount:|Free standing,Type:|Blocks,Weight:|1-3 lbs,Shape:|Rectangle,Material:|Wood,"Width:|13"" - 24""","Depth:|1"" - 2""","Height:|6"" - 12""",Placement:|Setting,Mpn #|68166,Weight|0 lbs.
"17.5"" X 36"" X 1.5"" Wood Sign (Family Rules) - Model Number - 12485",https://images.gogreenentinc.com/product/750/750/528162.jpg,||||,||||,Theme:|Everyday,Mount:|Hanging,Type:|Sign,Weight:|1-3 lbs,Shape:|Rectangle,Material:|Wood,"Width:|13"" - 24""",Color Scheme:|Blacks and Whites,"Depth:|1"" - 2""","Height:|25"" - 36""",Placement:|Hanging,Collection:|Be Brave and Believe,Mpn #|12485,"Dimensions|17.32 "" X 1.69 "" X 35.43 """,Weight|1.16 lbs.
"19"" X 6.25"" X 1.5"" Wood Block Set (Home) -18933",https://images.gogreenentinc.com/product/750/750/528241.jpg,||||,||||,Theme:|Everyday,Mount:|Free standing,Type:|Blocks,Weight:|1-3 lbs,Shape:|Rectangle,Material:|Wood,"Width:|13"" - 24""","Depth:|1"" - 2""","Height:|6"" - 12""",Placement:|Hanging,Collection:|Traditional Home,Mpn #|18933,"Dimensions|18.7 "" X 1.5 "" X 6.3 """,Weight|1.28 lbs.
"20"" Pine Magnolia Brown Wreath - Model Number - F081",https://images.gogreenentinc.com/product/750/750/507324.jpg,||||,||||,Theme:|Thanksgiving/Autumn,Mount:|Hanging,Type:|Nature,Weight:|Less than 1 lbs,Shape:|Round,Material:|Fabric,Color Scheme:|Browns,"Width:|13"" - 24""","Depth:|3"" - 4""","Height:|13"" - 24""",Placement:|Hanging,Collection:|Floral,Mpn #|F081,"Dimensions|21 "" X 3 "" X 21 """,Weight|0.53 lbs.
"20"" X 30"" X 1"" Chunky Wooden Sign (In This Home..) - Model Number - 10325",https://images.gogreenentinc.com/product/750/750/420584.jpg,||||,||||,Type:|Sign,Theme:|Everyday,"Height:|25"" - 36""","Depth:|1"" - 2""","Width:|13"" - 24""",Weight:|5-7 lbs,Mount:|Hanging,Shape:|Rectangle,Material:|Wood,Color Scheme:|Reds,Placement:|Hanging,Mpn #|10325,"Dimensions|20 "" X 1 "" X 30 """,Weight|5 lbs.
"20"" X 8"" X .5"" Wood Sign W/5 Hooks (Enjoy) Black/White - Model Number - 12036",https://images.gogreenentinc.com/product/750/750/511582.jpg,||||,||||,Mount:|Hanging,Theme:|Everyday,Type:|Hanger/Hooks,Shape:|Rectangle,Material:|Wood,Color Scheme:|Blacks and Whites,"Depth:|Less than 1""","Height:|6"" - 12""","Width:|13"" - 24""",Placement:|Hanging,Weight:|Less than 1 lbs,Collection:|Black & White Banner Broadway,Mpn #|12036,"Dimensions|9 "" X 1 "" X 21 """,Weight|1.72 lbs.
"20"" X 8"" X .5"" Wood Sign W/5 Hooks (Enjoy) Gray/White - Model Number - HG12035",https://images.gogreenentinc.com/product/750/750/511581.jpg,||||,||||,Theme:|Everyday,Mount:|Hanging,Type:|Hanger/Hooks,Weight:|1-3 lbs,Shape:|Rectangle,Material:|Wood,Color Scheme:|Greys,"Width:|13"" - 24""","Depth:|Less than 1""","Height:|6"" - 12""",Placement:|Hanging,Mpn #|12035
"20"" X 8"" X .5"" Wood Sign W/5 Hooks (Lost Socks) Gray/White - Model Number - 12033",https://images.gogreenentinc.com/product/750/750/511579.jpg,||||,||||,Theme:|Everyday,Mount:|Hanging,Type:|Hanger/Hooks,Shape:|Rectangle,Material:|Wood,Color Scheme:|Greys,"Width:|13"" - 24""","Depth:|Less than 1""","Height:|6"" - 12""",Placement:|Hanging,Weight:|Less than 1 lbs,Collection:|Black & White Banner Broadway,Mpn #|12033,"Dimensions|9 "" X 1 "" X 21 """,Weight|1.66 lbs.
"21.5"" X 11"" X 1.5"" Wood Block Set (Be Mine) Red/Pink/White - Model Number - 28118",https://images.gogreenentinc.com/product/750/750/516747.jpg,||||,||||,Theme:|Valentines,Mount:|Free standing,Type:|Blocks,Shape:|Rectangle,Material:|Wood,Color Scheme:|Reds,"Width:|13"" - 24""","Depth:|1"" - 2""","Height:|6"" - 12""",Placement:|Setting,Collection:|Love Is sweet,Mpn #|28118,"Dimensions|12 "" X 2 "" X 22.5 """,Weight|1.88 lbs.
"21"" X 11"" X 1.5"" Wood Block Set (Boo) Orange, Black, and White - 58218",https://images.gogreenentinc.com/product/750/750/531717.jpg,||||,||||,Theme:|Halloween,Mount:|Free standing,Type:|Sign,Weight:|1-3 lbs,Shape:|Rectangle,Material:|Wood,"Width:|13"" - 24""","Depth:|1"" - 2""","Height:|6"" - 12""",Placement:|Setting,Mpn #|58218,Weight|0 lbs.
"22"" X 11.25"" X 1.5"" Wood Block Set (Easter) White With Pastel - Model Number - 32089",https://images.gogreenentinc.com/product/750/750/516772.jpg,||||,||||
"23"" X 6.5"" X 1.25"" Wood Block Set (Home) White/Black - Model Number - 18797",https://images.gogreenentinc.com/product/750/750/516677.jpg,||||,||||,Theme:|Everyday,Mount:|Free standing,Type:|Blocks,Shape:|Rectangle,Material:|Wood,Color Scheme:|Blacks and Whites,Placement:|Setting,Weight:|1-3 lbs,"Width:|13"" - 24""","Depth:|1"" - 2""","Height:|6"" - 12""",Collection:|Touch of Gold,Mpn #|18797,"Dimensions|7.5 "" X 1.75 "" X 24 """,Weight|4.14 lbs.
"24"" X 6"" X 1.5"" Wood Block Set (FALL) White and Copper- 62105",https://images.gogreenentinc.com/product/750/750/531576.jpg,||||,||||,Theme:|Thanksgiving/Autumn,Mount:|Free standing,Type:|Blocks,Weight:|1-3 lbs,Shape:|Rectangle,Material:|Wood,"Width:|13"" - 24""","Depth:|1"" - 2""","Height:|6"" - 12""",Placement:|Setting,Mpn #|62105,"Dimensions|61 "" X 16 "" X 10 """,Weight|1.98 lbs.
"24"" X 6"" X 1.5"" Wood Hook board W/5 Hooks White - Model Number - 13205",https://images.gogreenentinc.com/product/750/750/516643.jpg,||||,||||,Theme:|Everyday,Mount:|Hanging,Type:|Hanger/Hooks,Shape:|Rectangle,Material:|Wood,Color Scheme:|Blacks and Whites,Placement:|Hanging,Weight:|1-3 lbs,"Width:|13"" - 24""","Depth:|1"" - 2""","Height:|6"" - 12""",Collection:|Arrows & Dots - Black and White,Mpn #|13205,"Dimensions|25 "" X 2 "" X 7 """,Weight|2.02 lbs.
"26"" X 6.5"" X 1.25"" Wood Block Set (Family) White/Black - Model Number - 18798",https://images.gogreenentinc.com/product/750/750/516678.jpg,||||,||||,Theme:|Everyday,Mount:|Free standing,Type:|Blocks,Shape:|Rectangle,Material:|Wood,Color Scheme:|Blacks and Whites,Placement:|Setting,"Width:|25"" - 36""","Depth:|1"" - 2""","Height:|6"" - 12""",Collection:|Touch of Gold,Mpn #|18798,"Dimensions|27 "" X 1.75 "" X 7.5 """,Weight|4.67 lbs.
"29"" X 4"" X .25"" Wood Hook Board W/5 Hooks (Laundry Room) White/Coral - Model Number - 12001",https://images.gogreenentinc.com/product/750/750/511547.jpg,||||,||||,Theme:|Everyday,Mount:|Hanging,Type:|Hanger/Hooks,Shape:|Rectangle,Material:|Wood,"Width:|25"" - 36""","Depth:|Less than 1""","Height:|Less than 6""",Placement:|Hanging,Weight:|1-3 lbs,Collection:|Colorful Banner Broadway,Mpn #|12001,"Dimensions|30 "" X 0.75 "" X 5 """,Weight|1.93 lbs.
"29"" X 6.75"" X 1.5"" Wood Block Set (Family) -18934",https://images.gogreenentinc.com/product/750/750/528242.jpg,||||,||||,Theme:|Everyday,Mount:|Free standing,Type:|Blocks,Shape:|Rectangle,Material:|Wood,"Width:|25"" - 36""",Color Scheme:|Browns,"Depth:|1"" - 2""","Height:|6"" - 12""",Placement:|Setting,Collection:|Traditional Home,Weight:|1-3 lbs,Mpn #|18934,"Dimensions|28.35 "" X 1.5 "" X 6.5 """,Weight|2.15 lbs.
"35"" X 14"" X 1.5"" Baby Gallery, 5 Sections, Blue/Gray - Model Number - 92013",https://images.gogreenentinc.com/product/750/750/516844.jpg,||||,||||,Theme:|Everyday,Type:|Blocks,Shape:|Rectangle,Collection:|Oh Baby,Material:|Wood,"Width:|25"" - 36""","Depth:|1"" - 2""","Height:|13"" - 24""",Mount:|Hanging,Placement:|Hanging,Mpn #|92013,"Dimensions|36 "" X 2 "" X 15 """,Weight|5.39 lbs.
"35"" X 14"" X 1.5"" Baby Gallery, 5 Sections, Pink/Gray - Model Number - 92012",https://images.gogreenentinc.com/product/750/750/516843.jpg,||||,||||,Theme:|Everyday,Type:|Blocks,Shape:|Rectangle,Collection:|Oh Baby,Material:|Wood,"Width:|25"" - 36""","Depth:|1"" - 2""","Height:|13"" - 24""",Mount:|Hanging,Placement:|Hanging,Mpn #|92012,"Dimensions|36 "" X 2 "" X 15 """,Weight|5.39 lbs.
"3"" X 5"" X .25"" Hanging Wood Sign Assortment Of 2 (Boy/Girl) White/Gray - Model Number - 12433",https://images.gogreenentinc.com/product/750/750/516603.jpg,||||,||||,Theme:|Everyday,Mount:|Hanging,Type:|Sign,Shape:|Rectangle,Material:|Wood,Color Scheme:|Greys,Placement:|Hanging,Weight:|Less than 1 lbs,"Width:|Less than 6""","Depth:|Less than 1""","Height:|Less than 6""",Collection:|Splish Splash,Mpn #|12433,"Dimensions|6 "" X 0.75 "" X 4 """,Weight|0.13 lbs.
"4.5""x 6""x 1.5"" Wood Sign (Skull) Black/White- 58277",https://images.gogreenentinc.com/product/750/750/531776.jpg,||||,||||,Theme:|Halloween,Mount:|Free standing,Type:|Sign,Weight:|1-3 lbs,Shape:|Rectangle,Material:|Wood,Color Scheme:|Blacks and Whites,"Width:|Less than 6""","Depth:|1"" - 2""","Height:|6"" - 12""",Placement:|Setting,Mpn #|58277,Weight|0 lbs.
"5.5"" X 10"" X 1.5"" Wood Sign On Stand Turkey, White and Copper- 62099",https://images.gogreenentinc.com/product/750/750/531570.jpg,||||,||||,Theme:|Thanksgiving/Autumn,Mount:|Free standing,Type:|Sign,Weight:|1-3 lbs,Shape:|Round,Material:|Wood,"Width:|Less than 6""","Depth:|1"" - 2""","Height:|6"" - 12""",Placement:|Setting,Mpn #|62099,"Dimensions|26 "" X 10 "" X 15 """,Weight|1.16 lbs.
"5.5"" X 6"" X 1.5"" Wood Sign Assortment Of 3 (Egg, Chicken, Bunny) Purple/Pink/White - Model Number - 32090",https://images.gogreenentinc.com/product/750/750/516773.jpg,||||,||||
"5"" X 10"" X 1.5"" Wood Sign W/Flower (Love) Pink/White - Model Number - 28126",https://images.gogreenentinc.com/product/750/750/516755.jpg,||||,||||,Theme:|Valentines,Mount:|Free standing,Type:|Sign,Material:|Wood,Color Scheme:|Reds,"Width:|Less than 6""","Depth:|1"" - 2""","Height:|6"" - 12""",Placement:|Setting,Collection:|Love Is sweet,Mpn #|28126,"Dimensions|11 "" X 2 "" X 6 """,Weight|0.45 lbs.
"5"" X 12.5"" X .25"" Wood Tag (LIFE LESSONS TAUGHT BY DAD) Black/White/Gold - 12463",https://images.gogreenentinc.com/product/750/750/529091.jpg,||||,||||,Theme:|Everyday,Mount:|Hanging,Type:|Sign,Weight:|Less than 1 lbs,Shape:|Rectangle,Material:|Wood,Color Scheme:|Blacks and Whites,"Width:|Less than 6""","Depth:|Less than 1""","Height:|6"" - 12""",Placement:|Hanging,Collection:|Dad Knows Best,Mpn #|12463,"Dimensions|4.72 "" X 0.39 "" X 11.81 """,Weight|0.39 lbs.
"5""x 5""x 1.5"" Wood Sign (Halloween Words)- 58284",https://images.gogreenentinc.com/product/750/750/531783.jpg,||||,||||,Theme:|Halloween,Mount:|Free standing,Type:|Sign,Weight:|1-3 lbs,Shape:|Square,Material:|Wood,Color Scheme:|Blacks and Whites,"Width:|Less than 6""","Depth:|1"" - 2""","Height:|Less than 6""",Placement:|Setting,Mpn #|58284,Weight|0 lbs.
"5""x 5""x 1.5"" Wood Sign (You Say) Black/White/Silver- 52126",https://images.gogreenentinc.com/product/750/750/531662.jpg,||||,||||,Theme:|Halloween,Mount:|Free standing,Type:|Sign,Weight:|Less than 1 lbs,Shape:|Square,Material:|Wood,"Width:|Less than 6""","Depth:|1"" - 2""","Height:|Less than 6""",Placement:|Setting,Mpn #|52126,"Dimensions|17 "" X 14 "" X 14 """,Weight|0.44 lbs.
"6.25""x 6""x 1.5"" Wood Sign (Happy Halloween)- 58259",https://images.gogreenentinc.com/product/750/750/531758.jpg,||||,||||,Theme:|Halloween,Mount:|Free standing,Type:|Sign,Weight:|1-3 lbs,Shape:|Rectangle,Material:|Wood,Color Scheme:|Blacks and Whites,"Width:|6"" - 12""","Depth:|1"" - 2""","Height:|6"" - 12""",Placement:|Setting,Mpn #|58259,Weight|0 lbs.
"6"" X 4.5"" X 1.5"" Wood Sign (Dream As If) - Model Number - 12488",https://images.gogreenentinc.com/product/750/750/528165.jpg,||||,||||,Theme:|Everyday,Mount:|Free standing,Type:|Sign,Weight:|1-3 lbs,Shape:|Rectangle,Material:|Wood,Color Scheme:|Blacks and Whites,"Width:|6"" - 12""","Height:|Less than 6""","Depth:|1"" - 2""",Placement:|Setting,Collection:|Be Brave and Believe,Mpn #|12488,"Dimensions|5.91 "" X 1.57 "" X 4.53 """,Weight|0.41 lbs.
"6"" X 9"" X 1.5"" Hook S/2 (Boy/Girl) White/Gray - Model Number - 12432",https://images.gogreenentinc.com/product/750/750/516602.jpg,||||,||||,Theme:|Everyday,Mount:|Hanging,Type:|Sign,Shape:|Rectangle,Material:|Wood,Color Scheme:|Greys,Placement:|Hanging,Weight:|Less than 1 lbs,"Width:|6"" - 12""","Depth:|1"" - 2""","Height:|6"" - 12""",Collection:|Splish Splash,Mpn #|12432,"Dimensions|10 "" X 2 "" X 7 """,Weight|0.92 lbs.
"7.5"" X 9.5"" X .5"" Wood Acorn (Happy Harvest) Brown/Silver/Copper-63078",https://images.gogreenentinc.com/product/750/750/531603.jpg,||||,||||,Theme:|Thanksgiving/Autumn,Mount:|Hanging,Type:|Sign,Weight:|Less than 1 lbs,Shape:|Round,Material:|Wood,Color Scheme:|Browns,"Width:|6"" - 12""","Depth:|Less than 1""","Height:|6"" - 12""",Placement:|Hanging,Mpn #|63078,"Dimensions|22 "" X 8.5 "" X 28 """,Weight|0.57 lbs.
"7"" X 7"" Wood Tile (I Love You Grandma) - Model Number - 12298",https://images.gogreenentinc.com/product/750/750/420717.jpg,||||,||||,Material:|Wood,Color Scheme:|Blacks and Whites,Type:|Sign,Theme:|Everyday,"Height:|6"" - 12""","Depth:|Less than 1""","Width:|6"" - 12""",Weight:|Less than 1 lbs,Mount:|Hanging,Shape:|Square,Placement:|Hanging,Mpn #|12298,"Dimensions|8 "" X 1.25 "" X 8 """,Weight|0.64 lbs.
"8.5"" X 8.5"" X 1"" Wood Heart On Base (I Love You) Red/White - Model Number - 22038",https://images.gogreenentinc.com/product/750/750/516710.jpg,||||,||||,Theme:|Valentines,Mount:|Free standing,Type:|Sign,Material:|Wood,Color Scheme:|Reds,"Width:|6"" - 12""","Depth:|1"" - 2""","Height:|6"" - 12""",Placement:|Setting,Collection:|Red White and Loved,Mpn #|22038,"Dimensions|9.5 "" X 1.5 "" X 9.5 """,Weight|0.6 lbs.
"8"" X 21"" X .5"" Wood Sign (Be Happy) Black/White - Model Number - 18722",https://images.gogreenentinc.com/product/750/750/464056.jpg,||||,||||,Material:|Wood,Type:|Sign,"Height:|13"" - 24""","Depth:|Less than 1""","Width:|6"" - 12""",Weight:|Less than 1 lbs,Theme:|Everyday,Mount:|Hanging,Color Scheme:|Blacks and Whites,Mpn #|18722,"Dimensions|9 "" X 1 "" X 22 """,Weight|1.39 lbs.
"8"" x 8"" x 1.5"" wooden sign (FIND PEACE), white and blue- 15008",https://images.gogreenentinc.com/product/750/750/593388.jpg,||||,||||,Theme:|Everyday,Mount:|Hanging,Type:|Sign,Weight:|Less than 1 lbs,Shape:|Square,Material:|Wood,Color Scheme:|Blues,"Width:|6"" - 12""","Depth:|1"" - 2""","Height:|6"" - 12""",Placement:|Hanging,Mpn #|15008,"Dimensions|7.87 "" X 1.5 "" X 7.87 """,Weight|0.77 lbs.
"9.25"" X 17"" X 1.5"" Wood Sign (Please Excuse) White/Gray - Model Number - 12447",https://images.gogreenentinc.com/product/750/750/516617.jpg,||||,||||,Theme:|Everyday,Mount:|Hanging,Type:|Sign,Shape:|Rectangle,Material:|Wood,Color Scheme:|Greys,Placement:|Hanging,Weight:|Less than 1 lbs,"Width:|6"" - 12""","Depth:|1"" - 2""","Height:|13"" - 24""",Mpn #|12447,"Dimensions|18 "" X 2 "" X 10 """,Weight|1.54 lbs.
