"11.5"" GALV TIN MILK CAN",T1477,Home|Decorative Tin Collection,"11.5"" TIN GALVANIZED MILK CAN WITH LARGE OPENING AND TWO SIDE HANDLES .. GREAT FOR FLORAL ARRANGEMENTS OR A DECOR PIECE TO SPICE UP YOUR HOME OR OFFICE

DIMS: 6""X6""X11.5",,,,,"Product Dimensions: 4""X4X""X7.25",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/1/t1476-1477-1478_1.jpg,t1476-1477-1478_1.jpg,,,CraftOutlet800,t1476-1477-1478_1.jpg
"11.5"" RUSTY ROCKING ROOSTER",T1455,Home|Decorative Tin Collection,"ADORABLE RUSTIC TIN ROCKING ROOSTER. GREAT DECOR PIECE AROUND YOUR HOME OR OFFICE. CAN BE USED FOR EVERYDAY DECORATING OR AROUND THE FALL SEASON.

DIMS: 11.5 X 3 X 10.25",,,,,Product Dimensions: 11.5 X 3 X 10.25,,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/1/t1455.jpeg,t1455.jpeg,,,CraftOutlet800,t1455.jpeg
11.75 GALVANIZED CONTAINERS SET OF 3,T1459,Home|Decorative Tin Collection,"DECORATIVE GALVANIZED CONTAINERS SET OF 3 WITH REMOVABLE LIDS. CLEAN FINISH AND GREAT TO PLACE YOUR GOODIES IN AND DECORATE WITH


DIMS: S: 5""DIM X7.75, M: 5.5 DIM X 9.75 L: 7"" DIM X 11.75""",,,,,"Product Dimensions: S 5""DIM X7.75, M 5.5 DIM X 9.75 L 7"" DIM X 11.75""",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/1/t1459.jpeg,t1459.jpeg,,,CraftOutlet800,t1459.jpeg
"11.75"" GALV TIN MILK CAN",T1474,Home|Decorative Tin Collection,"TIN GALVANIZED MILK CAN WITH LARGE OPENING AND LARGE HANDLE FOR EASY CARRYING .. GREAT FOR FLORAL ARRANGEMENTS OR A DECOR PIECE TO SPICE UP YOUR HOME OR OFFICE

DIMS: 8.75""X6""X11.75",,,,,"Product Dimensions: 8.75""X6""X11.75",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/1/t1472-t1474_2.jpeg,t1472-t1474_2.jpeg,,,CraftOutlet800,t1472-t1474_2.jpeg
"CHENILE SNOWMAN 24""H",40363,Home|Winter Collection|Fabric Snowmen,"MR SNOWMAN IS JUGGLING SNOWBALLS! HE'S 24"" TALL, WEARING A LARGE TOP HAT, RED SCARF, AND BLACK MITTENS WITH RED AND WHITE TRIM, HE'S QUITE ENTERTAINING!",,,,,"Product Dimensions: 24""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/0/40363_1.jpg,40363_1.jpg,,,CraftOutlet800,40363_1.jpg
"12"" PRIMITIVE STAR, RED",T0679,Home|Decorative Tin Collection,"12"" PRIMITIVE STAR, RED",,,,,"Product Dimensions: 12""",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/0/t0679.jpg,t0679.jpg,,,CraftOutlet800,t0679.jpg
"12"" PUFFY PINE TREE ON WIRE STICK",T0336,Home|Decorative Tin Collection|Picks & Sprays,DECORATIVE PUFFY PINE TREE ON WIRE STICK. MEASURES AT 12'' TALL.,,,,,"Product Dimensions: 1""L X 12""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/T/0/T0336.jpg,T0336.jpg,,,CraftOutlet800,T0336.jpg
"12"" TAN CAT",F50327,Home|Everyday Collection|Barn Farm Animals,"Cute 12"" tan fabric cat features a homespun heart sewn on her body and a nice homespun scarf around her neck!",,,,,"Product Dimensions: 12""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/F/5/F50327.jpg,F50327.jpg,,,CraftOutlet800,F50327.jpg
"12""H X 16""L RUSTY HALF WALL WATERCAN",T0824,Home|Decorative Tin Collection|Buckets & Pails,"This rustic water can measures at about 12"" high. The back of the water can is flat, so it is able to be hung on a wall. Provides a top and back handle, for each individuals preference.",,,,,"Product Dimensions: 16""L X 12""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/T/0/T0824.jpg,T0824.jpg,,,CraftOutlet800,T0824.jpg
"13"" GALV TIN MILK CAN",T1478,Home|Decorative Tin Collection,"13"" TIN GALVANIZED MILK CAN WITH LARGE OPENING AND TWO SIDE HANDLES .. GREAT FOR FLORAL ARRANGEMENTS OR A DECOR PIECE TO SPICE UP YOUR HOME OR OFFICE

DIMS:8""X8""X13""",,,,,"Product Dimensions: 8""X8""X13""",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/1/t1476-1477-1478_1_1.jpg,t1476-1477-1478_1_1.jpg,,,CraftOutlet800,t1476-1477-1478_1_1.jpg
"13"" TIN BUCKET SET OF 2",T1471,Home|Decorative Tin Collection,"TIN GALVANIZED BUCKET, SET OF 2. THESE BUCKETS HAVE A LARGE HANDLE FOR EASY CARRYING .. GREAT FOR TALL FLORAL ARRANGEMENTS OR ANY DECOR TO SPICE UP YOUR HOME OR OFFICE

DIMS:S: 6"" DIM X 11""H L 7.25""DIMX 13""H",,,,,"Product Dimensions: S: 6"" DIM X 11""H L 7.25""DIMX 13""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/1/t1471_1.jpeg,t1471_1.jpeg,,,CraftOutlet800,t1471_1.jpeg
"13"" RED BERRIES FEATHER TREE",X40070,Home|Winter Collection,"This feather tree has red berries all over and is 13"" high with a wooden base. Very simple tree that can allow you to decorate it however you would like.",,,,,"Product Dimensions: 13""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/x/4/x40070.jpg,x40070.jpg,,,CraftOutlet800,x40070.jpg
"13"" GALV TIN BUCKET W/CHALK BOARD",T1464,Home|Decorative Tin Collection,"TALL 13"" GALVANIZED TIN BUCKET. THIS BUCKET HAS A VERY UNIQUE DESIGN AND TWO SIDE HANDLES. THIS BUCKET HAS A CHALK BOARD ON THE FRONT TO PERSONALIZED YOUR BUCKET. GREAT FOR TALL FLORAL ARRANGEMENTS OR ANY DECOR TO SPICE UP YOUR HOME OR OFFICE

DIMS: 7.25"" DIM X 13""H",,,,,"Product Dimensions: 7.25"" DIM X 13""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/1/t1463-1464_1.jpeg,t1463-1464_1.jpeg,,,CraftOutlet800,t1463-1464_1.jpeg
"13"" NAT FLWR BUCKET",T0265,Home|Decorative Tin Collection|Buckets & Pails,"Shiny Galvanized Flower tin bucket stands 13"" tall and is perfect for any floral arrangement!",,,,,Product Dimensions: 8.5X7X13.5,,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/T/0/T0265.jpg,T0265.jpg,,,CraftOutlet800,T0265.jpg
13IN. JONATHAN BEAR,B60121,Home|Everyday Collection|Teddy Bears & Stuffed Animals,,,,,,"Product Dimensions: 13""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/B/6/B60121.jpg,B60121.jpg,,,CraftOutlet800,B60121.jpg
"14"" ""holly"" Berry",B10100,Home|Everyday Collection|Teddy Bears & Stuffed Animals,"14"" ""HOLLY"" BEAR",,,,,"Product Dimensions: 14""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/B/1/B10100.jpg,B10100.jpg,,,CraftOutlet800,B10100.jpg
"14"" Jackie",B10101,Home|Everyday Collection,"14"" Jackie",,,,,"Product Dimensions: 14""",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/1/b10101.jpeg,b10101.jpeg,,,CraftOutlet800,b10101.jpeg
"14"" RUSTIC PAIL SET OF 2",T1450,Home|Decorative Tin Collection,"Rustic Set of 2 pails Small and Large. Great to use as a decor piece with candles decorative rocks towels etc.

Dims: SM 10X8X7.5 LG14X105X9.5",,,,,Product Dimensions: SM 10X8X7.5 LG14X105X9.5,,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/1/t1450_1.jpeg,t1450_1.jpeg,,,CraftOutlet800,t1450_1.jpeg
"14"" BROWN BEAR , JOINTED",B65414,Home|Everyday Collection,"14"" BROWN BEAR , JOINTED",,,,,"Product Dimensions: 14""",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/6/b65414_1.jpg,b65414_1.jpg,,,CraftOutlet800,b65414_1.jpg
"14"" CHECKER BEAR",B11487,Home|Everyday Collection,"14"" CHECKER BEAR WITH LARGE TAN BOW",,,,,"Product Dimensions: 14""",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/1/b11487.jpeg,b11487.jpeg,,,CraftOutlet800,b11487.jpeg
"DARK 14"" CHECKER BEAR",B11500,Home|Everyday Collection,"DARK 14"" CHECKER BEAR, WITH BUTTON EYES AND A LARGE BLACK BOW TIE",,,,,"Product Dimensions: 14""",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/1/b11500.jpeg,b11500.jpeg,,,CraftOutlet800,b11500.jpeg
14'' FABRIC SANTA,X50324,Home|Winter Collection|Santas,"This 9"" Primitive Santa is made from fabric and features a small pvc wreath with a small string beard.",,,,,"Product Dimensions: 14""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/X/5/X50324.jpg,X50324.jpg,,,CraftOutlet800,X50324.jpg
"14in. ""Jordan"" Bear",B10109,Home|Everyday Collection|Teddy Bears & Stuffed Animals,14 in. 'Jordan',,,,,"Product Dimensions: 14""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/B/1/B10109.jpg,B10109.jpg,,,CraftOutlet800,B10109.jpg
14in.SIMPLY SPLENDID,B11503,Home|Everyday Collection|Teddy Bears & Stuffed Animals,"14"" SIMPLY SPLENDID",,,,,"Product Dimensions: 14""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/B/1/B11503.jpg,B11503.jpg,,,CraftOutlet800,B11503.jpg
"15"" DIM GALVANIZED WINDMILL SET OF 2",T1457,Home|Decorative Tin Collection,"SMALL AND LARGE GALVANIZED WINDMILLS SET OF 2. VERY UNIQUE DESIGN. GREAT FOR ANY DECOR AROUND YOUR HOME OR OFFICE. THESE TWO WINDMILLS ARE GREAT TO PAIR UP WITH OUR RUSTIC STYLE WINDMILLS. BOTH WINDMILLS HAVE HOLES IN THE MIDDLE FOR EASY HANGING. THIS PIECE WILL DEFINITIVELY SPICE UP ANY DECOR PIECE,

DIMS: S: 12""DIM L: 15"" DIM",,,,,"Product Dimensions: S: 12""DIM L: 15"" DIM",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/1/t1457.jpeg,t1457.jpeg,,,CraftOutlet800,t1457.jpeg
