COMPASS WRISTLET,AMA69,No cat,2,$4.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AMA69_600x479.jpg,AMA69_600x479.jpg
"COTTAGE GREEN/CREME 34"" SQUARE",AQ15SS,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ15SS.jpg,AQ15SS.jpg
"FARMHOUSE GREY/CREME 34"" SQUARE",AQ16SS,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ16SS.jpg,AQ16SS.jpg
"SANDLOT/CREME 34"" SQUARE",AQ17SS,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ17SS.jpg,AQ17SS.jpg
"FARMHOUSE CHECK LONG RUNNER CRANBERRY/CREAM 14"" X 56""",AQ20LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ20.jpg,AQ20.jpg
"FARMHOUSE CHECK SHORT RUNNER CRANBERRY/CREAM 14"" X 32""",AQ20SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ20.jpg,AQ20.jpg
"FARMHOUSE CHECK LONG RUNNER BLACK/TAN 14"" X 56""",AQ21LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ21.jpg,AQ21.jpg
"FARMHOUSE CHECK QUEEN BED COVER BLACK/TAN 94"" X 104""",AQ21QB,No cat,2,$64.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ21.jpg,AQ21.jpg
"FARMHOUSE CHECK SHORT RUNNER BLACK/TAN 14"" X 32""",AQ21SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ21.jpg,AQ21.jpg
"FARMHOUSE CHECK LONG RUNNER CREME/GREY 14""X56"" AVAIL SEPT 2017",AQ22GLR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ22G.jpg,AQ22G.jpg
"FARMHOUSE CHECK LONG RUNNER CRANBERRY/TAN 14"" X 56""",AQ22LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ22.jpg,AQ22.jpg
"FARMHOUSE CHECK LONG RUNNER CREME/SAND 14""X56"" AVAIL SEPT 2017",AQ22SLR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ22CS.jpg,AQ22CS.jpg
"FARMHOUSE CHECK SHORT RUNNER CRANBERRY/TAN 14"" X 32""",AQ22SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ22.jpg,AQ22.jpg
"THE WAGON WHEEL LONG RUNNER BLACK/TAN 14"" X 56""",AQ38LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ38.jpg,AQ38.jpg
"THE WAGON WHEEL SHORT RUNNER BLACK/TAN 14"" X 32"" AVAIL JUNE 2017",AQ38SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ38.jpg,AQ38.jpg
"THE WAGON WHEEL LONG RUNNER CRANBERRY/TAN 14"" X 56""",AQ41LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ41.jpg,AQ41.jpg
"THE WAGON WHEEL SHORT RUNNER CRANBERRY/TAN 14"" X 32""",AQ41SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ41.jpg,AQ41.jpg
"THE WAGON WHEEL LONG RUNNER CRANBERRY/CREAM 14"" X 56""",AQ43LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ43.jpg,AQ43.jpg
"THE WAGON WHEEL SHORT RUNNER CRANBERRY/CREAM 14"" X 32""",AQ43SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ43.jpg,AQ43.jpg
"LENNOX WEAVE LONG RUNNER BLACK/TAN 14""X 56""",AQ45LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ45.jpg,AQ45.jpg
"LENNOX WEAVE SHORT RUNNER BLACK/TAN 14"" X 32""",AQ45SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ45.jpg,AQ45.jpg
"THE WINDMERE LONG RUNNER BLACK/TAN 14"" X 56""",AQ48LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ48.jpg,AQ48.jpg
"THE WINDMERE SHORT RUNNER BLACK/TAN 14"" X 32""",AQ48SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ48.jpg,AQ48.jpg
"THE WINDMERE LONG RUNNER CRANBERRY/TAN 14"" X 56""",AQ49LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ49.jpg,AQ49.jpg
"THE WINDMERE SHORT RUNNER CRANBERRY/TAN 14"" X 32"" AVAIL AUG 2017",AQ49SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ49.jpg,AQ49.jpg
"OAKDALE WEAVE CHOCOLATE/TAN LONG RUNNER 14""X56""",AQ50BLR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ50B.jpg,AQ50B.jpg
"OAKDALE WEAVE CHOCOLATE/TAN SHORT RUNNER 14""X32""",AQ50BSR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ50B.jpg,AQ50B.jpg
"OAKDALE WEAVE OLIVE/TAN LONG RUNNER 14""X56""",AQ50GLR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ50G.jpg,AQ50G.jpg
"OAKDALE WEAVE OLIVE/TAN SHORT RUNNER 14""X32""",AQ50GSR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ50G.jpg,AQ50G.jpg
"OAKDALE WEAVE LONG RUNNER BLACK/TAN 14""X56""",AQ50LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ50.jpg,AQ50.jpg
"OAKDALE WEAVE SHORT RUNNER BLACK/TAN 14""X32""",AQ50SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ50.jpg,AQ50.jpg
"PRAIRIE STAR THROW BLACK/TAN 52"" X 74""",AQ52T,No cat,2,$25.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ52.jpg,AQ52.jpg
"PRAIRIE STAR 52"" TABLE SQUARE BLACK/TAN",AQ52TS,No cat,2,$17.50 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ52.jpg,AQ52.jpg
"STONEY BROOK LONG RUNNER BLACK/TAN 14"" X 56""",AQ53LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ53.jpg,AQ53.jpg
"STONEY BROOK SHORT RUNNER BLACK/TAN 14"" X 32""",AQ53SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ53.jpg,AQ53.jpg
"STONEY BROOK LONG RUNNER CRANBERRY/TAN 14"" X 56""",AQ54LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/AQ54.jpg,AQ54.jpg
"THE WOODMONT LONG RUNNER BLACK/TAN 14""X56"" AVAIL AUGUST 2017",AQ55LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/the-woodmont.jpg,the-woodmont.jpg
"THE WOODMONT SHORT RUNNER BLACK/TAN 14"" X 32""",AQ55SR,No cat,2,$5.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/the-woodmont.jpg,the-woodmont.jpg
"SAVANNAH WEAVE BLACK/TAN LONG RUNNER 14"" X 56""",AQ60LR,No cat,2,$7.00 ,http://www.shoppinecreek.com/merchant2/graphics/00000001/savannah-weave-black-tan_600x375.jpg,savannah-weave-black-tan_600x375.jpg
