FLAT OUT—PRONGHORNS ART COLLECTION,ELT2408579,,"“A pronghorn at full speed is an awesome sight. They are far faster than any predator on the western prairie, faster than logic would indicate that they should be.”

Limited edition of 750 signed and numbered prints. Image size, 14"" x 28"". A Wild Wings exclusive.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/flat-out-pronghorns-framed-art-by-michael-sieve-elt2408579d_2000x.jpg?v=1623819025,flat-out-pronghorns-framed-art-by-michael-sieve-elt2408579d_2000x.jpg?v=1623819025,,,wildwings800,flat-out-pronghorns-framed-art-by-michael-sieve-elt2408579d_2000x.jpg?v=1623819025
RED-BACKED SHRIKE ANNIVERSARY ART COLLECTION,1058660049,,"Open edition of art prints featuring a group of red-backed shrikes. Choose framed or unframed. Published exclusively by Wild Wings. Print size is 11""W x 14""H. Framed size is 13""W x 16""H.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/red-backed-shrike-anniversary-art-collection-1058660049IG_2000x.jpg?v=1623383171,red-backed-shrike-anniversary-art-collection-1058660049IG_2000x.jpg?v=1623383171,,,wildwings800,red-backed-shrike-anniversary-art-collection-1058660049IG_2000x.jpg?v=1623383171
RED-BACKED SHRIKE ANNIVERSARY ART COLLECTION,1058660049,,"Open edition of art prints featuring a group of red-backed shrikes. Choose framed or unframed. Published exclusively by Wild Wings. Print size is 11""W x 14""H. Framed size is 13""W x 16""H.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/red-backed-shrike-anniversary-art-collection-1058660049IG_2000x.jpg?v=1623383171,red-backed-shrike-anniversary-art-collection-1058660049IG_2000x.jpg?v=1623383171,,,wildwings800,red-backed-shrike-anniversary-art-collection-1058660049IG_2000x.jpg?v=1623383171
RED-BACKED SHRIKE ANNIVERSARY ART COLLECTION,1058660049,,"Open edition of art prints featuring a group of red-backed shrikes. Choose framed or unframed. Published exclusively by Wild Wings. Print size is 11""W x 14""H. Framed size is 13""W x 16""H.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/red-backed-shrike-anniversary-art-collection-1058660049IG_2000x.jpg?v=1623383171,red-backed-shrike-anniversary-art-collection-1058660049IG_2000x.jpg?v=1623383171,,,wildwings800,red-backed-shrike-anniversary-art-collection-1058660049IG_2000x.jpg?v=1623383171
FEARFUL SYMMETRY—TIGER ART COLLECTION,1403320079,,"Framed, limited edition of 100 numbered art prints with a printed signature. The darker tones of the background provide a unique and elegant portrait of a bengal tiger. Published exclusively by Wild Wings. Print size is 14.5""H x 11""W. Choice frame size is 24.25""H x 22""W. Contemporary frame size is 25""H x 21.5""W.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/fearful-symmetry-tiger-art-collection-guy-hobbs-1403320079IG_2000x.jpg?v=1623383174,fearful-symmetry-tiger-art-collection-guy-hobbs-1403320079IG_2000x.jpg?v=1623383174,,,wildwings800,fearful-symmetry-tiger-art-collection-guy-hobbs-1403320079IG_2000x.jpg?v=1623383174
DUST OF TIME—BISON ART COLLECTION,F362295069,,"“I am always trying to get a sense of movement into my paintings. Many of my pieces are in the dust or mist. I also enjoy a limited palette painting. In this piece the brown of the buffalo and the dust make a nice sepia tone.”

Premier Giclee Canvas edition of 50 signed and numbered art prints on canvas made from the original oil painting. Image size, 24"" x 36"". Published exclusively by Wild Wings. Also available; open edition art print on paper from the Great Northern Art Premium Framed Prints Collection. Image size, 17"" x 23"". Choose from 2 framing options. And available as an open edition wrapped canvas art print. The Wrapped Canvas Collection offers the look and feel of an original painting at a fraction of the cost. Arrives ready to hang, this unframed canvas bears a clean, contemporary feel.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/bison-framed-canvas-art-print-dust-of-time-by-grant-hacking-F362295069d_2000x.jpg?v=1623818899,bison-framed-canvas-art-print-dust-of-time-by-grant-hacking-F362295069d_2000x.jpg?v=1623818899,,,wildwings800,bison-framed-canvas-art-print-dust-of-time-by-grant-hacking-F362295069d_2000x.jpg?v=1623818899
HARBOR SEALS AT SEA RANCH ART COLLECTION,1058322578,,"Open edition of art prints featuring a group of seals on a beach. Choose framed or unframed. Published exclusively by Wild Wings. Print size is 11""W x 14""H. Framed size is 13""W x 16""H.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/harbor-seals-at-sea-ranch-art-collection-1058322578IG_2000x.jpg?v=1623383168,harbor-seals-at-sea-ranch-art-collection-1058322578IG_2000x.jpg?v=1623383168,,,wildwings800,harbor-seals-at-sea-ranch-art-collection-1058322578IG_2000x.jpg?v=1623383168
OUR SIDE OF THE RIVER ART COLLECTION,EPR3974465SC,,"Rivers often act as boundaries for deer and people. We're always happy to see a buck like this one on Our Side of the River. "" Open edition from the Great Northern Art Premium Collection.

Image size, 17"" x 23"". Also available: unsigned, open canvas editions from the Studio Canvas Collection. Choose from 2 sizes; large (18"" x 25"") or small (13"" x 18""). A Wild Wings Exclusive. Great Northern Art images may be available in other print lines.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/framed-deer-art-our-side-of-the-river-by-jim-hautman-EPR3974465d_45e9f637-dece-46f6-8d85-298ede7d420d_2000x.jpg?v=1623820138,framed-deer-art-our-side-of-the-river-by-jim-hautman-EPR3974465d_45e9f637-dece-46f6-8d85-298ede7d420d_2000x.jpg?v=1623820138,,,wildwings800,framed-deer-art-our-side-of-the-river-by-jim-hautman-EPR3974465d_45e9f637-dece-46f6-8d85-298ede7d420d_2000x.jpg?v=1623820138
BASIC TRAINING ART COLLECTION,F701127089,,"As the sun slowly sinks below the horizon, it casts an amber glow across the land. Three generations gather on the end of the dock for one of many training sessions with their trusted hunting companions. As the young pup leaps off of the dock to retrieve, the older dogs watch and wait their turn—all but the oldest lab. He hears the robins squawking and is alerted to the geese flying overhead. This practice session is of no interest to him after years of retrieving with his master. Soon the geese will disrupt this basic training and the controlled practice session will erupt into uncontrollable chaos.

Limited edition of 9,500 signed and numbered art prints made from the original oil painting. Image size, 18-1/2"" x 32"". (Artist proof is available.) Chose from 2 frame options. Elite open edition. Image size, 14"" x 24"". Choose from 4 frame options.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/basic-training-framed-limited-edition-print-terry-redlin-F701127089_2000x.jpg?v=1623820189,basic-training-framed-limited-edition-print-terry-redlin-F701127089_2000x.jpg?v=1623820189,,,wildwings800,basic-training-framed-limited-edition-print-terry-redlin-F701127089_2000x.jpg?v=1623820189
BASIC TRAINING ART COLLECTION,F701127089,,"As the sun slowly sinks below the horizon, it casts an amber glow across the land. Three generations gather on the end of the dock for one of many training sessions with their trusted hunting companions. As the young pup leaps off of the dock to retrieve, the older dogs watch and wait their turn—all but the oldest lab. He hears the robins squawking and is alerted to the geese flying overhead. This practice session is of no interest to him after years of retrieving with his master. Soon the geese will disrupt this basic training and the controlled practice session will erupt into uncontrollable chaos.

Limited edition of 9,500 signed and numbered art prints made from the original oil painting. Image size, 18-1/2"" x 32"". (Artist proof is available.) Chose from 2 frame options. Elite open edition. Image size, 14"" x 24"". Choose from 4 frame options.",,,,,,,1,99,,,,,1,wildwings400,wildwings160,https://cdn.shopify.com/s/files/1/0165/1821/7782/products/basic-training-framed-limited-edition-print-terry-redlin-F701127089_2000x.jpg?v=1623820189,basic-training-framed-limited-edition-print-terry-redlin-F701127089_2000x.jpg?v=1623820189,,,wildwings800,basic-training-framed-limited-edition-print-terry-redlin-F701127089_2000x.jpg?v=1623820189
