"[u'One of a Kind Necklaces with Vintage Pendants', u""From the 1930's - 1970's"", u'  Our signature pieces sell quickly! Because of the constant rotation of pieces, these are currently available through phone, faxed or in person orders only. We are happy to send you pictures of current stock or come see you on the road. ']","https://static.wixstatic.com/media/b0faac_e49b7046c7aa4aa082c037d5147961d9.jpg/v1/fill/w_532,h_496,al_c,q_90,usm_0.66_1.00_0.01/b0faac_e49b7046c7aa4aa082c037d5147961d9.jpg"
"[u' Vintage Pendants', u'Antiqued Silver', u'$18.00 - $32.00', u'click pic to expand']","https://static.wixstatic.com/media/b0faac_e94954075b674b38bebb8629745bff77.jpg/v1/fill/w_399,h_300,al_c,q_90/b0faac_e94954075b674b38bebb8629745bff77.jpg"
"[u' Vintage Pendants', u'Antiqued Silver Chain', u'$12.00', u'click pic to expand']","https://static.wixstatic.com/media/b0faac_1ae46bfcf06744b88a532f182f4a71f4.jpg/v1/fill/w_304,h_496,al_c,q_90,usm_0.66_1.00_0.01/b0faac_1ae46bfcf06744b88a532f182f4a71f4.jpg"
"[u' Vintage Chandelier Drops', u'With Images ', u'$18.00 - $28.00', u'click pic to expand']","https://static.wixstatic.com/media/b0faac_c3d7e26c87654c96aa5231f1288209dc.jpg/v1/fill/w_532,h_496,al_c,q_90,usm_0.66_1.00_0.01/b0faac_c3d7e26c87654c96aa5231f1288209dc.jpg"
"[u'Vintage Pendants', u'Antiqued Silver', u'$18.00 - $32.00', u'click pic to expand']","https://static.wixstatic.com/media/b0faac_0468579409c241e6a27577d1570570ae.jpg/v1/fill/w_496,h_496,al_c,q_90,usm_0.66_1.00_0.01/b0faac_0468579409c241e6a27577d1570570ae.jpg"
"[u' Sample Necklace', u""1950's Coral Pendant with Gold Glass Beads $22.00"", u'Suggested Retail $46.00']","https://static.wixstatic.com/media/b0faac_3fe47ca4b1ce43c9808cb6d24847be21.jpg/v1/fill/w_496,h_496,al_c,q_90,usm_0.66_1.00_0.01/b0faac_3fe47ca4b1ce43c9808cb6d24847be21.jpg"
"[u' Sample Necklace', u""1930's Deco Pendant with Purple Glass Pearls $21.00"", u'Suggested Retail $44.00']","https://static.wixstatic.com/media/b0faac_0a3948374a1f4c5fb45f5e75e0b47a84.jpg/v1/fill/w_446,h_458,al_c,q_90,usm_0.66_1.00_0.01/b0faac_0a3948374a1f4c5fb45f5e75e0b47a84.jpg"
"Barn Red Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_3650f462a6714e6db51001b71526550f.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_3650f462a6714e6db51001b71526550f.jpg"
"Burgundy Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_f129488aa77740479b55e95fcf311bb3.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_f129488aa77740479b55e95fcf311bb3.jpg"
"Ruby Red Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_8208529a07a64d98a755c319686e9de2.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_8208529a07a64d98a755c319686e9de2.jpg"
"Soft Pink Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_689e4b216df04c4e934b45bb4b4bcdcd.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_689e4b216df04c4e934b45bb4b4bcdcd.jpg"
"Coral Rose Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_16a8c1b0edcb40d5bafd0fe0973f996c.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_16a8c1b0edcb40d5bafd0fe0973f996c.jpg"
"Watermelon Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_ff59dfbb70fd44c3a23329e92fa49e1f.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_ff59dfbb70fd44c3a23329e92fa49e1f.jpg"
"Golden Brown Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_0f950be8eabb4ab0aa42d7265427bac9.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_0f950be8eabb4ab0aa42d7265427bac9.jpg"
"Copper Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_247cb51896ad4454bf3d1ef9d244b2ca.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_247cb51896ad4454bf3d1ef9d244b2ca.jpg"
"Gold Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_7acf9d05308d41e1abf7929eca2aef26.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_7acf9d05308d41e1abf7929eca2aef26.jpg"
"Hunter Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_4a6a6a4d7a1348c7bca4870485f473a5.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_4a6a6a4d7a1348c7bca4870485f473a5.jpg"
"Pearly Mint Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_2967a877ee1347f58e4d1db283e87b57.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_2967a877ee1347f58e4d1db283e87b57.jpg"
"Turquoise Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_ad5c194ee3ac4e5181ec3508a59876ca.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_ad5c194ee3ac4e5181ec3508a59876ca.jpg"
"Powder Blue Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_5844c3a9c33345ff94eb44a9fea428ba.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_5844c3a9c33345ff94eb44a9fea428ba.jpg"
"Navy Blue Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_1cf0cf379d1147ef8b2527078ba4a2b4.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_1cf0cf379d1147ef8b2527078ba4a2b4.jpg"
"Holland Blue Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_bcce543f5ac24c6a9b46d295826e1451.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_bcce543f5ac24c6a9b46d295826e1451.jpg"
"Dark Turquoise Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_7ce0c773375045c1afcecbadff86777d.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_7ce0c773375045c1afcecbadff86777d.jpg"
"Denim Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_ce35af6aa5f84bb3bb00c536abca7372.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_ce35af6aa5f84bb3bb00c536abca7372.jpg"
"Aqua Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_0a8869941d534fbeb2f0666a926fc523.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_0a8869941d534fbeb2f0666a926fc523.jpg"
"Petunia Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_e560b3c269e740e5b410159b3c1264bd.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_e560b3c269e740e5b410159b3c1264bd.jpg"
"Iris Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_62c919c0bdec4c11b3e7b9913d0d174c.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_62c919c0bdec4c11b3e7b9913d0d174c.jpg"
"Violet Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_c9415d156b0f416cac0b152dbd7e6cfc.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_c9415d156b0f416cac0b152dbd7e6cfc.jpg"
"Cream Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_2e30ce7dafb74ebdbdab0a5bac1e2f9a.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_2e30ce7dafb74ebdbdab0a5bac1e2f9a.jpg"
"Black Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_9115a5f301b74f3d821cb65dd9c3202b.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_9115a5f301b74f3d821cb65dd9c3202b.jpg"
"Grey Cameo Ring
$9.00","['Wholesale Website', 'Classic Victorian style cameos hand dyed in 24 signature shades.\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_dba7e64a2c7d4fcd903debf234c17882.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_dba7e64a2c7d4fcd903debf234c17882.jpg"
"Golden Ruby Red Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_f911cc1becc34845bdbbf16ded1edb95.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_f911cc1becc34845bdbbf16ded1edb95.jpg"
"Golden Pink Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_054eebc2c15843cc8880978d416b984a.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_054eebc2c15843cc8880978d416b984a.jpg"
"Golden Coral Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_3629afc3de5a42c8a056f4e4c1ecd690.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_3629afc3de5a42c8a056f4e4c1ecd690.jpg"
"Golden Bronze Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_9161fc6892c4469c8a65be57dc3de82f.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_9161fc6892c4469c8a65be57dc3de82f.jpg"
"Golden Peridot Ring
$9.00","['Wholesale Website', 'Glass Stone and Whimsical Images - Filigree Medallion Rings\n18mm X 13mm - Antiqued Brass - Adjustable to Sizes 6-8\nSuggested Retail $20.00\n ']","https://static.wixstatic.com/media/b0faac_158b44b3053d44d3b1e585f8be2b013b.jpg/v1/fill/w_133,h_133,al_c,q_80,usm_0.66_1.00_0.01/b0faac_158b44b3053d44d3b1e585f8be2b013b.jpg"
