Hope Patina Bracelet,p-b-i029p,Bracelets|||||||||,Hope Patina Bracelet,,,,1,,1,3,,0,,0,1,p-b-i29p-WEB.jpg
Lace Triangle Scarf,c-sc-x017,Scarves|||||||||,,,,,1,,6,7,,6,,0,6,c-sc-x17pink-WEB.jpg
Leaf Patina on Leather Cord N/E Set,p-n-i016p,Necklace Earring Sets|||||||||,,,,,1,,1,5,,0,,0,1,p-n-i016p-WEB.jpg
Leathe Flower X Snap Bracelet,l-bfl6,Bracelets|||||||||,,,,,1,,12,3.5,,0,,0,12,l-bfl6-WEB.jpg
Leather Flower Weave Snap Brc.,l-b-k02,Bracelets|||||||||,Snap closure - two settings.</br>Sold in assorted colors.,,,,1,,6,7,,0,,0,6,l-b-k02-web.jpg
Leather Metal Bead Two Strand Bracelet,l-b-n27,Bracelets|||||||||,Leather Metal Bead Two Strand Bracelet<br />Adjustable With Clasp<br />Sold In Assorted Colors,,,,1,,12,3,,0,,0,12,l-b-n27-WEB.jpg
Leather Wide Insert Snap Bracelet,l-b-n13w,Bracelets|||||||||,,,,,1,,6,4.75,,0,,0,6,l-b-n13w-WEB.jpg
Leather Wrap w/ Buckle Bracelet,l-b-n17,Bracelets|||||||||,Adjustable With Belt</br>Sold In Assorted Colors,,,,1,,12,5,,0,,0,12,l-b-n17-WEB.jpg
Long Chain With Crystal Gold N/E Set,p-n-bk168,Necklace Earring Sets|||||||||,Long Chain With Crystals Gold Necklace/Earring Set<br />Lead And Nickel Free.<br />Adjustable Lobster Clasp/Chain Closure.,,,,1,,1,7,,0,,0,1,p-n-bk168-WEB.jpg
Long Chain With Stone Gold N/E Set,p-n-bk171,Necklace Earring Sets|||||||||,Long Chain With Stone Gold Necklace/Earring Set<br />Lead And Nickel Free.<br />Adjustable Lobster Clasp/Chain Closure.,,,,1,,1,6,,0,,0,1,p-n-bk171-WEB.jpg
Loop Gold N/E Set,p-n-i022g,Necklace Earring Sets|||||||||,,,,,1,,1,5,,0,,0,1,p-n-i022g-web.jpg
Loop Patina N/E Set,p-n-i022p,Necklace Earring Sets|||||||||,,,,,1,,1,5,,0,,0,1,p-n-i022p-web.jpg
Loop Silver N/E Set,p-n-i022,Necklace Earring Sets|||||||||,,,,,1,,1,5,,0,,0,1,p-n-i022-web.jpg
Many Strand Hematite Crystal - N/E Set,p-n-a012b,Necklace Earring Sets|||||||||,,,,,1,,1,14,,0,,0,1,p-n-a012b-WEB.jpg
Mini Coin Pure - Alligator,y-purse07,Purses|||||||||,Alligator Mini Purse. Sold in assorted colors shown.,,,,1,,12,2,,0,,0,12,Y-PURSE07.jpg
Mini Coin Purse - Bright Glitter,y-purse34,Purses|||||||||,Glitter w/ Stars Mini Purse.Sold in Assorted Colors.,,,,1,,12,2,,0,,0,12,Y-PURSE34.jpg
