Flower Power Painted Votive / Pencil Holder - DISCONTINUED,SM892,On Sale!,"3.25"" x 4"" This new painted design is a lot of fun … bursting with brilliant petals. Made by Simon Gerald. Was 15 now 10.50",,,,,,,,$10.50/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/be72d774e670dd0324a43cedc2a113b0443ec536.jpeg,be72d774e670dd0324a43cedc2a113b0443ec536.jpeg,,,Beyond800,be72d774e670dd0324a43cedc2a113b0443ec536.jpeg
Gold Painted Tree Ornament - DISCONTINUED,SM900,On Sale!,"3"" x 3.5"" Hand-painted golden tiers ceate a lovely holiday tree. Made by Simon Gerald. Was 6 now 4.20",,,,,,,,$4.20/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/31cdf5708532fd255b28def1f854d6c205150ace.jpeg,31cdf5708532fd255b28def1f854d6c205150ace.jpeg,,,Beyond800,31cdf5708532fd255b28def1f854d6c205150ace.jpeg
Grapes and Songbirds - DISCONTINUED,SM811,On Sale!,"9"" x 9"" Simple and sweet … really just perfect in design and balance … in a great small size. Made by Cineus Louime. Was 12.50 now 8.75",,,,,,,,$8.75/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/1b558c1eb686c4185ccf4e2ad12edf66903fe2c9.jpeg,1b558c1eb686c4185ccf4e2ad12edf66903fe2c9.jpeg,,,Beyond800,1b558c1eb686c4185ccf4e2ad12edf66903fe2c9.jpeg
Hammer Jaw - DISCONTINUED,SM928,On Sale!,Was 44 now 30.80,,,,,,,,$30.80/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/fb08d0c88f6f380841eee1715d935a2dcca57610.jpeg,fb08d0c88f6f380841eee1715d935a2dcca57610.jpeg,,,Beyond800,fb08d0c88f6f380841eee1715d935a2dcca57610.jpeg
Large Flowering Tree - DISCONTINUED,LG260,On Sale!,"34"" x 34"" This vertical panel features a graceful tree, dimensional flowers and beautiful birds with 3D wings that bend forward. Created by Cheriban Jean Yourdly. WAS $129.00",Out Of Stock,,,,,,,$90.30/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/94958239abfcf08e45e28e2ae968aea1a4d40b24.jpg,94958239abfcf08e45e28e2ae968aea1a4d40b24.jpg,,,Beyond800,94958239abfcf08e45e28e2ae968aea1a4d40b24.jpg
Market Cart - 3D - DISCONTINUED,RND642,On Sale!,"15"" x15"" You can hear the chickens clucking away as they enjoy their ride ... wonderful details abound in the dimensional basket and wire wheel details. Created by Tunis Lixon. WAS $32.00",Out Of Stock,,,,,,,$22.40/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/9014f8c861474b815ccbbf2b07bf0175027a811e.jpg,9014f8c861474b815ccbbf2b07bf0175027a811e.jpg,,,Beyond800,9014f8c861474b815ccbbf2b07bf0175027a811e.jpg
Medium Angel Nativity with Easel - DISCONTINUED,SM753,On Sale!,"11"" x 13"" This new nativity design is super easy to display with the easel back feature ... and the angels are just wonderful. Crafted by Bernard Merisier. Was 19 now 13.30",,,,,,,,$13.30/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/3959a8cb994532bb2dccf7af97a7bc297a73f85e.jpeg,3959a8cb994532bb2dccf7af97a7bc297a73f85e.jpeg,,,Beyond800,3959a8cb994532bb2dccf7af97a7bc297a73f85e.jpeg
Nature Dance Panel - DISCONTINUED,LG935,On Sale!,WAS $73.00 - 16x34,,,,,,,,$51.10/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/84195c209c95e37a1e4cdcfd55c652f1d367924f.jpeg,84195c209c95e37a1e4cdcfd55c652f1d367924f.jpeg,,,Beyond800,84195c209c95e37a1e4cdcfd55c652f1d367924f.jpeg
Our Lady of Guadalupe with easel - DISCONTINUED,SM932,On Sale!,Was 21.50 now 15.05,,,,,,,,$15.05/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/a2527cc904e324c911610fb584df08335f71f7dc.jpeg,a2527cc904e324c911610fb584df08335f71f7dc.jpeg,,,Beyond800,a2527cc904e324c911610fb584df08335f71f7dc.jpeg
Painted Double Floral Tree - DISCONTINUED,RND919,On Sale!,23x23 - WAS $55.00,Out Of Stock,,,,,,,$38.50/ea,,,,,,Beyond400,Beyond160,https://d1hfjit43knzun.cloudfront.net/BeyondBorders/userFiles/image/c385ad1035447819c7deed344358766a9026af2f.jpeg,c385ad1035447819c7deed344358766a9026af2f.jpeg,,,Beyond800,c385ad1035447819c7deed344358766a9026af2f.jpeg
