"BC_ACA_16oz
"RLI_SUN_16OZ
",Sun-Ripened Raspberry,RLI_SUN_16OZ,Home > Reflective Light Inspirations >,"Abundantly full bushes of summer raspberries are waiting to be picked. Their romantic sun-kissed scent will make you want to dance barefoot in the grass!

These labels feature an intricate laser cut design with a scripture based message as well as the fragrance name.

Our Reflective Light Candles have a captivating style! They are housed in a clear glass jar with a unique stepped base and mouth. The black metal lid is elegantly embossed. The 26 ounce candles have approximately 200 hours of burn time. The 16 ounce candles have approximately 120 hours of burn time.",None,[],1,$19.00,https://www.barncandles.com/resize/ProductImages/RLI_SUN.jpg?lr=t&bw=550&w=550&bh=550&h=550
"RLI_SWE_16OZ
",Sun-Ripened Raspberry,RLI_SUN_16OZ,Home > Reflective Light Inspirations >,"Abundantly full bushes of summer raspberries are waiting to be picked. Their romantic sun-kissed scent will make you want to dance barefoot in the grass!

These labels feature an intricate laser cut design with a scripture based message as well as the fragrance name.

Our Reflective Light Candles have a captivating style! They are housed in a clear glass jar with a unique stepped base and mouth. The black metal lid is elegantly embossed. The 26 ounce candles have approximately 200 hours of burn time. The 16 ounce candles have approximately 120 hours of burn time.",None,[],1,$19.00,https://www.barncandles.com/resize/ProductImages/RLI_SUN.jpg?lr=t&bw=550&w=550&bh=550&h=550
"RLI_VAN_16OZ
",Sun-Ripened Raspberry,RLI_SUN_16OZ,Home > Reflective Light Inspirations >,"Abundantly full bushes of summer raspberries are waiting to be picked. Their romantic sun-kissed scent will make you want to dance barefoot in the grass!

These labels feature an intricate laser cut design with a scripture based message as well as the fragrance name.

Our Reflective Light Candles have a captivating style! They are housed in a clear glass jar with a unique stepped base and mouth. The black metal lid is elegantly embossed. The 26 ounce candles have approximately 200 hours of burn time. The 16 ounce candles have approximately 120 hours of burn time.",None,[],1,$19.00,https://www.barncandles.com/resize/ProductImages/RLI_SUN.jpg?lr=t&bw=550&w=550&bh=550&h=550
"RLI_WIL_16OZ
",Wildflower Days,RLI_WIL_16OZ,Home > Reflective Light Inspirations >,"It is like waking up on a bright sunny spring day, the breeze coming through your window, followed by the captivating aroma of gorgeous fields of flowers.

These labels feature an intricate laser cut design with a scripture based message as well as the fragrance name.

Our Reflective Light Candles have a captivating style! They are housed in a clear glass jar with a unique stepped base and mouth. The black metal lid is elegantly embossed. The 26 ounce candles have approximately 200 hours of burn time. The 16 ounce candles have approximately 120 hours of burn time.",None,[],1,$19.00,https://www.barncandles.com/resize/ProductImages/RLI_WIL.jpg?lr=t&bw=550&w=550&bh=550&h=550
"RLI_ACA_26OZ
",Wildflower Days,RLI_WIL_16OZ,Home > Reflective Light Inspirations >,"It is like waking up on a bright sunny spring day, the breeze coming through your window, followed by the captivating aroma of gorgeous fields of flowers.

These labels feature an intricate laser cut design with a scripture based message as well as the fragrance name.

Our Reflective Light Candles have a captivating style! They are housed in a clear glass jar with a unique stepped base and mouth. The black metal lid is elegantly embossed. The 26 ounce candles have approximately 200 hours of burn time. The 16 ounce candles have approximately 120 hours of burn time.",None,[],1,$19.00,https://www.barncandles.com/resize/ProductImages/RLI_WIL.jpg?lr=t&bw=550&w=550&bh=550&h=550
"RLI_APB_26OZ
",Apple Butter,RLI_APB_16OZ,Home > Reflective Light Inspirations >,"The yummy goodness of Jonathan Apples is positively delectable when brought together with melted butter, sweet cinnamon, clove, and nutmeg.

These labels feature an intricate laser cut design with a scripture based message as well as the fragrance name.

Our Reflective Light Candles have a captivating style! They are housed in a clear glass jar with a unique stepped base and mouth. The black metal lid is elegantly embossed. The 26 ounce candles have approximately 200 hours of burn time. The 16 ounce candles have approximately 120 hours of burn time.",None,[],1,$19.00,https://www.barncandles.com/resize/ProductImages/RLI_APB.jpg?lr=t&bw=550&w=550&bh=550&h=550
"RLI_APC_26OZ
",Apple Butter,RLI_APB_16OZ,Home > Reflective Light Inspirations >,"The yummy goodness of Jonathan Apples is positively delectable when brought together with melted butter, sweet cinnamon, clove, and nutmeg.

These labels feature an intricate laser cut design with a scripture based message as well as the fragrance name.

Our Reflective Light Candles have a captivating style! They are housed in a clear glass jar with a unique stepped base and mouth. The black metal lid is elegantly embossed. The 26 ounce candles have approximately 200 hours of burn time. The 16 ounce candles have approximately 120 hours of burn time.",None,[],1,$19.00,https://www.barncandles.com/resize/ProductImages/RLI_APB.jpg?lr=t&bw=550&w=550&bh=550&h=550
"RLI_BAM_26OZ
",Bamboo & Hemp,RLI_BAM_16OZ,Home > Reflective Light Inspirations >,"Bamboo stalks are complimented with natural vetiver and patchouli with undertones of hemp seed and oakmoss.

These labels feature an intricate laser cut design with a scripture based message as well as the fragrance name.

Our Reflective Light Candles have a captivating style! They are housed in a clear glass jar with a unique stepped base and mouth. The black metal lid is elegantly embossed. The 26 ounce candles have approximately 200 hours of burn time. The 16 ounce candles have approximately 120 hours of burn time.",None,[],1,$19.00,https://www.barncandles.com/resize/ProductImages/RLI_BAM.jpg?lr=t&bw=550&w=550&bh=550&h=550
"RLI_AMI_26OZ
",Bamboo & Hemp,RLI_BAM_16OZ,Home > Reflective Light Inspirations >,"Bamboo stalks are complimented with natural vetiver and patchouli with undertones of hemp seed and oakmoss.

These labels feature an intricate laser cut design with a scripture based message as well as the fragrance name.

Our Reflective Light Candles have a captivating style! They are housed in a clear glass jar with a unique stepped base and mouth. The black metal lid is elegantly embossed. The 26 ounce candles have approximately 200 hours of burn time. The 16 ounce candles have approximately 120 hours of burn time.",None,[],1,$19.00,https://www.barncandles.com/resize/ProductImages/RLI_BAM.jpg?lr=t&bw=550&w=550&bh=550&h=550
"RLI_CAP_26OZ
",Cappuccino Brulee,RLI_CAP_26OZ,Home > Reflective Light Inspirations >,"Ah, the smells of a dessert, laden with rich coffee overtones. Delve into the rich luxury of cappuccino divinity with a well balanced mixture of chocolate and coffee overtones bringing together the perfect result of brulee.

These labels feature an intricate laser cut design with a scripture based message as well as the fragrance name.

Our Reflective Light Candles have a captivating style! They are housed in a clear glass jar with a unique stepped base and mouth. The black metal lid is elegantly embossed. The 26 ounce candles have approximately 200 hours of burn time. The 16 ounce candles have approximately 120 hours of burn time.",None,[],1,$22.00,https://www.barncandles.com/resize/ProductImages/RLI_CAP.jpg?lr=t&bw=550&w=550&bh=550&h=550
