PD_Home_&_Garden_8055.xls,[u'Currently In Stock']
Lillie_May_Naturals_Soap_7910.xls,"[u'', u'Exclusive Burlap Travel/Gift Bag Includes 1-2oz Liquid Soap, 1-2oz Lotion, 1oz Bar Soap & Lip Balm', u'A stimulating blend of Citrus, including Grapefruit, Lemon and Lime.', u'This fragrance is sweet, tart, fresh and delicious! Grapefruit, Lime and Orange are the top citrus notes toned down by Cranberry, Cinnamon, Jasmine and Leafy Greens.  Raspberry, Musk and Vanilla are the base notes that hold it all together.', u'Calming aroma of\xa0lavender combined with the bright, refreshing scent of\xa0lemongrass. ', u'A relaxing blend of French Lavender and Fir Pine, enhanced with Egyptian Jasmine and sweetened with pure Vanilla, softened with delicate Musks.']"
Cedar_Mesa_Pottery_7966.xls,[u'']
Wheelhouse_Designs_8106.xls,[u'']
Homart_Discounted_Closeouts_8112.xls,"[u'In stock', u'In Stock', u'Discontinued']"
Golden_Hill_Studios_8009.xls,[u'']
JanMichael's_Home_Closeout_Sale_8073.xls,[u'']
VIP_Home_&_Garden_Discount_Closeouts_8062.xls,[u'']
Knotty_Expressions_8070.xls,"[u'In Stock', u'', u'(All) Knotty Products|']"
Crossroads_Candles_8076.xls,"[u'', u'Total count for 26 OZ Candles with Artwork should be at least 12.']"
Timeless_By_Design_Closeouts_8066.xls,"[u'In stock', u'', u'Out of stock']"
Bethany_Lowe_1044.xls,"[u'', u'Sold out', u'Currently in stock', u'Out of stock']"
Impressions_on_Market_7950.xls,"[u'Please choose lath frame finish color; Natural is brown antique tone unpainted, Rustic Black. Print is printed onto wood.', u'']"
Desma_Group_Home_&_Gift_8094.xls,"[u'', u'Temporarily out of stock', u'Out of stock', u'Sold out']"
Craft_Outlet_-_Olde_Memories_7989.xls,"[u'In stock', u'Out of stock']"
Pine_Creek_Four_Corners_7974.xls,"[u'', u'Avail Jan 2023']"
Market_Street_Wholesale_8059.xls,"[u'Out of Stock', u'In Stock', u'Low Stock']"
Blossom_Bucket_Closeouts_8043.xls,[u'']
Chesapeake_Bay_&_JD_Yeatts_7933.xls,"[u'In Stock', u'Out of Stock']"
Darren_Gygi_Canvas_Art_8023.xls,[u'']
